#image_prefix: ~/tmp/Fine_Segmentation/MetaSys/20120907/013456~B/
#mask_prefix: ~/tmp/Fine_Segmentation/MetaSys/20120907/013456~B/
#stage_labels: {1: stg1-3, 2: stg4-6, 3: stg7-8, 4: stg11-12, 5: stg13-14, 6: stg15-16}
#truth: stage
#
id	mask	image	stage
2	obj0002-mask.png	obj0002-bri.png	2
3	obj0003-mask.png	obj0003-bri.png	5
4	obj0004-mask.png	obj0004-bri.png	5
5	obj0005-mask.png	obj0005-bri.png	2
8	obj0008-mask.png	obj0008-bri.png	6
9	obj0009-mask.png	obj0009-bri.png	6
11	obj0011-mask.png	obj0011-bri.png	5
14	obj0014-mask.png	obj0014-bri.png	5
15	obj0015-mask.png	obj0015-bri.png	6
16	obj0016-mask.png	obj0016-bri.png	5
17	obj0017-mask.png	obj0017-bri.png	4
18	obj0018-mask.png	obj0018-bri.png	5
19	obj0019-mask.png	obj0019-bri.png	6
21	obj0021-mask.png	obj0021-bri.png	4
22	obj0022-mask.png	obj0022-bri.png	6
23	obj0023-mask.png	obj0023-bri.png	1
24	obj0024-mask.png	obj0024-bri.png	5
25	obj0025-mask.png	obj0025-bri.png	5
26	obj0026-mask.png	obj0026-bri.png	6
27	obj0027-mask.png	obj0027-bri.png	6
28	obj0028-mask.png	obj0028-bri.png	5
31	obj0031-mask.png	obj0031-bri.png	6
32	obj0032-mask.png	obj0032-bri.png	5
33	obj0033-mask.png	obj0033-bri.png	4
34	obj0034-mask.png	obj0034-bri.png	6
35	obj0035-mask.png	obj0035-bri.png	6
36	obj0036-mask.png	obj0036-bri.png	5
37	obj0037-mask.png	obj0037-bri.png	6
38	obj0038-mask.png	obj0038-bri.png	5
39	obj0039-mask.png	obj0039-bri.png	5
40	obj0040-mask.png	obj0040-bri.png	5
41	obj0041-mask.png	obj0041-bri.png	4
42	obj0042-mask.png	obj0042-bri.png	4
43	obj0043-mask.png	obj0043-bri.png	5
44	obj0044-mask.png	obj0044-bri.png	5
45	obj0045-mask.png	obj0045-bri.png	6
46	obj0046-mask.png	obj0046-bri.png	6
47	obj0047-mask.png	obj0047-bri.png	6
48	obj0048-mask.png	obj0048-bri.png	4
49	obj0049-mask.png	obj0049-bri.png	6
50	obj0050-mask.png	obj0050-bri.png	2
51	obj0051-mask.png	obj0051-bri.png	5
52	obj0052-mask.png	obj0052-bri.png	3
53	obj0053-mask.png	obj0053-bri.png	4
54	obj0054-mask.png	obj0054-bri.png	6
55	obj0055-mask.png	obj0055-bri.png	6
56	obj0056-mask.png	obj0056-bri.png	4
57	obj0057-mask.png	obj0057-bri.png	5
58	obj0058-mask.png	obj0058-bri.png	6
59	obj0059-mask.png	obj0059-bri.png	4
60	obj0060-mask.png	obj0060-bri.png	5
61	obj0061-mask.png	obj0061-bri.png	6
63	obj0063-mask.png	obj0063-bri.png	5
64	obj0064-mask.png	obj0064-bri.png	6
65	obj0065-mask.png	obj0065-bri.png	5
66	obj0066-mask.png	obj0066-bri.png	5
67	obj0067-mask.png	obj0067-bri.png	4
68	obj0068-mask.png	obj0068-bri.png	6
69	obj0069-mask.png	obj0069-bri.png	4
70	obj0070-mask.png	obj0070-bri.png	4
71	obj0071-mask.png	obj0071-bri.png	6
72	obj0072-mask.png	obj0072-bri.png	2
73	obj0073-mask.png	obj0073-bri.png	5
74	obj0074-mask.png	obj0074-bri.png	6
75	obj0075-mask.png	obj0075-bri.png	6
76	obj0076-mask.png	obj0076-bri.png	4
77	obj0077-mask.png	obj0077-bri.png	4
78	obj0078-mask.png	obj0078-bri.png	5
79	obj0079-mask.png	obj0079-bri.png	6
80	obj0080-mask.png	obj0080-bri.png	6
82	obj0082-mask.png	obj0082-bri.png	6
84	obj0084-mask.png	obj0084-bri.png	6
86	obj0086-mask.png	obj0086-bri.png	4
88	obj0088-mask.png	obj0088-bri.png	5
89	obj0089-mask.png	obj0089-bri.png	6
90	obj0090-mask.png	obj0090-bri.png	2
91	obj0091-mask.png	obj0091-bri.png	5
93	obj0093-mask.png	obj0093-bri.png	6
94	obj0094-mask.png	obj0094-bri.png	5
95	obj0095-mask.png	obj0095-bri.png	5
96	obj0096-mask.png	obj0096-bri.png	1
97	obj0097-mask.png	obj0097-bri.png	4
98	obj0098-mask.png	obj0098-bri.png	5
99	obj0099-mask.png	obj0099-bri.png	6
100	obj0100-mask.png	obj0100-bri.png	6
101	obj0101-mask.png	obj0101-bri.png	4
102	obj0102-mask.png	obj0102-bri.png	6
104	obj0104-mask.png	obj0104-bri.png	6
105	obj0105-mask.png	obj0105-bri.png	6
108	obj0108-mask.png	obj0108-bri.png	6
109	obj0109-mask.png	obj0109-bri.png	5
110	obj0110-mask.png	obj0110-bri.png	6
112	obj0112-mask.png	obj0112-bri.png	6
113	obj0113-mask.png	obj0113-bri.png	3
114	obj0114-mask.png	obj0114-bri.png	5
115	obj0115-mask.png	obj0115-bri.png	2
116	obj0116-mask.png	obj0116-bri.png	5
117	obj0117-mask.png	obj0117-bri.png	5
118	obj0118-mask.png	obj0118-bri.png	4
119	obj0119-mask.png	obj0119-bri.png	5
120	obj0120-mask.png	obj0120-bri.png	4
122	obj0122-mask.png	obj0122-bri.png	6
123	obj0123-mask.png	obj0123-bri.png	3
125	obj0125-mask.png	obj0125-bri.png	5
126	obj0126-mask.png	obj0126-bri.png	2
127	obj0127-mask.png	obj0127-bri.png	5
128	obj0128-mask.png	obj0128-bri.png	5
129	obj0129-mask.png	obj0129-bri.png	4
130	obj0130-mask.png	obj0130-bri.png	4
131	obj0131-mask.png	obj0131-bri.png	5
132	obj0132-mask.png	obj0132-bri.png	6
133	obj0133-mask.png	obj0133-bri.png	5
134	obj0134-mask.png	obj0134-bri.png	5
135	obj0135-mask.png	obj0135-bri.png	5
136	obj0136-mask.png	obj0136-bri.png	4
137	obj0137-mask.png	obj0137-bri.png	6
138	obj0138-mask.png	obj0138-bri.png	5
139	obj0139-mask.png	obj0139-bri.png	4
140	obj0140-mask.png	obj0140-bri.png	6
141	obj0141-mask.png	obj0141-bri.png	5
142	obj0142-mask.png	obj0142-bri.png	2
144	obj0144-mask.png	obj0144-bri.png	5
147	obj0147-mask.png	obj0147-bri.png	5
148	obj0148-mask.png	obj0148-bri.png	2
149	obj0149-mask.png	obj0149-bri.png	4
150	obj0150-mask.png	obj0150-bri.png	6
