dirname,metasys_id,stage,orientation
20120726/022015,0029,unknown,unknown
20120726/022015,0057,unknown,unknown
20120726/022015,0329,unknown,unknown
20120726/022015,0030,unknown,unknown
20120726/022015,0179,unknown,unknown
20120726/022015,0062,unknown,unknown
20120726/022015,0171,unknown,unknown
20120726/022015,0219,unknown,unknown
20120726/022015,0042,unknown,unknown
20120726/022015,0121,unknown,unknown
20120726/022015,0312,unknown,unknown
20120726/022015,0355,unknown,unknown
20120726/022015,0130,unknown,unknown
20120726/022015,0087,unknown,unknown
20120726/022015,0020,unknown,unknown
20120726/022015,0015,unknown,unknown
20120726/022015,0211,unknown,unknown
20120726/022015,0293,unknown,unknown
20120726/022015,0241,unknown,unknown
20120726/022015,0099,unknown,unknown
20120726/022015,0319,unknown,unknown
20120726/022015,0357,unknown,unknown
20120726/022015,0333,unknown,unknown
20120726/022015,0136,unknown,unknown
20120726/022015,0359,unknown,unknown
20120726/022015,0067,unknown,unknown
20120726/022015,0284,unknown,unknown
20120726/022015,0169,unknown,unknown
20120726/022015,0335,unknown,unknown
20120726/022015,0282,unknown,unknown
20120726/022015,0296,unknown,unknown
20120726/022015,0163,unknown,unknown
20120726/022015,0025,unknown,unknown
20120726/022015,0162,unknown,unknown
20120726/022015,0317,unknown,unknown
20120726/022015,0001,unknown,unknown
20120726/022015,0101,unknown,unknown
20120726/022015,0043,unknown,unknown
20120726/022015,0324,unknown,unknown
20120726/022015,0189,unknown,unknown
20120726/022015,0336,unknown,unknown
20120726/022015,0201,unknown,unknown
20120726/022015,0301,unknown,unknown
20120726/022015,0031,unknown,unknown
20120726/022015,0309,unknown,unknown
20120726/022015,0297,unknown,unknown
20120726/022015,0304,unknown,unknown
20120726/022015,0143,unknown,unknown
20120726/022015,0078,unknown,unknown
20120726/022015,0006,unknown,unknown
20120726/022015,0116,unknown,unknown
20120726/022015,0214,unknown,unknown
20120726/022015,0209,unknown,unknown
20120726/022015,0253,unknown,unknown
20120726/022015,0037,unknown,unknown
20120726/022015,0358,unknown,unknown
20120726/022015,0257,unknown,unknown
20120726/022015,0074,unknown,unknown
20120726/022015,0203,unknown,unknown
20120726/022015,0270,unknown,unknown
20120726/022015,0019,unknown,unknown
20120726/022015,0285,unknown,unknown
20120726/022015,0325,unknown,unknown
20120726/022015,0220,unknown,unknown
20120726/022015,0369,unknown,unknown
20120726/022015,0255,unknown,unknown
20120726/022015,0195,unknown,unknown
20120726/022015,0174,unknown,unknown
20120726/022015,0281,unknown,unknown
20120726/022015,0079,unknown,unknown
20120726/022015,0197,unknown,unknown
20120726/022015,0126,unknown,unknown
20120726/022015,0089,unknown,unknown
20120726/022015,0026,unknown,unknown
20120726/022015,0238,unknown,unknown
20120726/022015,0305,unknown,unknown
20120726/022015,0278,unknown,unknown
20120726/022015,0235,unknown,unknown
20120726/022015,0085,unknown,unknown
20120726/022015,0069,unknown,unknown
20120726/022015,0104,unknown,unknown
20120726/022015,0199,unknown,unknown
20120726/022015,0124,unknown,unknown
20120726/022015,0114,unknown,unknown
20120726/022015,0244,unknown,unknown
20120726/022015,0332,unknown,unknown
20120726/022015,0248,unknown,unknown
20120726/022015,0109,unknown,unknown
20120726/022015,0010,unknown,unknown
20120726/022015,0092,unknown,unknown
20120726/022015,0066,unknown,unknown
20120726/022015,0366,unknown,unknown
20120726/022015,0018,unknown,unknown
20120726/022015,0276,unknown,unknown
20120726/022015,0002,unknown,unknown
20120726/022015,0192,unknown,unknown
20120726/022015,0125,unknown,unknown
20120726/022015,0256,unknown,unknown
20120726/022015,0327,unknown,unknown
20120726/022015,0295,unknown,unknown
20120726/022015,0117,unknown,unknown
20120726/022015,0269,unknown,unknown
20120726/022015,0106,unknown,unknown
20120726/022015,0370,unknown,unknown
20120726/022015,0344,unknown,unknown
20120726/022015,0202,unknown,unknown
20120726/022015,0374,unknown,unknown
20120726/022015,0272,unknown,unknown
20120726/022015,0377,unknown,unknown
20120726/022015,0036,unknown,unknown
20120726/022015,0277,unknown,unknown
20120726/022015,0259,unknown,unknown
20120726/022015,0100,unknown,unknown
20120726/022015,0184,unknown,unknown
20120726/022015,0314,unknown,unknown
20120726/022015,0288,unknown,unknown
20120726/022015,0076,unknown,unknown
20120726/022015,0003,unknown,unknown
20120726/022015,0245,unknown,unknown
20120726/022015,0290,unknown,unknown
20120726/022015,0258,unknown,unknown
20120726/022015,0137,unknown,unknown
20120726/022015,0133,unknown,unknown
20120726/022015,0216,unknown,unknown
20120726/022015,0147,unknown,unknown
20120726/022015,0367,unknown,unknown
20120726/022015,0200,unknown,unknown
20120726/022015,0077,unknown,unknown
20120726/022015,0049,unknown,unknown
20120726/022015,0144,unknown,unknown
20120726/022015,0091,unknown,unknown
20120726/022015,0375,unknown,unknown
20120726/022015,0283,unknown,unknown
20120726/022015,0193,unknown,unknown
20120726/022015,0239,unknown,unknown
20120726/022015,0103,unknown,unknown
20120726/022015,0123,unknown,unknown
20120726/022015,0176,unknown,unknown
20120726/022015,0158,unknown,unknown
20120726/022015,0177,unknown,unknown
20120726/022015,0113,unknown,unknown
20120726/022015,0055,unknown,unknown
20120726/022015,0331,unknown,unknown
20120726/022015,0068,unknown,unknown
20120726/022015,0190,unknown,unknown
20120726/022015,0342,unknown,unknown
20120726/022015,0361,unknown,unknown
20120726/022015,0060,unknown,unknown
20120726/022015,0038,unknown,unknown
20120726/022015,0095,unknown,unknown
20120726/022015,0223,unknown,unknown
20120726/022015,0321,unknown,unknown
20120726/022015,0054,unknown,unknown
20120726/022015,0299,unknown,unknown
20120726/022015,0175,unknown,unknown
20120726/022015,0084,unknown,unknown
20120726/022015,0051,unknown,unknown
20120726/022015,0326,unknown,unknown
20120726/022015,0151,unknown,unknown
20120726/022015,0222,unknown,unknown
20120726/022015,0233,unknown,unknown
20120726/022015,0339,unknown,unknown
20120726/022015,0053,unknown,unknown
20120726/022015,0204,unknown,unknown
20120726/022015,0182,unknown,unknown
20120726/022015,0155,unknown,unknown
20120726/022015,0021,unknown,unknown
20120726/022015,0167,unknown,unknown
20120726/022015,0075,unknown,unknown
20120726/022015,0251,unknown,unknown
20120726/022015,0294,unknown,unknown
20120726/022015,0323,unknown,unknown
20120726/022015,0172,unknown,unknown
20120726/022015,0352,unknown,unknown
20120726/022015,0337,unknown,unknown
20120726/022015,0198,unknown,unknown
20120726/022015,0322,unknown,unknown
20120726/022015,0064,unknown,unknown
20120726/022015,0141,unknown,unknown
20120726/022015,0267,unknown,unknown
20120726/022015,0334,unknown,unknown
20120726/022015,0164,unknown,unknown
20120726/022015,0351,unknown,unknown
20120726/022015,0368,unknown,unknown
20120726/022015,0072,unknown,unknown
20120726/022015,0094,unknown,unknown
20120726/022015,0185,unknown,unknown
20120726/022015,0118,unknown,unknown
20120726/022015,0208,unknown,unknown
20120726/022015,0346,unknown,unknown
20120726/022015,0264,unknown,unknown
20120726/022015,0232,unknown,unknown
20120726/022015,0230,unknown,unknown
20120726/022015,0300,unknown,unknown
20120726/022015,0004,unknown,unknown
20120726/022015,0154,unknown,unknown
20120726/022015,0243,unknown,unknown
20120726/022015,0013,unknown,unknown
20120726/022015,0045,unknown,unknown
20120726/022015,0292,unknown,unknown
20120726/022015,0354,unknown,unknown
20120726/022015,0098,unknown,unknown
20120726/022015,0128,unknown,unknown
20120726/022015,0360,unknown,unknown
20120726/022015,0345,unknown,unknown
20120726/022015,0146,unknown,unknown
20120726/022015,0083,unknown,unknown
20120726/022015,0240,unknown,unknown
20120726/022015,0132,unknown,unknown
20120726/022015,0343,unknown,unknown
20120726/022015,0048,unknown,unknown
20120726/022015,0120,unknown,unknown
20120726/022015,0265,unknown,unknown
20120726/022015,0070,unknown,unknown
20120726/022015,0140,unknown,unknown
20120726/022015,0009,unknown,unknown
20120726/022015,0311,unknown,unknown
20120726/022015,0088,unknown,unknown
20120726/022015,0225,unknown,unknown
20120726/022015,0005,unknown,unknown
20120726/022015,0073,unknown,unknown
20120726/022015,0134,unknown,unknown
