dirname,metasys_id,stage,orientation
20130311-rescan2/016278~B,3122,unknown,unknown
20130311-rescan2/016278~B,3712,unknown,unknown
20130311-rescan2/016278~B,4321,unknown,unknown
20130311-rescan2/016278~B,4921,unknown,unknown
20130311-rescan2/016278~B,2241,unknown,unknown
20130311-rescan2/016278~B,3232,unknown,unknown
20130311-rescan2/016278~B,2741,unknown,unknown
20130311-rescan2/016278~B,2941,unknown,unknown
20130311-rescan2/016278~B,1441,unknown,unknown
20130311-rescan2/016278~B,3981,unknown,unknown
20130311-rescan2/016278~B,0952,unknown,unknown
20130311-rescan2/016278~B,0171,unknown,unknown
20130311-rescan2/016278~B,4401,unknown,unknown
20130311-rescan2/016278~B,0401,unknown,unknown
20130311-rescan2/016278~B,0121,unknown,unknown
20130311-rescan2/016278~B,1711,unknown,unknown
20130311-rescan2/016278~B,2781,unknown,unknown
20130311-rescan2/016278~B,3191,unknown,unknown
20130311-rescan2/016278~B,1751,unknown,unknown
20130311-rescan2/016278~B,0461,unknown,unknown
20130311-rescan2/016278~B,4391,unknown,unknown
20130311-rescan2/016278~B,0211,unknown,unknown
20130311-rescan2/016278~B,0241,unknown,unknown
20130311-rescan2/016278~B,2551,unknown,unknown
20130311-rescan2/016278~B,4251,unknown,unknown
20130311-rescan2/016278~B,3281,unknown,unknown
20130311-rescan2/016278~B,5451,unknown,unknown
20130311-rescan2/016278~B,1001,unknown,unknown
20130311-rescan2/016278~B,0921,unknown,unknown
20130311-rescan2/016278~B,1521,unknown,unknown
20130311-rescan2/016278~B,4191,unknown,unknown
20130311-rescan2/016278~B,4581,unknown,unknown
20130311-rescan2/016278~B,0831,unknown,unknown
20130311-rescan2/016278~B,0162,unknown,unknown
20130311-rescan2/016278~B,5371,unknown,unknown
20130311-rescan2/016278~B,4411,unknown,unknown
20130311-rescan2/016278~B,3741,unknown,unknown
20130311-rescan2/016278~B,0101,unknown,unknown
20130311-rescan2/016278~B,5231,unknown,unknown
20130311-rescan2/016278~B,2071,unknown,unknown
20130311-rescan2/016278~B,5501,unknown,unknown
20130311-rescan2/016278~B,1131,unknown,unknown
20130311-rescan2/016278~B,0791,unknown,unknown
20130311-rescan2/016278~B,0991,unknown,unknown
20130311-rescan2/016278~B,2321,unknown,unknown
20130311-rescan2/016278~B,4211,unknown,unknown
20130311-rescan2/016278~B,1011,unknown,unknown
20130311-rescan2/016278~B,2931,unknown,unknown
20130311-rescan2/016278~B,1421,unknown,unknown
20130311-rescan2/016278~B,0201,unknown,unknown
20130311-rescan2/016278~B,5191,unknown,unknown
20130311-rescan2/016278~B,0301,unknown,unknown
20130311-rescan2/016278~B,2431,unknown,unknown
