dirname,metasys_id,stage,orientation
20130311-rescan/045650~A,6931,unknown,unknown
20130311-rescan/045650~A,5941,unknown,unknown
20130311-rescan/045650~A,4321,unknown,unknown
20130311-rescan/045650~A,6881,unknown,unknown
20130311-rescan/045650~A,4921,unknown,unknown
20130311-rescan/045650~A,2241,unknown,unknown
20130311-rescan/045650~A,6671,unknown,unknown
20130311-rescan/045650~A,3232,unknown,unknown
20130311-rescan/045650~A,5951,unknown,unknown
20130311-rescan/045650~A,2741,unknown,unknown
20130311-rescan/045650~A,2941,unknown,unknown
20130311-rescan/045650~A,2082,unknown,unknown
20130311-rescan/045650~A,3981,unknown,unknown
20130311-rescan/045650~A,7101,unknown,unknown
20130311-rescan/045650~A,0952,unknown,unknown
20130311-rescan/045650~A,2261,unknown,unknown
20130311-rescan/045650~A,0171,unknown,unknown
20130311-rescan/045650~A,6991,unknown,unknown
20130311-rescan/045650~A,4401,unknown,unknown
20130311-rescan/045650~A,0401,unknown,unknown
20130311-rescan/045650~A,4562,unknown,unknown
20130311-rescan/045650~A,0121,unknown,unknown
20130311-rescan/045650~A,1711,unknown,unknown
20130311-rescan/045650~A,2781,unknown,unknown
20130311-rescan/045650~A,5881,unknown,unknown
20130311-rescan/045650~A,7021,unknown,unknown
20130311-rescan/045650~A,3191,unknown,unknown
20130311-rescan/045650~A,1751,unknown,unknown
20130311-rescan/045650~A,3332,unknown,unknown
20130311-rescan/045650~A,6231,unknown,unknown
20130311-rescan/045650~A,6561,unknown,unknown
20130311-rescan/045650~A,0461,unknown,unknown
20130311-rescan/045650~A,5721,unknown,unknown
20130311-rescan/045650~A,5791,unknown,unknown
20130311-rescan/045650~A,4391,unknown,unknown
20130311-rescan/045650~A,0211,unknown,unknown
20130311-rescan/045650~A,6252,unknown,unknown
20130311-rescan/045650~A,0241,unknown,unknown
20130311-rescan/045650~A,0622,unknown,unknown
20130311-rescan/045650~A,2551,unknown,unknown
20130311-rescan/045650~A,4251,unknown,unknown
20130311-rescan/045650~A,3281,unknown,unknown
20130311-rescan/045650~A,5451,unknown,unknown
20130311-rescan/045650~A,1001,unknown,unknown
20130311-rescan/045650~A,1762,unknown,unknown
20130311-rescan/045650~A,0921,unknown,unknown
20130311-rescan/045650~A,1521,unknown,unknown
20130311-rescan/045650~A,4191,unknown,unknown
20130311-rescan/045650~A,4581,unknown,unknown
20130311-rescan/045650~A,0831,unknown,unknown
20130311-rescan/045650~A,0162,unknown,unknown
20130311-rescan/045650~A,5371,unknown,unknown
20130311-rescan/045650~A,6421,unknown,unknown
20130311-rescan/045650~A,4411,unknown,unknown
20130311-rescan/045650~A,3741,unknown,unknown
