dirname,metasys_id,stage,orientation
20130311/016276,3712,unknown,unknown
20130311/016276,4321,unknown,unknown
20130311/016276,4921,unknown,unknown
20130311/016276,2241,unknown,unknown
20130311/016276,2741,unknown,unknown
20130311/016276,2941,unknown,unknown
20130311/016276,1441,unknown,unknown
20130311/016276,3981,unknown,unknown
20130311/016276,2261,unknown,unknown
20130311/016276,0171,unknown,unknown
20130311/016276,4401,unknown,unknown
20130311/016276,0401,unknown,unknown
20130311/016276,0121,unknown,unknown
20130311/016276,1711,unknown,unknown
20130311/016276,2781,unknown,unknown
20130311/016276,3191,unknown,unknown
20130311/016276,1751,unknown,unknown
20130311/016276,0461,unknown,unknown
20130311/016276,4391,unknown,unknown
20130311/016276,0211,unknown,unknown
20130311/016276,0241,unknown,unknown
20130311/016276,2551,unknown,unknown
20130311/016276,4251,unknown,unknown
20130311/016276,3281,unknown,unknown
20130311/016276,5451,unknown,unknown
20130311/016276,0921,unknown,unknown
20130311/016276,1521,unknown,unknown
20130311/016276,4191,unknown,unknown
20130311/016276,4581,unknown,unknown
20130311/016276,0831,unknown,unknown
20130311/016276,0162,unknown,unknown
20130311/016276,5371,unknown,unknown
20130311/016276,4411,unknown,unknown
20130311/016276,3741,unknown,unknown
20130311/016276,0101,unknown,unknown
20130311/016276,5231,unknown,unknown
20130311/016276,2071,unknown,unknown
20130311/016276,5501,unknown,unknown
20130311/016276,1131,unknown,unknown
20130311/016276,0991,unknown,unknown
20130311/016276,2321,unknown,unknown
20130311/016276,1142,unknown,unknown
20130311/016276,4211,unknown,unknown
20130311/016276,1011,unknown,unknown
20130311/016276,0852,unknown,unknown
20130311/016276,2931,unknown,unknown
20130311/016276,1421,unknown,unknown
20130311/016276,0201,unknown,unknown
20130311/016276,5191,unknown,unknown
20130311/016276,0301,unknown,unknown
20130311/016276,2431,unknown,unknown
20130311/016276,0911,unknown,unknown
20130311/016276,4331,unknown,unknown
20130311/016276,0031,unknown,unknown
20130311/016276,5321,unknown,unknown
20130311/016276,4961,unknown,unknown
20130311/016276,4911,unknown,unknown
20130311/016276,3021,unknown,unknown
20130311/016276,2461,unknown,unknown
20130311/016276,4611,unknown,unknown
20130311/016276,1981,unknown,unknown
20130311/016276,5541,unknown,unknown
20130311/016276,1541,unknown,unknown
20130311/016276,1901,unknown,unknown
20130311/016276,3601,unknown,unknown
20130311/016276,2491,unknown,unknown
20130311/016276,5591,unknown,unknown
20130311/016276,1771,unknown,unknown
20130311/016276,4311,unknown,unknown
20130311/016276,1531,unknown,unknown
20130311/016276,4741,unknown,unknown
20130311/016276,3971,unknown,unknown
20130311/016276,3722,unknown,unknown
20130311/016276,3531,unknown,unknown
20130311/016276,3341,unknown,unknown
20130311/016276,2451,unknown,unknown
20130311/016276,2881,unknown,unknown
20130311/016276,0521,unknown,unknown
20130311/016276,5331,unknown,unknown
20130311/016276,0541,unknown,unknown
20130311/016276,1581,unknown,unknown
20130311/016276,3241,unknown,unknown
20130311/016276,0411,unknown,unknown
20130311/016276,3911,unknown,unknown
20130311/016276,2221,unknown,unknown
20130311/016276,3441,unknown,unknown
20130311/016276,1031,unknown,unknown
20130311/016276,0281,unknown,unknown
20130311/016276,0841,unknown,unknown
20130311/016276,2621,unknown,unknown
20130311/016276,2001,unknown,unknown
20130311/016276,2391,unknown,unknown
20130311/016276,5121,unknown,unknown
20130311/016276,2151,unknown,unknown
20130311/016276,1921,unknown,unknown
20130311/016276,5441,unknown,unknown
20130311/016276,3621,unknown,unknown
20130311/016276,2911,unknown,unknown
20130311/016276,4461,unknown,unknown
20130311/016276,4071,unknown,unknown
20130311/016276,5421,unknown,unknown
20130311/016276,1061,unknown,unknown
20130311/016276,3881,unknown,unknown
20130311/016276,2201,unknown,unknown
20130311/016276,0961,unknown,unknown
20130311/016276,3972,unknown,unknown
20130311/016276,5601,unknown,unknown
20130311/016276,0451,unknown,unknown
20130311/016276,1391,unknown,unknown
20130311/016276,4651,unknown,unknown
20130311/016276,0691,unknown,unknown
20130311/016276,0671,unknown,unknown
20130311/016276,1151,unknown,unknown
20130311/016276,3532,unknown,unknown
20130311/016276,2951,unknown,unknown
20130311/016276,2191,unknown,unknown
20130311/016276,4162,unknown,unknown
20130311/016276,3162,unknown,unknown
20130311/016276,1081,unknown,unknown
20130311/016276,1942,unknown,unknown
20130311/016276,3091,unknown,unknown
20130311/016276,1161,unknown,unknown
20130311/016276,3451,unknown,unknown
20130311/016276,0711,unknown,unknown
20130311/016276,5171,unknown,unknown
20130311/016276,4681,unknown,unknown
20130311/016276,2761,unknown,unknown
20130311/016276,1681,unknown,unknown
20130311/016276,1551,unknown,unknown
20130311/016276,0511,unknown,unknown
20130311/016276,4021,unknown,unknown
20130311/016276,4221,unknown,unknown
20130311/016276,5511,unknown,unknown
20130311/016276,4511,unknown,unknown
20130311/016276,2131,unknown,unknown
20130311/016276,3791,unknown,unknown
20130311/016276,2441,unknown,unknown
20130311/016276,4761,unknown,unknown
20130311/016276,3801,unknown,unknown
20130311/016276,1991,unknown,unknown
20130311/016276,0421,unknown,unknown
20130311/016276,2101,unknown,unknown
20130311/016276,4091,unknown,unknown
20130311/016276,1251,unknown,unknown
20130311/016276,5581,unknown,unknown
20130311/016276,0381,unknown,unknown
20130311/016276,4551,unknown,unknown
20130311/016276,4041,unknown,unknown
20130311/016276,5241,unknown,unknown
20130311/016276,0441,unknown,unknown
20130311/016276,2351,unknown,unknown
20130311/016276,4691,unknown,unknown
20130311/016276,0771,unknown,unknown
20130311/016276,2971,unknown,unknown
20130311/016276,3951,unknown,unknown
20130311/016276,2731,unknown,unknown
20130311/016276,4421,unknown,unknown
20130311/016276,4261,unknown,unknown
20130311/016276,0631,unknown,unknown
20130311/016276,3051,unknown,unknown
20130311/016276,2671,unknown,unknown
20130311/016276,2231,unknown,unknown
20130311/016276,1761,unknown,unknown
20130311/016276,2571,unknown,unknown
20130311/016276,1811,unknown,unknown
20130311/016276,3101,unknown,unknown
20130311/016276,3431,unknown,unknown
20130311/016276,1861,unknown,unknown
20130311/016276,3181,unknown,unknown
20130311/016276,1731,unknown,unknown
20130311/016276,4441,unknown,unknown
20130311/016276,2141,unknown,unknown
20130311/016276,3761,unknown,unknown
20130311/016276,0611,unknown,unknown
20130311/016276,2121,unknown,unknown
20130311/016276,1671,unknown,unknown
20130311/016276,2851,unknown,unknown
20130311/016276,1371,unknown,unknown
20130311/016276,4891,unknown,unknown
20130311/016276,4241,unknown,unknown
20130311/016276,3301,unknown,unknown
20130311/016276,1231,unknown,unknown
20130311/016276,4831,unknown,unknown
20130311/016276,4491,unknown,unknown
20130311/016276,2701,unknown,unknown
20130311/016276,2371,unknown,unknown
20130311/016276,3581,unknown,unknown
20130311/016276,3641,unknown,unknown
20130311/016276,0091,unknown,unknown
20130311/016276,1171,unknown,unknown
20130311/016276,2831,unknown,unknown
20130311/016276,3931,unknown,unknown
20130311/016276,3121,unknown,unknown
20130311/016276,0491,unknown,unknown
20130311/016276,3682,unknown,unknown
20130311/016276,4851,unknown,unknown
20130311/016276,3541,unknown,unknown
20130311/016276,2722,unknown,unknown
20130311/016276,4161,unknown,unknown
20130311/016276,0471,unknown,unknown
20130311/016276,2601,unknown,unknown
20130311/016276,3561,unknown,unknown
20130311/016276,5391,unknown,unknown
20130311/016276,0591,unknown,unknown
20130311/016276,0331,unknown,unknown
20130311/016276,3771,unknown,unknown
20130311/016276,1732,unknown,unknown
20130311/016276,4812,unknown,unknown
20130311/016276,4381,unknown,unknown
20130311/016276,2181,unknown,unknown
20130311/016276,1381,unknown,unknown
20130311/016276,1911,unknown,unknown
20130311/016276,3071,unknown,unknown
20130311/016276,3521,unknown,unknown
20130311/016276,1051,unknown,unknown
20130311/016276,0781,unknown,unknown
20130311/016276,2471,unknown,unknown
20130311/016276,2331,unknown,unknown
20130311/016276,4621,unknown,unknown
20130311/016276,2381,unknown,unknown
20130311/016276,0361,unknown,unknown
20130311/016276,0851,unknown,unknown
20130311/016276,2651,unknown,unknown
20130311/016276,3481,unknown,unknown
20130311/016276,4001,unknown,unknown
20130311/016276,1601,unknown,unknown
20130311/016276,3683,unknown,unknown
20130311/016276,2581,unknown,unknown
20130311/016276,3491,unknown,unknown
20130311/016276,4292,unknown,unknown
20130311/016276,3821,unknown,unknown
20130311/016276,2161,unknown,unknown
20130311/016276,0321,unknown,unknown
20130311/016276,3261,unknown,unknown
20130311/016276,3811,unknown,unknown
20130311/016276,1041,unknown,unknown
20130311/016276,4341,unknown,unknown
20130311/016276,0051,unknown,unknown
20130311/016276,0531,unknown,unknown
20130311/016276,0151,unknown,unknown
20130311/016276,4201,unknown,unknown
20130311/016276,3711,unknown,unknown
20130311/016276,4231,unknown,unknown
20130311/016276,0941,unknown,unknown
20130311/016276,1121,unknown,unknown
20130311/016276,1291,unknown,unknown
20130311/016276,2271,unknown,unknown
20130311/016276,2541,unknown,unknown
20130311/016276,1741,unknown,unknown
20130311/016276,0971,unknown,unknown
20130311/016276,3151,unknown,unknown
20130311/016276,0021,unknown,unknown
20130311/016276,3411,unknown,unknown
20130311/016276,0391,unknown,unknown
20130311/016276,4031,unknown,unknown
20130311/016276,3701,unknown,unknown
