dirname,metasys_id,stage,orientation
20120813/6477,0029,unknown,unknown
20120813/6477,0057,unknown,unknown
20120813/6477,0329,unknown,unknown
20120813/6477,0030,unknown,unknown
20120813/6477,0179,unknown,unknown
20120813/6477,0062,unknown,unknown
20120813/6477,0171,unknown,unknown
20120813/6477,0219,unknown,unknown
20120813/6477,0042,unknown,unknown
20120813/6477,0121,unknown,unknown
20120813/6477,0312,unknown,unknown
20120813/6477,0130,unknown,unknown
20120813/6477,0087,unknown,unknown
20120813/6477,0020,unknown,unknown
20120813/6477,0015,unknown,unknown
20120813/6477,0211,unknown,unknown
20120813/6477,0293,unknown,unknown
20120813/6477,0241,unknown,unknown
20120813/6477,0099,unknown,unknown
20120813/6477,0319,unknown,unknown
20120813/6477,0333,unknown,unknown
20120813/6477,0136,unknown,unknown
20120813/6477,0067,unknown,unknown
20120813/6477,0284,unknown,unknown
20120813/6477,0169,unknown,unknown
20120813/6477,0335,unknown,unknown
20120813/6477,0282,unknown,unknown
20120813/6477,0296,unknown,unknown
20120813/6477,0163,unknown,unknown
20120813/6477,0025,unknown,unknown
20120813/6477,0162,unknown,unknown
20120813/6477,0317,unknown,unknown
20120813/6477,0001,unknown,unknown
20120813/6477,0101,unknown,unknown
20120813/6477,0043,unknown,unknown
20120813/6477,0324,unknown,unknown
20120813/6477,0189,unknown,unknown
20120813/6477,0336,unknown,unknown
20120813/6477,0201,unknown,unknown
20120813/6477,0301,unknown,unknown
20120813/6477,0031,unknown,unknown
20120813/6477,0309,unknown,unknown
20120813/6477,0297,unknown,unknown
20120813/6477,0304,unknown,unknown
20120813/6477,0143,unknown,unknown
20120813/6477,0078,unknown,unknown
20120813/6477,0006,unknown,unknown
20120813/6477,0116,unknown,unknown
20120813/6477,0214,unknown,unknown
20120813/6477,0209,unknown,unknown
20120813/6477,0253,unknown,unknown
20120813/6477,0037,unknown,unknown
20120813/6477,0257,unknown,unknown
20120813/6477,0074,unknown,unknown
20120813/6477,0203,unknown,unknown
20120813/6477,0270,unknown,unknown
20120813/6477,0019,unknown,unknown
20120813/6477,0285,unknown,unknown
20120813/6477,0325,unknown,unknown
20120813/6477,0220,unknown,unknown
20120813/6477,0255,unknown,unknown
20120813/6477,0195,unknown,unknown
20120813/6477,0174,unknown,unknown
20120813/6477,0281,unknown,unknown
20120813/6477,0079,unknown,unknown
20120813/6477,0197,unknown,unknown
20120813/6477,0126,unknown,unknown
20120813/6477,0089,unknown,unknown
20120813/6477,0026,unknown,unknown
20120813/6477,0238,unknown,unknown
20120813/6477,0305,unknown,unknown
20120813/6477,0278,unknown,unknown
20120813/6477,0235,unknown,unknown
20120813/6477,0085,unknown,unknown
20120813/6477,0069,unknown,unknown
20120813/6477,0104,unknown,unknown
20120813/6477,0199,unknown,unknown
20120813/6477,0124,unknown,unknown
20120813/6477,0114,unknown,unknown
20120813/6477,0244,unknown,unknown
20120813/6477,0332,unknown,unknown
20120813/6477,0248,unknown,unknown
20120813/6477,0109,unknown,unknown
20120813/6477,0010,unknown,unknown
20120813/6477,0092,unknown,unknown
20120813/6477,0066,unknown,unknown
20120813/6477,0018,unknown,unknown
20120813/6477,0276,unknown,unknown
20120813/6477,0002,unknown,unknown
20120813/6477,0192,unknown,unknown
20120813/6477,0125,unknown,unknown
20120813/6477,0256,unknown,unknown
20120813/6477,0327,unknown,unknown
20120813/6477,0295,unknown,unknown
20120813/6477,0117,unknown,unknown
20120813/6477,0269,unknown,unknown
20120813/6477,0106,unknown,unknown
20120813/6477,0202,unknown,unknown
20120813/6477,0272,unknown,unknown
20120813/6477,0036,unknown,unknown
20120813/6477,0277,unknown,unknown
20120813/6477,0259,unknown,unknown
20120813/6477,0100,unknown,unknown
20120813/6477,0184,unknown,unknown
20120813/6477,0314,unknown,unknown
20120813/6477,0288,unknown,unknown
20120813/6477,0076,unknown,unknown
20120813/6477,0003,unknown,unknown
20120813/6477,0245,unknown,unknown
20120813/6477,0290,unknown,unknown
20120813/6477,0258,unknown,unknown
