dirname,metasys_id,stage,orientation
20120604/016851,0458,unknown,unknown
20120604/016851,0029,unknown,unknown
20120604/016851,0057,unknown,unknown
20120604/016851,0329,unknown,unknown
20120604/016851,0030,unknown,unknown
20120604/016851,0460,unknown,unknown
20120604/016851,0179,unknown,unknown
20120604/016851,0062,unknown,unknown
20120604/016851,0171,unknown,unknown
20120604/016851,0219,unknown,unknown
20120604/016851,0401,unknown,unknown
20120604/016851,0042,unknown,unknown
20120604/016851,0121,unknown,unknown
20120604/016851,0312,unknown,unknown
20120604/016851,0355,unknown,unknown
20120604/016851,0130,unknown,unknown
20120604/016851,0509,unknown,unknown
20120604/016851,0461,unknown,unknown
20120604/016851,0087,unknown,unknown
20120604/016851,0020,unknown,unknown
20120604/016851,0015,unknown,unknown
20120604/016851,0211,unknown,unknown
20120604/016851,0293,unknown,unknown
20120604/016851,0449,unknown,unknown
20120604/016851,0241,unknown,unknown
20120604/016851,0099,unknown,unknown
20120604/016851,0319,unknown,unknown
20120604/016851,0357,unknown,unknown
20120604/016851,0333,unknown,unknown
20120604/016851,0136,unknown,unknown
20120604/016851,0359,unknown,unknown
20120604/016851,0067,unknown,unknown
20120604/016851,0284,unknown,unknown
20120604/016851,0426,unknown,unknown
20120604/016851,0169,unknown,unknown
20120604/016851,0335,unknown,unknown
20120604/016851,0489,unknown,unknown
20120604/016851,0282,unknown,unknown
20120604/016851,0296,unknown,unknown
20120604/016851,0163,unknown,unknown
20120604/016851,0413,unknown,unknown
20120604/016851,0025,unknown,unknown
20120604/016851,0162,unknown,unknown
20120604/016851,0317,unknown,unknown
20120604/016851,0001,unknown,unknown
20120604/016851,0403,unknown,unknown
20120604/016851,0101,unknown,unknown
20120604/016851,0418,unknown,unknown
20120604/016851,0384,unknown,unknown
20120604/016851,0043,unknown,unknown
20120604/016851,0324,unknown,unknown
20120604/016851,0189,unknown,unknown
20120604/016851,0336,unknown,unknown
20120604/016851,0201,unknown,unknown
20120604/016851,0301,unknown,unknown
20120604/016851,0396,unknown,unknown
20120604/016851,0495,unknown,unknown
20120604/016851,0031,unknown,unknown
20120604/016851,0309,unknown,unknown
20120604/016851,0297,unknown,unknown
20120604/016851,0304,unknown,unknown
20120604/016851,0143,unknown,unknown
20120604/016851,0078,unknown,unknown
20120604/016851,0006,unknown,unknown
20120604/016851,0116,unknown,unknown
20120604/016851,0214,unknown,unknown
20120604/016851,0209,unknown,unknown
20120604/016851,0253,unknown,unknown
20120604/016851,0457,unknown,unknown
20120604/016851,0037,unknown,unknown
20120604/016851,0358,unknown,unknown
20120604/016851,0467,unknown,unknown
20120604/016851,0257,unknown,unknown
20120604/016851,0074,unknown,unknown
20120604/016851,0203,unknown,unknown
20120604/016851,0270,unknown,unknown
20120604/016851,0019,unknown,unknown
20120604/016851,0285,unknown,unknown
20120604/016851,0485,unknown,unknown
20120604/016851,0325,unknown,unknown
20120604/016851,0498,unknown,unknown
20120604/016851,0220,unknown,unknown
20120604/016851,0411,unknown,unknown
20120604/016851,0369,unknown,unknown
20120604/016851,0255,unknown,unknown
20120604/016851,0195,unknown,unknown
20120604/016851,0174,unknown,unknown
20120604/016851,0281,unknown,unknown
20120604/016851,0079,unknown,unknown
20120604/016851,0197,unknown,unknown
20120604/016851,0126,unknown,unknown
20120604/016851,0414,unknown,unknown
20120604/016851,0405,unknown,unknown
20120604/016851,0089,unknown,unknown
20120604/016851,0026,unknown,unknown
20120604/016851,0238,unknown,unknown
20120604/016851,0305,unknown,unknown
20120604/016851,0278,unknown,unknown
20120604/016851,0451,unknown,unknown
20120604/016851,0390,unknown,unknown
20120604/016851,0454,unknown,unknown
20120604/016851,0504,unknown,unknown
20120604/016851,0399,unknown,unknown
20120604/016851,0235,unknown,unknown
20120604/016851,0469,unknown,unknown
20120604/016851,0507,unknown,unknown
20120604/016851,0085,unknown,unknown
20120604/016851,0069,unknown,unknown
20120604/016851,0104,unknown,unknown
20120604/016851,0199,unknown,unknown
20120604/016851,0124,unknown,unknown
20120604/016851,0114,unknown,unknown
20120604/016851,0244,unknown,unknown
20120604/016851,0332,unknown,unknown
20120604/016851,0248,unknown,unknown
20120604/016851,0109,unknown,unknown
20120604/016851,0010,unknown,unknown
20120604/016851,0092,unknown,unknown
20120604/016851,0066,unknown,unknown
20120604/016851,0366,unknown,unknown
20120604/016851,0018,unknown,unknown
20120604/016851,0276,unknown,unknown
20120604/016851,0420,unknown,unknown
20120604/016851,0002,unknown,unknown
20120604/016851,0421,unknown,unknown
20120604/016851,0192,unknown,unknown
20120604/016851,0492,unknown,unknown
20120604/016851,0125,unknown,unknown
20120604/016851,0256,unknown,unknown
20120604/016851,0381,unknown,unknown
20120604/016851,0327,unknown,unknown
20120604/016851,0295,unknown,unknown
20120604/016851,0402,unknown,unknown
20120604/016851,0441,unknown,unknown
20120604/016851,0473,unknown,unknown
20120604/016851,0117,unknown,unknown
20120604/016851,0269,unknown,unknown
20120604/016851,0106,unknown,unknown
20120604/016851,0370,unknown,unknown
20120604/016851,0344,unknown,unknown
20120604/016851,0475,unknown,unknown
20120604/016851,0202,unknown,unknown
20120604/016851,0374,unknown,unknown
20120604/016851,0466,unknown,unknown
20120604/016851,0272,unknown,unknown
20120604/016851,0377,unknown,unknown
20120604/016851,0036,unknown,unknown
20120604/016851,0455,unknown,unknown
20120604/016851,0419,unknown,unknown
20120604/016851,0277,unknown,unknown
20120604/016851,0259,unknown,unknown
20120604/016851,0425,unknown,unknown
20120604/016851,0100,unknown,unknown
20120604/016851,0184,unknown,unknown
20120604/016851,0314,unknown,unknown
20120604/016851,0472,unknown,unknown
20120604/016851,0288,unknown,unknown
20120604/016851,0076,unknown,unknown
20120604/016851,0003,unknown,unknown
20120604/016851,0245,unknown,unknown
20120604/016851,0290,unknown,unknown
20120604/016851,0483,unknown,unknown
20120604/016851,0258,unknown,unknown
20120604/016851,0137,unknown,unknown
20120604/016851,0133,unknown,unknown
20120604/016851,0216,unknown,unknown
20120604/016851,0499,unknown,unknown
20120604/016851,0147,unknown,unknown
20120604/016851,0435,unknown,unknown
20120604/016851,0493,unknown,unknown
20120604/016851,0448,unknown,unknown
20120604/016851,0408,unknown,unknown
20120604/016851,0367,unknown,unknown
20120604/016851,0200,unknown,unknown
20120604/016851,0077,unknown,unknown
20120604/016851,0049,unknown,unknown
20120604/016851,0144,unknown,unknown
20120604/016851,0091,unknown,unknown
20120604/016851,0375,unknown,unknown
20120604/016851,0283,unknown,unknown
20120604/016851,0193,unknown,unknown
20120604/016851,0239,unknown,unknown
20120604/016851,0491,unknown,unknown
20120604/016851,0103,unknown,unknown
20120604/016851,0123,unknown,unknown
20120604/016851,0439,unknown,unknown
20120604/016851,0176,unknown,unknown
20120604/016851,0397,unknown,unknown
20120604/016851,0471,unknown,unknown
20120604/016851,0490,unknown,unknown
20120604/016851,0158,unknown,unknown
20120604/016851,0177,unknown,unknown
20120604/016851,0442,unknown,unknown
20120604/016851,0113,unknown,unknown
20120604/016851,0055,unknown,unknown
20120604/016851,0331,unknown,unknown
20120604/016851,0068,unknown,unknown
20120604/016851,0392,unknown,unknown
20120604/016851,0463,unknown,unknown
20120604/016851,0386,unknown,unknown
20120604/016851,0462,unknown,unknown
20120604/016851,0190,unknown,unknown
20120604/016851,0409,unknown,unknown
20120604/016851,0342,unknown,unknown
20120604/016851,0361,unknown,unknown
20120604/016851,0378,unknown,unknown
20120604/016851,0500,unknown,unknown
20120604/016851,0060,unknown,unknown
20120604/016851,0502,unknown,unknown
20120604/016851,0038,unknown,unknown
20120604/016851,0095,unknown,unknown
20120604/016851,0470,unknown,unknown
20120604/016851,0223,unknown,unknown
20120604/016851,0438,unknown,unknown
20120604/016851,0321,unknown,unknown
20120604/016851,0054,unknown,unknown
20120604/016851,0433,unknown,unknown
20120604/016851,0452,unknown,unknown
20120604/016851,0299,unknown,unknown
20120604/016851,0175,unknown,unknown
20120604/016851,0084,unknown,unknown
20120604/016851,0051,unknown,unknown
20120604/016851,0326,unknown,unknown
20120604/016851,0151,unknown,unknown
20120604/016851,0415,unknown,unknown
20120604/016851,0222,unknown,unknown
20120604/016851,0233,unknown,unknown
20120604/016851,0339,unknown,unknown
20120604/016851,0053,unknown,unknown
20120604/016851,0204,unknown,unknown
20120604/016851,0182,unknown,unknown
20120604/016851,0155,unknown,unknown
20120604/016851,0450,unknown,unknown
20120604/016851,0021,unknown,unknown
20120604/016851,0391,unknown,unknown
20120604/016851,0380,unknown,unknown
20120604/016851,0440,unknown,unknown
20120604/016851,0404,unknown,unknown
20120604/016851,0167,unknown,unknown
20120604/016851,0075,unknown,unknown
20120604/016851,0251,unknown,unknown
20120604/016851,0479,unknown,unknown
20120604/016851,0428,unknown,unknown
20120604/016851,0393,unknown,unknown
20120604/016851,0294,unknown,unknown
20120604/016851,0323,unknown,unknown
20120604/016851,0172,unknown,unknown
20120604/016851,0352,unknown,unknown
20120604/016851,0337,unknown,unknown
20120604/016851,0379,unknown,unknown
20120604/016851,0198,unknown,unknown
20120604/016851,0322,unknown,unknown
20120604/016851,0432,unknown,unknown
20120604/016851,0503,unknown,unknown
20120604/016851,0486,unknown,unknown
20120604/016851,0064,unknown,unknown
20120604/016851,0496,unknown,unknown
20120604/016851,0141,unknown,unknown
20120604/016851,0267,unknown,unknown
20120604/016851,0334,unknown,unknown
20120604/016851,0164,unknown,unknown
20120604/016851,0351,unknown,unknown
20120604/016851,0368,unknown,unknown
20120604/016851,0072,unknown,unknown
20120604/016851,0456,unknown,unknown
20120604/016851,0094,unknown,unknown
20120604/016851,0185,unknown,unknown
20120604/016851,0118,unknown,unknown
20120604/016851,0208,unknown,unknown
20120604/016851,0400,unknown,unknown
20120604/016851,0346,unknown,unknown
20120604/016851,0264,unknown,unknown
20120604/016851,0232,unknown,unknown
20120604/016851,0230,unknown,unknown
20120604/016851,0437,unknown,unknown
20120604/016851,0300,unknown,unknown
20120604/016851,0004,unknown,unknown
20120604/016851,0407,unknown,unknown
20120604/016851,0389,unknown,unknown
20120604/016851,0154,unknown,unknown
20120604/016851,0243,unknown,unknown
20120604/016851,0013,unknown,unknown
20120604/016851,0045,unknown,unknown
20120604/016851,0395,unknown,unknown
20120604/016851,0292,unknown,unknown
20120604/016851,0488,unknown,unknown
20120604/016851,0354,unknown,unknown
20120604/016851,0098,unknown,unknown
20120604/016851,0128,unknown,unknown
20120604/016851,0360,unknown,unknown
20120604/016851,0345,unknown,unknown
20120604/016851,0146,unknown,unknown
20120604/016851,0424,unknown,unknown
20120604/016851,0083,unknown,unknown
20120604/016851,0240,unknown,unknown
20120604/016851,0132,unknown,unknown
20120604/016851,0343,unknown,unknown
20120604/016851,0048,unknown,unknown
20120604/016851,0506,unknown,unknown
20120604/016851,0120,unknown,unknown
20120604/016851,0388,unknown,unknown
20120604/016851,0265,unknown,unknown
20120604/016851,0430,unknown,unknown
20120604/016851,0070,unknown,unknown
20120604/016851,0140,unknown,unknown
20120604/016851,0009,unknown,unknown
20120604/016851,0311,unknown,unknown
20120604/016851,0088,unknown,unknown
20120604/016851,0225,unknown,unknown
20120604/016851,0005,unknown,unknown
20120604/016851,0073,unknown,unknown
20120604/016851,0134,unknown,unknown
20120604/016851,0385,unknown,unknown
20120604/016851,0149,unknown,unknown
20120604/016851,0423,unknown,unknown
20120604/016851,0434,unknown,unknown
20120604/016851,0111,unknown,unknown
20120604/016851,0156,unknown,unknown
20120604/016851,0188,unknown,unknown
20120604/016851,0183,unknown,unknown
20120604/016851,0348,unknown,unknown
20120604/016851,0427,unknown,unknown
20120604/016851,0394,unknown,unknown
20120604/016851,0306,unknown,unknown
20120604/016851,0262,unknown,unknown
20120604/016851,0338,unknown,unknown
20120604/016851,0313,unknown,unknown
20120604/016851,0097,unknown,unknown
20120604/016851,0444,unknown,unknown
20120604/016851,0234,unknown,unknown
20120604/016851,0246,unknown,unknown
20120604/016851,0215,unknown,unknown
20120604/016851,0166,unknown,unknown
20120604/016851,0263,unknown,unknown
20120604/016851,0261,unknown,unknown
20120604/016851,0081,unknown,unknown
20120604/016851,0459,unknown,unknown
20120604/016851,0289,unknown,unknown
20120604/016851,0145,unknown,unknown
20120604/016851,0443,unknown,unknown
20120604/016851,0148,unknown,unknown
20120604/016851,0268,unknown,unknown
20120604/016851,0315,unknown,unknown
20120604/016851,0226,unknown,unknown
20120604/016851,0229,unknown,unknown
20120604/016851,0159,unknown,unknown
20120604/016851,0373,unknown,unknown
20120604/016851,0112,unknown,unknown
20120604/016851,0119,unknown,unknown
20120604/016851,0028,unknown,unknown
20120604/016851,0150,unknown,unknown
20120604/016851,0033,unknown,unknown
20120604/016851,0249,unknown,unknown
20120604/016851,0196,unknown,unknown
20120604/016851,0170,unknown,unknown
20120604/016851,0186,unknown,unknown
20120604/016851,0474,unknown,unknown
20120604/016851,0260,unknown,unknown
20120604/016851,0371,unknown,unknown
20120604/016851,0382,unknown,unknown
20120604/016851,0142,unknown,unknown
20120604/016851,0410,unknown,unknown
20120604/016851,0138,unknown,unknown
20120604/016851,0302,unknown,unknown
20120604/016851,0059,unknown,unknown
20120604/016851,0165,unknown,unknown
20120604/016851,0228,unknown,unknown
20120604/016851,0376,unknown,unknown
20120604/016851,0275,unknown,unknown
20120604/016851,0453,unknown,unknown
20120604/016851,0307,unknown,unknown
20120604/016851,0131,unknown,unknown
20120604/016851,0107,unknown,unknown
20120604/016851,0318,unknown,unknown
20120604/016851,0061,unknown,unknown
20120604/016851,0280,unknown,unknown
20120604/016851,0236,unknown,unknown
20120604/016851,0168,unknown,unknown
20120604/016851,0224,unknown,unknown
20120604/016851,0505,unknown,unknown
20120604/016851,0008,unknown,unknown
20120604/016851,0227,unknown,unknown
20120604/016851,0310,unknown,unknown
20120604/016851,0056,unknown,unknown
20120604/016851,0412,unknown,unknown
20120604/016851,0287,unknown,unknown
20120604/016851,0011,unknown,unknown
20120604/016851,0217,unknown,unknown
20120604/016851,0303,unknown,unknown
20120604/016851,0478,unknown,unknown
20120604/016851,0484,unknown,unknown
20120604/016851,0063,unknown,unknown
20120604/016851,0016,unknown,unknown
20120604/016851,0501,unknown,unknown
20120604/016851,0032,unknown,unknown
20120604/016851,0487,unknown,unknown
20120604/016851,0480,unknown,unknown
20120604/016851,0436,unknown,unknown
20120604/016851,0207,unknown,unknown
20120604/016851,0330,unknown,unknown
20120604/016851,0340,unknown,unknown
20120604/016851,0135,unknown,unknown
20120604/016851,0058,unknown,unknown
20120604/016851,0194,unknown,unknown
20120604/016851,0173,unknown,unknown
20120604/016851,0115,unknown,unknown
20120604/016851,0127,unknown,unknown
20120604/016851,0286,unknown,unknown
20120604/016851,0210,unknown,unknown
20120604/016851,0129,unknown,unknown
20120604/016851,0212,unknown,unknown
20120604/016851,0014,unknown,unknown
20120604/016851,0349,unknown,unknown
20120604/016851,0446,unknown,unknown
20120604/016851,0445,unknown,unknown
20120604/016851,0316,unknown,unknown
20120604/016851,0181,unknown,unknown
20120604/016851,0237,unknown,unknown
20120604/016851,0422,unknown,unknown
20120604/016851,0482,unknown,unknown
20120604/016851,0108,unknown,unknown
20120604/016851,0347,unknown,unknown
20120604/016851,0464,unknown,unknown
20120604/016851,0363,unknown,unknown
20120604/016851,0372,unknown,unknown
20120604/016851,0206,unknown,unknown
20120604/016851,0023,unknown,unknown
20120604/016851,0187,unknown,unknown
20120604/016851,0298,unknown,unknown
20120604/016851,0046,unknown,unknown
20120604/016851,0080,unknown,unknown
20120604/016851,0350,unknown,unknown
20120604/016851,0497,unknown,unknown
20120604/016851,0086,unknown,unknown
20120604/016851,0205,unknown,unknown
20120604/016851,0365,unknown,unknown
20120604/016851,0266,unknown,unknown
20120604/016851,0387,unknown,unknown
20120604/016851,0093,unknown,unknown
20120604/016851,0090,unknown,unknown
20120604/016851,0429,unknown,unknown
20120604/016851,0065,unknown,unknown
20120604/016851,0052,unknown,unknown
20120604/016851,0353,unknown,unknown
20120604/016851,0273,unknown,unknown
20120604/016851,0356,unknown,unknown
20120604/016851,0468,unknown,unknown
20120604/016851,0102,unknown,unknown
20120604/016851,0041,unknown,unknown
20120604/016851,0221,unknown,unknown
20120604/016851,0071,unknown,unknown
20120604/016851,0047,unknown,unknown
20120604/016851,0242,unknown,unknown
20120604/016851,0153,unknown,unknown
20120604/016851,0476,unknown,unknown
20120604/016851,0398,unknown,unknown
20120604/016851,0254,unknown,unknown
20120604/016851,0320,unknown,unknown
20120604/016851,0279,unknown,unknown
20120604/016851,0191,unknown,unknown
20120604/016851,0406,unknown,unknown
20120604/016851,0105,unknown,unknown
20120604/016851,0044,unknown,unknown
20120604/016851,0017,unknown,unknown
20120604/016851,0161,unknown,unknown
20120604/016851,0308,unknown,unknown
20120604/016851,0328,unknown,unknown
20120604/016851,0213,unknown,unknown
20120604/016851,0007,unknown,unknown
20120604/016851,0039,unknown,unknown
20120604/016851,0271,unknown,unknown
20120604/016851,0178,unknown,unknown
20120604/016851,0035,unknown,unknown
20120604/016851,0481,unknown,unknown
20120604/016851,0416,unknown,unknown
20120604/016851,0291,unknown,unknown
20120604/016851,0110,unknown,unknown
20120604/016851,0082,unknown,unknown
20120604/016851,0362,unknown,unknown
20120604/016851,0417,unknown,unknown
20120604/016851,0180,unknown,unknown
