dirname,metasys_id,stage,orientation
20120604/045106~A,0458,unknown,unknown
20120604/045106~A,0029,unknown,unknown
20120604/045106~A,0057,unknown,unknown
20120604/045106~A,0329,unknown,unknown
20120604/045106~A,0030,unknown,unknown
20120604/045106~A,0179,unknown,unknown
20120604/045106~A,0062,unknown,unknown
20120604/045106~A,0171,unknown,unknown
20120604/045106~A,0219,unknown,unknown
20120604/045106~A,0401,unknown,unknown
20120604/045106~A,0042,unknown,unknown
20120604/045106~A,0121,unknown,unknown
20120604/045106~A,0312,unknown,unknown
20120604/045106~A,0355,unknown,unknown
20120604/045106~A,0130,unknown,unknown
20120604/045106~A,0087,unknown,unknown
20120604/045106~A,0020,unknown,unknown
20120604/045106~A,0015,unknown,unknown
20120604/045106~A,0211,unknown,unknown
20120604/045106~A,0293,unknown,unknown
20120604/045106~A,0449,unknown,unknown
20120604/045106~A,0241,unknown,unknown
20120604/045106~A,0099,unknown,unknown
20120604/045106~A,0319,unknown,unknown
20120604/045106~A,0357,unknown,unknown
20120604/045106~A,0333,unknown,unknown
20120604/045106~A,0136,unknown,unknown
20120604/045106~A,0359,unknown,unknown
20120604/045106~A,0067,unknown,unknown
20120604/045106~A,0284,unknown,unknown
20120604/045106~A,0426,unknown,unknown
20120604/045106~A,0169,unknown,unknown
20120604/045106~A,0335,unknown,unknown
20120604/045106~A,0282,unknown,unknown
20120604/045106~A,0296,unknown,unknown
20120604/045106~A,0163,unknown,unknown
20120604/045106~A,0413,unknown,unknown
20120604/045106~A,0025,unknown,unknown
20120604/045106~A,0162,unknown,unknown
20120604/045106~A,0317,unknown,unknown
20120604/045106~A,0001,unknown,unknown
20120604/045106~A,0403,unknown,unknown
20120604/045106~A,0101,unknown,unknown
20120604/045106~A,0418,unknown,unknown
20120604/045106~A,0384,unknown,unknown
20120604/045106~A,0043,unknown,unknown
20120604/045106~A,0324,unknown,unknown
20120604/045106~A,0189,unknown,unknown
20120604/045106~A,0336,unknown,unknown
20120604/045106~A,0201,unknown,unknown
20120604/045106~A,0301,unknown,unknown
20120604/045106~A,0396,unknown,unknown
20120604/045106~A,0031,unknown,unknown
20120604/045106~A,0309,unknown,unknown
20120604/045106~A,0297,unknown,unknown
20120604/045106~A,0304,unknown,unknown
20120604/045106~A,0143,unknown,unknown
20120604/045106~A,0078,unknown,unknown
20120604/045106~A,0006,unknown,unknown
20120604/045106~A,0116,unknown,unknown
20120604/045106~A,0214,unknown,unknown
20120604/045106~A,0209,unknown,unknown
20120604/045106~A,0253,unknown,unknown
20120604/045106~A,0457,unknown,unknown
20120604/045106~A,0037,unknown,unknown
20120604/045106~A,0358,unknown,unknown
20120604/045106~A,0257,unknown,unknown
20120604/045106~A,0074,unknown,unknown
20120604/045106~A,0203,unknown,unknown
20120604/045106~A,0270,unknown,unknown
20120604/045106~A,0019,unknown,unknown
20120604/045106~A,0285,unknown,unknown
20120604/045106~A,0325,unknown,unknown
20120604/045106~A,0220,unknown,unknown
20120604/045106~A,0411,unknown,unknown
20120604/045106~A,0369,unknown,unknown
20120604/045106~A,0255,unknown,unknown
20120604/045106~A,0195,unknown,unknown
20120604/045106~A,0174,unknown,unknown
20120604/045106~A,0281,unknown,unknown
20120604/045106~A,0079,unknown,unknown
20120604/045106~A,0197,unknown,unknown
20120604/045106~A,0126,unknown,unknown
20120604/045106~A,0414,unknown,unknown
20120604/045106~A,0405,unknown,unknown
20120604/045106~A,0089,unknown,unknown
20120604/045106~A,0026,unknown,unknown
20120604/045106~A,0238,unknown,unknown
20120604/045106~A,0305,unknown,unknown
20120604/045106~A,0278,unknown,unknown
20120604/045106~A,0451,unknown,unknown
20120604/045106~A,0390,unknown,unknown
20120604/045106~A,0454,unknown,unknown
20120604/045106~A,0399,unknown,unknown
20120604/045106~A,0235,unknown,unknown
20120604/045106~A,0085,unknown,unknown
20120604/045106~A,0069,unknown,unknown
20120604/045106~A,0104,unknown,unknown
20120604/045106~A,0199,unknown,unknown
20120604/045106~A,0124,unknown,unknown
20120604/045106~A,0114,unknown,unknown
20120604/045106~A,0244,unknown,unknown
20120604/045106~A,0332,unknown,unknown
20120604/045106~A,0248,unknown,unknown
20120604/045106~A,0109,unknown,unknown
20120604/045106~A,0010,unknown,unknown
20120604/045106~A,0092,unknown,unknown
20120604/045106~A,0066,unknown,unknown
20120604/045106~A,0366,unknown,unknown
20120604/045106~A,0018,unknown,unknown
20120604/045106~A,0276,unknown,unknown
20120604/045106~A,0420,unknown,unknown
20120604/045106~A,0002,unknown,unknown
20120604/045106~A,0421,unknown,unknown
20120604/045106~A,0192,unknown,unknown
