dirname,metasys_id,stage,orientation
20130301-rescan2/050278~B,2241,unknown,unknown
20130301-rescan2/050278~B,1441,unknown,unknown
20130301-rescan2/050278~B,2261,unknown,unknown
20130301-rescan2/050278~B,0171,unknown,unknown
20130301-rescan2/050278~B,0401,unknown,unknown
20130301-rescan2/050278~B,0121,unknown,unknown
20130301-rescan2/050278~B,1711,unknown,unknown
20130301-rescan2/050278~B,1751,unknown,unknown
20130301-rescan2/050278~B,0461,unknown,unknown
20130301-rescan2/050278~B,0211,unknown,unknown
20130301-rescan2/050278~B,0241,unknown,unknown
20130301-rescan2/050278~B,2551,unknown,unknown
20130301-rescan2/050278~B,1001,unknown,unknown
20130301-rescan2/050278~B,1762,unknown,unknown
20130301-rescan2/050278~B,0921,unknown,unknown
20130301-rescan2/050278~B,1521,unknown,unknown
20130301-rescan2/050278~B,0831,unknown,unknown
20130301-rescan2/050278~B,0101,unknown,unknown
20130301-rescan2/050278~B,2071,unknown,unknown
20130301-rescan2/050278~B,1131,unknown,unknown
20130301-rescan2/050278~B,0791,unknown,unknown
20130301-rescan2/050278~B,0991,unknown,unknown
20130301-rescan2/050278~B,2321,unknown,unknown
20130301-rescan2/050278~B,1011,unknown,unknown
20130301-rescan2/050278~B,1421,unknown,unknown
20130301-rescan2/050278~B,0201,unknown,unknown
20130301-rescan2/050278~B,0301,unknown,unknown
20130301-rescan2/050278~B,2431,unknown,unknown
20130301-rescan2/050278~B,0911,unknown,unknown
20130301-rescan2/050278~B,0031,unknown,unknown
20130301-rescan2/050278~B,2461,unknown,unknown
20130301-rescan2/050278~B,1981,unknown,unknown
20130301-rescan2/050278~B,1541,unknown,unknown
20130301-rescan2/050278~B,1901,unknown,unknown
20130301-rescan2/050278~B,2491,unknown,unknown
20130301-rescan2/050278~B,1771,unknown,unknown
20130301-rescan2/050278~B,1531,unknown,unknown
20130301-rescan2/050278~B,2451,unknown,unknown
20130301-rescan2/050278~B,0521,unknown,unknown
20130301-rescan2/050278~B,0541,unknown,unknown
20130301-rescan2/050278~B,1581,unknown,unknown
20130301-rescan2/050278~B,2221,unknown,unknown
20130301-rescan2/050278~B,1031,unknown,unknown
20130301-rescan2/050278~B,0281,unknown,unknown
20130301-rescan2/050278~B,0841,unknown,unknown
20130301-rescan2/050278~B,2001,unknown,unknown
20130301-rescan2/050278~B,2391,unknown,unknown
20130301-rescan2/050278~B,2151,unknown,unknown
20130301-rescan2/050278~B,1921,unknown,unknown
20130301-rescan2/050278~B,2201,unknown,unknown
20130301-rescan2/050278~B,0961,unknown,unknown
20130301-rescan2/050278~B,0451,unknown,unknown
20130301-rescan2/050278~B,1391,unknown,unknown
20130301-rescan2/050278~B,0691,unknown,unknown
20130301-rescan2/050278~B,0671,unknown,unknown
20130301-rescan2/050278~B,1151,unknown,unknown
20130301-rescan2/050278~B,2191,unknown,unknown
20130301-rescan2/050278~B,1081,unknown,unknown
20130301-rescan2/050278~B,1161,unknown,unknown
20130301-rescan2/050278~B,0711,unknown,unknown
20130301-rescan2/050278~B,1681,unknown,unknown
20130301-rescan2/050278~B,1551,unknown,unknown
20130301-rescan2/050278~B,0511,unknown,unknown
20130301-rescan2/050278~B,2131,unknown,unknown
20130301-rescan2/050278~B,2441,unknown,unknown
20130301-rescan2/050278~B,1991,unknown,unknown
20130301-rescan2/050278~B,0421,unknown,unknown
20130301-rescan2/050278~B,2101,unknown,unknown
20130301-rescan2/050278~B,1251,unknown,unknown
20130301-rescan2/050278~B,0381,unknown,unknown
20130301-rescan2/050278~B,0441,unknown,unknown
20130301-rescan2/050278~B,2351,unknown,unknown
20130301-rescan2/050278~B,0771,unknown,unknown
20130301-rescan2/050278~B,2332,unknown,unknown
20130301-rescan2/050278~B,1761,unknown,unknown
20130301-rescan2/050278~B,2571,unknown,unknown
20130301-rescan2/050278~B,1811,unknown,unknown
20130301-rescan2/050278~B,1861,unknown,unknown
20130301-rescan2/050278~B,1731,unknown,unknown
20130301-rescan2/050278~B,2141,unknown,unknown
20130301-rescan2/050278~B,0611,unknown,unknown
20130301-rescan2/050278~B,2121,unknown,unknown
20130301-rescan2/050278~B,1562,unknown,unknown
20130301-rescan2/050278~B,2081,unknown,unknown
20130301-rescan2/050278~B,1371,unknown,unknown
20130301-rescan2/050278~B,1231,unknown,unknown
20130301-rescan2/050278~B,2371,unknown,unknown
20130301-rescan2/050278~B,0091,unknown,unknown
20130301-rescan2/050278~B,1201,unknown,unknown
20130301-rescan2/050278~B,1171,unknown,unknown
20130301-rescan2/050278~B,0491,unknown,unknown
20130301-rescan2/050278~B,0471,unknown,unknown
20130301-rescan2/050278~B,0591,unknown,unknown
20130301-rescan2/050278~B,0331,unknown,unknown
20130301-rescan2/050278~B,2181,unknown,unknown
20130301-rescan2/050278~B,1381,unknown,unknown
20130301-rescan2/050278~B,1911,unknown,unknown
20130301-rescan2/050278~B,1051,unknown,unknown
20130301-rescan2/050278~B,0781,unknown,unknown
20130301-rescan2/050278~B,2471,unknown,unknown
20130301-rescan2/050278~B,2331,unknown,unknown
20130301-rescan2/050278~B,2381,unknown,unknown
20130301-rescan2/050278~B,0361,unknown,unknown
20130301-rescan2/050278~B,0851,unknown,unknown
20130301-rescan2/050278~B,1601,unknown,unknown
20130301-rescan2/050278~B,2581,unknown,unknown
20130301-rescan2/050278~B,0321,unknown,unknown
20130301-rescan2/050278~B,1041,unknown,unknown
20130301-rescan2/050278~B,0051,unknown,unknown
20130301-rescan2/050278~B,0531,unknown,unknown
20130301-rescan2/050278~B,0151,unknown,unknown
20130301-rescan2/050278~B,0941,unknown,unknown
20130301-rescan2/050278~B,1121,unknown,unknown
20130301-rescan2/050278~B,1291,unknown,unknown
20130301-rescan2/050278~B,2271,unknown,unknown
20130301-rescan2/050278~B,2541,unknown,unknown
20130301-rescan2/050278~B,1741,unknown,unknown
20130301-rescan2/050278~B,0971,unknown,unknown
20130301-rescan2/050278~B,0021,unknown,unknown
20130301-rescan2/050278~B,2511,unknown,unknown
20130301-rescan2/050278~B,2411,unknown,unknown
20130301-rescan2/050278~B,0601,unknown,unknown
20130301-rescan2/050278~B,0251,unknown,unknown
20130301-rescan2/050278~B,1661,unknown,unknown
20130301-rescan2/050278~B,1651,unknown,unknown
20130301-rescan2/050278~B,1871,unknown,unknown
20130301-rescan2/050278~B,1951,unknown,unknown
20130301-rescan2/050278~B,0141,unknown,unknown
20130301-rescan2/050278~B,0661,unknown,unknown
20130301-rescan2/050278~B,1961,unknown,unknown
20130301-rescan2/050278~B,0351,unknown,unknown
20130301-rescan2/050278~B,0981,unknown,unknown
20130301-rescan2/050278~B,1411,unknown,unknown
20130301-rescan2/050278~B,2291,unknown,unknown
20130301-rescan2/050278~B,0741,unknown,unknown
20130301-rescan2/050278~B,1641,unknown,unknown
20130301-rescan2/050278~B,0892,unknown,unknown
20130301-rescan2/050278~B,0931,unknown,unknown
20130301-rescan2/050278~B,1881,unknown,unknown
20130301-rescan2/050278~B,1821,unknown,unknown
20130301-rescan2/050278~B,2532,unknown,unknown
20130301-rescan2/050278~B,1401,unknown,unknown
20130301-rescan2/050278~B,2531,unknown,unknown
20130301-rescan2/050278~B,2031,unknown,unknown
20130301-rescan2/050278~B,1101,unknown,unknown
20130301-rescan2/050278~B,1501,unknown,unknown
20130301-rescan2/050278~B,1701,unknown,unknown
20130301-rescan2/050278~B,0811,unknown,unknown
20130301-rescan2/050278~B,2132,unknown,unknown
20130301-rescan2/050278~B,2631,unknown,unknown
20130301-rescan2/050278~B,0761,unknown,unknown
20130301-rescan2/050278~B,2041,unknown,unknown
20130301-rescan2/050278~B,0651,unknown,unknown
20130301-rescan2/050278~B,2481,unknown,unknown
20130301-rescan2/050278~B,0751,unknown,unknown
20130301-rescan2/050278~B,2521,unknown,unknown
20130301-rescan2/050278~B,2561,unknown,unknown
20130301-rescan2/050278~B,2361,unknown,unknown
20130301-rescan2/050278~B,0311,unknown,unknown
20130301-rescan2/050278~B,1491,unknown,unknown
20130301-rescan2/050278~B,1141,unknown,unknown
20130301-rescan2/050278~B,1461,unknown,unknown
20130301-rescan2/050278~B,1451,unknown,unknown
20130301-rescan2/050278~B,1781,unknown,unknown
20130301-rescan2/050278~B,1851,unknown,unknown
20130301-rescan2/050278~B,0111,unknown,unknown
20130301-rescan2/050278~B,1361,unknown,unknown
20130301-rescan2/050278~B,1241,unknown,unknown
20130301-rescan2/050278~B,0861,unknown,unknown
20130301-rescan2/050278~B,0901,unknown,unknown
20130301-rescan2/050278~B,1271,unknown,unknown
20130301-rescan2/050278~B,1301,unknown,unknown
20130301-rescan2/050278~B,0261,unknown,unknown
