dirname,metasys_id,stage,orientation
20130301-rescan/011974~B,4321,unknown,unknown
20130301-rescan/011974~B,2741,unknown,unknown
20130301-rescan/011974~B,2941,unknown,unknown
20130301-rescan/011974~B,1441,unknown,unknown
20130301-rescan/011974~B,3981,unknown,unknown
20130301-rescan/011974~B,0171,unknown,unknown
20130301-rescan/011974~B,4401,unknown,unknown
20130301-rescan/011974~B,0401,unknown,unknown
20130301-rescan/011974~B,1711,unknown,unknown
20130301-rescan/011974~B,2781,unknown,unknown
20130301-rescan/011974~B,3191,unknown,unknown
20130301-rescan/011974~B,1751,unknown,unknown
20130301-rescan/011974~B,0461,unknown,unknown
20130301-rescan/011974~B,4391,unknown,unknown
20130301-rescan/011974~B,0241,unknown,unknown
20130301-rescan/011974~B,2551,unknown,unknown
20130301-rescan/011974~B,4251,unknown,unknown
20130301-rescan/011974~B,3281,unknown,unknown
20130301-rescan/011974~B,1001,unknown,unknown
20130301-rescan/011974~B,0921,unknown,unknown
20130301-rescan/011974~B,1521,unknown,unknown
20130301-rescan/011974~B,4191,unknown,unknown
20130301-rescan/011974~B,0831,unknown,unknown
20130301-rescan/011974~B,4411,unknown,unknown
20130301-rescan/011974~B,3741,unknown,unknown
20130301-rescan/011974~B,2071,unknown,unknown
20130301-rescan/011974~B,1131,unknown,unknown
20130301-rescan/011974~B,0791,unknown,unknown
20130301-rescan/011974~B,0991,unknown,unknown
20130301-rescan/011974~B,2321,unknown,unknown
20130301-rescan/011974~B,4211,unknown,unknown
20130301-rescan/011974~B,1011,unknown,unknown
20130301-rescan/011974~B,2931,unknown,unknown
20130301-rescan/011974~B,1421,unknown,unknown
20130301-rescan/011974~B,4374,unknown,unknown
20130301-rescan/011974~B,0201,unknown,unknown
20130301-rescan/011974~B,0301,unknown,unknown
20130301-rescan/011974~B,2431,unknown,unknown
20130301-rescan/011974~B,0911,unknown,unknown
20130301-rescan/011974~B,4331,unknown,unknown
20130301-rescan/011974~B,0031,unknown,unknown
20130301-rescan/011974~B,3021,unknown,unknown
20130301-rescan/011974~B,2461,unknown,unknown
20130301-rescan/011974~B,4375,unknown,unknown
20130301-rescan/011974~B,1981,unknown,unknown
20130301-rescan/011974~B,1541,unknown,unknown
20130301-rescan/011974~B,3601,unknown,unknown
20130301-rescan/011974~B,2491,unknown,unknown
20130301-rescan/011974~B,1771,unknown,unknown
20130301-rescan/011974~B,4311,unknown,unknown
20130301-rescan/011974~B,1531,unknown,unknown
20130301-rescan/011974~B,3611,unknown,unknown
20130301-rescan/011974~B,3971,unknown,unknown
20130301-rescan/011974~B,3531,unknown,unknown
20130301-rescan/011974~B,3341,unknown,unknown
20130301-rescan/011974~B,2451,unknown,unknown
20130301-rescan/011974~B,2881,unknown,unknown
20130301-rescan/011974~B,0521,unknown,unknown
20130301-rescan/011974~B,0541,unknown,unknown
20130301-rescan/011974~B,1581,unknown,unknown
20130301-rescan/011974~B,3241,unknown,unknown
20130301-rescan/011974~B,0411,unknown,unknown
20130301-rescan/011974~B,3911,unknown,unknown
20130301-rescan/011974~B,2221,unknown,unknown
20130301-rescan/011974~B,3441,unknown,unknown
20130301-rescan/011974~B,1031,unknown,unknown
20130301-rescan/011974~B,0281,unknown,unknown
20130301-rescan/011974~B,0841,unknown,unknown
20130301-rescan/011974~B,2621,unknown,unknown
20130301-rescan/011974~B,2001,unknown,unknown
20130301-rescan/011974~B,2391,unknown,unknown
20130301-rescan/011974~B,2151,unknown,unknown
20130301-rescan/011974~B,1921,unknown,unknown
20130301-rescan/011974~B,3621,unknown,unknown
20130301-rescan/011974~B,2911,unknown,unknown
20130301-rescan/011974~B,4071,unknown,unknown
20130301-rescan/011974~B,1061,unknown,unknown
20130301-rescan/011974~B,3881,unknown,unknown
20130301-rescan/011974~B,2201,unknown,unknown
20130301-rescan/011974~B,0961,unknown,unknown
20130301-rescan/011974~B,0451,unknown,unknown
20130301-rescan/011974~B,1391,unknown,unknown
20130301-rescan/011974~B,0691,unknown,unknown
20130301-rescan/011974~B,0671,unknown,unknown
20130301-rescan/011974~B,2192,unknown,unknown
20130301-rescan/011974~B,1151,unknown,unknown
20130301-rescan/011974~B,2951,unknown,unknown
20130301-rescan/011974~B,2191,unknown,unknown
20130301-rescan/011974~B,1081,unknown,unknown
20130301-rescan/011974~B,2641,unknown,unknown
20130301-rescan/011974~B,3091,unknown,unknown
20130301-rescan/011974~B,1161,unknown,unknown
20130301-rescan/011974~B,3451,unknown,unknown
20130301-rescan/011974~B,0711,unknown,unknown
20130301-rescan/011974~B,3992,unknown,unknown
20130301-rescan/011974~B,2761,unknown,unknown
20130301-rescan/011974~B,1681,unknown,unknown
20130301-rescan/011974~B,1551,unknown,unknown
20130301-rescan/011974~B,0511,unknown,unknown
20130301-rescan/011974~B,4021,unknown,unknown
20130301-rescan/011974~B,3242,unknown,unknown
20130301-rescan/011974~B,4221,unknown,unknown
20130301-rescan/011974~B,2131,unknown,unknown
20130301-rescan/011974~B,3791,unknown,unknown
20130301-rescan/011974~B,2441,unknown,unknown
20130301-rescan/011974~B,3801,unknown,unknown
20130301-rescan/011974~B,1991,unknown,unknown
20130301-rescan/011974~B,0421,unknown,unknown
20130301-rescan/011974~B,2101,unknown,unknown
20130301-rescan/011974~B,4091,unknown,unknown
20130301-rescan/011974~B,1251,unknown,unknown
20130301-rescan/011974~B,0381,unknown,unknown
20130301-rescan/011974~B,4041,unknown,unknown
20130301-rescan/011974~B,0441,unknown,unknown
20130301-rescan/011974~B,2351,unknown,unknown
