dirname,metasys_id,stage,orientation
20130301-rescan/014087~A,4321,unknown,unknown
20130301-rescan/014087~A,4112,unknown,unknown
20130301-rescan/014087~A,4921,unknown,unknown
20130301-rescan/014087~A,2241,unknown,unknown
20130301-rescan/014087~A,3232,unknown,unknown
20130301-rescan/014087~A,2741,unknown,unknown
20130301-rescan/014087~A,2941,unknown,unknown
20130301-rescan/014087~A,1441,unknown,unknown
20130301-rescan/014087~A,2261,unknown,unknown
20130301-rescan/014087~A,0171,unknown,unknown
20130301-rescan/014087~A,4401,unknown,unknown
20130301-rescan/014087~A,0401,unknown,unknown
20130301-rescan/014087~A,0121,unknown,unknown
20130301-rescan/014087~A,1711,unknown,unknown
20130301-rescan/014087~A,2781,unknown,unknown
20130301-rescan/014087~A,3191,unknown,unknown
20130301-rescan/014087~A,1751,unknown,unknown
20130301-rescan/014087~A,0461,unknown,unknown
20130301-rescan/014087~A,4391,unknown,unknown
20130301-rescan/014087~A,0211,unknown,unknown
20130301-rescan/014087~A,0241,unknown,unknown
20130301-rescan/014087~A,2551,unknown,unknown
20130301-rescan/014087~A,4251,unknown,unknown
20130301-rescan/014087~A,3281,unknown,unknown
20130301-rescan/014087~A,5451,unknown,unknown
20130301-rescan/014087~A,1001,unknown,unknown
20130301-rescan/014087~A,0921,unknown,unknown
20130301-rescan/014087~A,4191,unknown,unknown
20130301-rescan/014087~A,0831,unknown,unknown
20130301-rescan/014087~A,5371,unknown,unknown
20130301-rescan/014087~A,3741,unknown,unknown
20130301-rescan/014087~A,0101,unknown,unknown
20130301-rescan/014087~A,5231,unknown,unknown
20130301-rescan/014087~A,2071,unknown,unknown
20130301-rescan/014087~A,5501,unknown,unknown
20130301-rescan/014087~A,1131,unknown,unknown
20130301-rescan/014087~A,0791,unknown,unknown
20130301-rescan/014087~A,0991,unknown,unknown
20130301-rescan/014087~A,2321,unknown,unknown
20130301-rescan/014087~A,4211,unknown,unknown
20130301-rescan/014087~A,1011,unknown,unknown
20130301-rescan/014087~A,2931,unknown,unknown
20130301-rescan/014087~A,1421,unknown,unknown
20130301-rescan/014087~A,0201,unknown,unknown
20130301-rescan/014087~A,0301,unknown,unknown
20130301-rescan/014087~A,2431,unknown,unknown
20130301-rescan/014087~A,0911,unknown,unknown
20130301-rescan/014087~A,4331,unknown,unknown
20130301-rescan/014087~A,0031,unknown,unknown
20130301-rescan/014087~A,5321,unknown,unknown
20130301-rescan/014087~A,4961,unknown,unknown
20130301-rescan/014087~A,4911,unknown,unknown
20130301-rescan/014087~A,3021,unknown,unknown
20130301-rescan/014087~A,2461,unknown,unknown
20130301-rescan/014087~A,4611,unknown,unknown
20130301-rescan/014087~A,1981,unknown,unknown
20130301-rescan/014087~A,1541,unknown,unknown
20130301-rescan/014087~A,1901,unknown,unknown
20130301-rescan/014087~A,3601,unknown,unknown
20130301-rescan/014087~A,2491,unknown,unknown
20130301-rescan/014087~A,1771,unknown,unknown
20130301-rescan/014087~A,4311,unknown,unknown
20130301-rescan/014087~A,1531,unknown,unknown
20130301-rescan/014087~A,4741,unknown,unknown
20130301-rescan/014087~A,3611,unknown,unknown
20130301-rescan/014087~A,3971,unknown,unknown
20130301-rescan/014087~A,3531,unknown,unknown
20130301-rescan/014087~A,3341,unknown,unknown
20130301-rescan/014087~A,2451,unknown,unknown
20130301-rescan/014087~A,2881,unknown,unknown
20130301-rescan/014087~A,5372,unknown,unknown
20130301-rescan/014087~A,0521,unknown,unknown
20130301-rescan/014087~A,5331,unknown,unknown
20130301-rescan/014087~A,0541,unknown,unknown
20130301-rescan/014087~A,1012,unknown,unknown
20130301-rescan/014087~A,1581,unknown,unknown
20130301-rescan/014087~A,3241,unknown,unknown
20130301-rescan/014087~A,0411,unknown,unknown
20130301-rescan/014087~A,3911,unknown,unknown
20130301-rescan/014087~A,2221,unknown,unknown
20130301-rescan/014087~A,2342,unknown,unknown
20130301-rescan/014087~A,3441,unknown,unknown
20130301-rescan/014087~A,1031,unknown,unknown
20130301-rescan/014087~A,0281,unknown,unknown
20130301-rescan/014087~A,5491,unknown,unknown
20130301-rescan/014087~A,0841,unknown,unknown
20130301-rescan/014087~A,2621,unknown,unknown
20130301-rescan/014087~A,2001,unknown,unknown
20130301-rescan/014087~A,2391,unknown,unknown
20130301-rescan/014087~A,5121,unknown,unknown
20130301-rescan/014087~A,2151,unknown,unknown
20130301-rescan/014087~A,1921,unknown,unknown
20130301-rescan/014087~A,5441,unknown,unknown
20130301-rescan/014087~A,3621,unknown,unknown
20130301-rescan/014087~A,2911,unknown,unknown
20130301-rescan/014087~A,4461,unknown,unknown
20130301-rescan/014087~A,4071,unknown,unknown
20130301-rescan/014087~A,5421,unknown,unknown
20130301-rescan/014087~A,1061,unknown,unknown
20130301-rescan/014087~A,3881,unknown,unknown
20130301-rescan/014087~A,2201,unknown,unknown
20130301-rescan/014087~A,0961,unknown,unknown
20130301-rescan/014087~A,0451,unknown,unknown
20130301-rescan/014087~A,1391,unknown,unknown
20130301-rescan/014087~A,4651,unknown,unknown
20130301-rescan/014087~A,0691,unknown,unknown
20130301-rescan/014087~A,0671,unknown,unknown
20130301-rescan/014087~A,1151,unknown,unknown
20130301-rescan/014087~A,2951,unknown,unknown
20130301-rescan/014087~A,2191,unknown,unknown
20130301-rescan/014087~A,1081,unknown,unknown
