stage,metasys_id,dirname
13-14,282,20120630/027678~A
7-8,273,20120630/027678~A
4-6,265,20120630/027678~A
9-10,235,20120630/027678~A
13-14,231,20120630/027678~A
7-8,194,20120630/027678~A
9-10,190,20120630/027678~A
11-12,188,20120630/027678~A
7-8,185,20120630/027678~A
9-10,293,20120630/027678~A
4-6,270,20120630/027678~A
13-14,220,20120630/027678~A
9-10,217,20120630/027678~A
4-6,208,20120630/027678~A
4-6,193,20120630/027678~A
11-12,191,20120630/027678~A
11-12,182,20120630/027678~A
7-8,161,20120630/027678~A
13-14,146,20120630/027678~A
4-6,118,20120630/027678~A
15-16,97,20120630/027678~A
11-12,39,20120630/027678~A
