stage,metasys_id,dirname
13-14,320,20120726/022015
15-16,163,20120726/022015
13-14,104,20120726/022015
15-16,308,20120726/022015
15-16,293,20120726/022015
7-8,258,20120726/022015
13-14,247,20120726/022015
13-14,230,20120726/022015
11-12,208,20120726/022015
7-8,175,20120726/022015
7-8,134,20120726/022015
11-12,110,20120726/022015
7-8,107,20120726/022015
15-16,91,20120726/022015
7-8,85,20120726/022015
7-8,70,20120726/022015
11-12,68,20120726/022015
13-14,63,20120726/022015
4-6,51,20120726/022015
13-14,45,20120726/022015
13-14,13,20120726/022015
