dirname,metasys_id,stage,orientation
20130311-rescan2/016278~B,3921,13-14,unknown
20130311-rescan2/016278~B,831,15-16,unknown
20130311-rescan2/016278~B,4021,13-14,unknown
20130311-rescan2/016278~B,4781,11-12,unknown
20130311-rescan2/016278~B,541,9-10,unknown
20130311-rescan2/016278~B,3551,13-14,unknown
20130311-rescan2/016278~B,3251,15-16,unknown
20130311-rescan2/016278~B,1941,13-14,unknown
20130311-rescan2/016278~B,4141,13-14,unknown
20130311-rescan2/016278~B,931,15-16,unknown
20130311-rescan2/016278~B,421,9-10,unknown
20130311-rescan2/016278~B,3991,unknown,unknown
20130311-rescan2/016278~B,2851,15-16,unknown
20130311-rescan2/016278~B,1791,9-10,unknown
20130311-rescan2/016278~B,5461,13-14,unknown
20130311-rescan2/016278~B,1491,7-8,unknown
20130311-rescan2/016278~B,3331,11-12,unknown
20130311-rescan2/016278~B,721,13-14,unknown
20130311-rescan2/016278~B,1701,13-14,unknown
20130311-rescan2/016278~B,4731,unknown,unknown
20130311-rescan2/016278~B,5261,15-16,unknown
20130311-rescan2/016278~B,1061,15-16,unknown
20130311-rescan2/016278~B,5301,unknown,unknown
20130311-rescan2/016278~B,681,13-14,unknown
20130311-rescan2/016278~B,2311,unknown,unknown
20130311-rescan2/016278~B,4961,15-16,unknown
20130311-rescan2/016278~B,331,13-14,unknown
20130311-rescan2/016278~B,1661,13-14,unknown
20130311-rescan2/016278~B,3771,unknown,unknown
20130311-rescan2/016278~B,111,13-14,unknown
20130311-rescan2/016278~B,1081,9-10,unknown
20130311-rescan2/016278~B,4321,15-16,unknown
20130311-rescan2/016278~B,1121,13-14,unknown
20130311-rescan2/016278~B,4651,13-14,unknown
20130311-rescan2/016278~B,3671,15-16,unknown
20130311-rescan2/016278~B,2821,15-16,unknown
20130311-rescan2/016278~B,4551,13-14,unknown
20130311-rescan2/016278~B,2541,9-10,unknown
20130311-rescan2/016278~B,5411,unknown,unknown
20130311-rescan2/016278~B,3381,unknown,unknown
20130311-rescan2/016278~B,2981,11-12,unknown
20130311-rescan2/016278~B,2381,13-14,unknown
20130311-rescan2/016278~B,751,13-14,unknown
20130311-rescan2/016278~B,201,15-16,unknown
20130311-rescan2/016278~B,1401,15-16,unknown
20130311-rescan2/016278~B,611,13-14,unknown
20130311-rescan2/016278~B,1011,13-14,unknown
20130311-rescan2/016278~B,3581,15-16,unknown
20130311-rescan2/016278~B,5001,13-14,unknown
20130311-rescan2/016278~B,1231,13-14,unknown
20130311-rescan2/016278~B,2761,13-14,unknown
20130311-rescan2/016278~B,4191,11-12,unknown
20130311-rescan2/016278~B,4351,15-16,unknown
20130311-rescan2/016278~B,2041,13-14,unknown
20130311-rescan2/016278~B,1841,13-14,unknown
20130311-rescan2/016278~B,4421,unknown,unknown
20130311-rescan2/016278~B,5571,11-12,unknown
20130311-rescan2/016278~B,1241,13-14,unknown
20130311-rescan2/016278~B,3091,unknown,unknown
20130311-rescan2/016278~B,1531,13-14,unknown
20130311-rescan2/016278~B,4951,9-10,unknown
20130311-rescan2/016278~B,2161,13-14,unknown
20130311-rescan2/016278~B,4101,9-10,unknown
20130311-rescan2/016278~B,971,unknown,unknown
20130311-rescan2/016278~B,871,15-16,unknown
20130311-rescan2/016278~B,3291,unknown,unknown
20130311-rescan2/016278~B,5131,unknown,unknown
20130311-rescan2/016278~B,1901,13-14,unknown
20130311-rescan2/016278~B,3451,13-14,unknown
20130311-rescan2/016278~B,501,unknown,unknown
20130311-rescan2/016278~B,3891,13-14,unknown
20130311-rescan2/016278~B,2681,13-14,unknown
20130311-rescan2/016278~B,481,15-16,unknown
20130311-rescan2/016278~B,4771,15-16,unknown
20130311-rescan2/016278~B,1991,11-12,unknown
20130311-rescan2/016278~B,1621,15-16,unknown
20130311-rescan2/016278~B,5181,15-16,unknown
20130311-rescan2/016278~B,471,13-14,unknown
20130311-rescan2/016278~B,4171,11-12,unknown
20130311-rescan2/016278~B,3201,13-14,unknown
20130311-rescan2/016278~B,5221,15-16,unknown
20130311-rescan2/016278~B,4071,13-14,unknown
20130311-rescan2/016278~B,801,13-14,unknown
20130311-rescan2/016278~B,371,15-16,unknown
20130311-rescan2/016278~B,3961,15-16,unknown
20130311-rescan2/016278~B,571,13-14,unknown
20130311-rescan2/016278~B,2861,13-14,unknown
20130311-rescan2/016278~B,391,unknown,unknown
20130311-rescan2/016278~B,251,unknown,unknown
20130311-rescan2/016278~B,3061,13-14,unknown
20130311-rescan2/016278~B,4611,13-14,unknown
20130311-rescan2/016278~B,2941,unknown,unknown
20130311-rescan2/016278~B,651,13-14,unknown
20130311-rescan2/016278~B,1051,unknown,unknown
20130311-rescan2/016278~B,2341,11-12,unknown
