dirname,metasys_id,stage,orientation
20130311-rescan/7178~A,3921,13-14,unknown
20130311-rescan/7178~A,4021,15-16,unknown
20130311-rescan/7178~A,4141,15-16,unknown
20130311-rescan/7178~A,2911,15-16,unknown
20130311-rescan/7178~A,751,15-16,unknown
20130311-rescan/7178~A,1531,15-16,unknown
20130311-rescan/7178~A,1991,15-16,unknown
20130311-rescan/7178~A,801,15-16,unknown
20130311-rescan/7178~A,2341,15-16,unknown
20130311-rescan/7178~A,1191,15-16,unknown
20130311-rescan/7178~A,1691,15-16,unknown
20130311-rescan/7178~A,3701,15-16,unknown
20130311-rescan/7178~A,151,13-14,unknown
20130311-rescan/7178~A,2651,13-14,unknown
20130311-rescan/7178~A,1951,15-16,unknown
20130311-rescan/7178~A,741,15-16,unknown
20130311-rescan/7178~A,1341,13-14,unknown
20130311-rescan/7178~A,3081,unknown,unknown
20130311-rescan/7178~A,401,15-16,unknown
20130311-rescan/7178~A,2661,15-16,unknown
20130311-rescan/7178~A,451,15-16,unknown
20130311-rescan/7178~A,171,11-12,unknown
20130311-rescan/7178~A,2291,unknown,unknown
20130311-rescan/7178~A,2191,13-14,unknown
20130311-rescan/7178~A,1421,15-16,unknown
20130311-rescan/7178~A,181,unknown,unknown
20130311-rescan/7178~A,1581,15-16,unknown
20130311-rescan/7178~A,771,15-16,unknown
20130311-rescan/7178~A,1351,15-16,unknown
20130311-rescan/7178~A,4371,15-16,unknown
20130311-rescan/7178~A,2891,13-14,unknown
20130311-rescan/7178~A,1451,unknown,unknown
20130311-rescan/7178~A,2741,15-16,unknown
20130311-rescan/7178~A,2031,15-16,unknown
20130311-rescan/7178~A,2961,13-14,unknown
20130311-rescan/7178~A,3041,13-14,unknown
20130311-rescan/7178~A,1071,15-16,unknown
20130311-rescan/7178~A,3641,15-16,unknown
20130311-rescan/7178~A,1411,11-12,unknown
20130311-rescan/7178~A,4201,13-14,unknown
20130311-rescan/7178~A,1391,15-16,unknown
20130311-rescan/7178~A,3951,15-16,unknown
20130311-rescan/7178~A,3461,unknown,unknown
20130311-rescan/7178~A,241,15-16,unknown
20130311-rescan/7178~A,3071,15-16,unknown
20130311-rescan/7178~A,1181,13-14,unknown
20130311-rescan/7178~A,1891,15-16,unknown
20130311-rescan/7178~A,3101,15-16,unknown
20130311-rescan/7178~A,941,15-16,unknown
20130311-rescan/7178~A,1361,13-14,unknown
