dirname,metasys_id,stage,orientation
20130311/020740,831,11-12,unknown
20130311/020740,3551,11-12,unknown
20130311/020740,931,11-12,unknown
20130311/020740,421,unknown,unknown
20130311/020740,111,11-12,unknown
20130311/020740,2441,11-12,unknown
20130311/020740,5771,unknown,unknown
20130311/020740,3891,9-10,unknown
20130311/020740,5791,unknown,unknown
20130311/020740,5811,unknown,unknown
20130311/020740,3061,unknown,unknown
20130311/020740,1051,unknown,unknown
20130311/020740,2221,11-12,unknown
20130311/020740,1471,unknown,unknown
20130311/020740,3791,11-12,unknown
20130311/020740,2401,11-12,unknown
20130311/020740,4861,unknown,unknown
20130311/020740,4131,4-6,unknown
20130311/020740,2301,unknown,unknown
20130311/020740,281,11-12,unknown
20130311/020740,5101,7-8,unknown
20130311/020740,2331,unknown,unknown
20130311/020740,1041,7-8,unknown
20130311/020740,1761,11-12,unknown
20130311/020740,1261,11-12,unknown
20130311/020740,3161,unknown,unknown
20130311/020740,4271,11-12,unknown
20130311/020740,4371,unknown,unknown
20130311/020740,2891,7-8,unknown
20130311/020740,1511,unknown,unknown
20130311/020740,1811,13-14,unknown
20130311/020740,4591,4-6,unknown
20130311/020740,2961,11-12,unknown
20130311/020740,5271,11-12,unknown
20130311/020740,1411,11-12,unknown
20130311/020740,1731,11-12,unknown
20130311/020740,461,11-12,unknown
20130311/020740,1591,unknown,unknown
20130311/020740,4241,unknown,unknown
20130311/020740,1111,unknown,unknown
20130311/020740,1441,11-12,unknown
20130311/020740,1561,unknown,unknown
20130311/020740,1291,unknown,unknown
20130311/020740,2721,11-12,unknown
20130311/020740,3671,9-10,unknown
20130311/020740,5491,15-16,unknown
20130311/020740,4691,13-14,unknown
20130311/020740,2091,15-16,unknown
20130311/020740,171,15-16,unknown
20130311/020740,4821,13-14,unknown
