stage,metasys_id,dirname
13-14,225,20120604/9675
15-16,221,20120604/9675
9-10,220,20120604/9675
9-10,200,20120604/9675
11-12,195,20120604/9675
15-16,192,20120604/9675
4-6,189,20120604/9675
4-6,185,20120604/9675
11-12,182,20120604/9675
9-10,180,20120604/9675
15-16,175,20120604/9675
9-10,170,20120604/9675
9-10,161,20120604/9675
11-12,151,20120604/9675
11-12,145,20120604/9675
9-10,90,20120604/9675
7-8,88,20120604/9675
15-16,51,20120604/9675
11-12,47,20120604/9675
13-14,46,20120604/9675
15-16,44,20120604/9675
1-3,37,20120604/9675
15-16,34,20120604/9675
7-8,27,20120604/9675
7-8,6,20120604/9675
