stage,metasys_id,dirname
4-6,346,20120726/019235~A
15-16,340,20120726/019235~A
4-6,337,20120726/019235~A
15-16,334,20120726/019235~A
15-16,328,20120726/019235~A
15-16,320,20120726/019235~A
4-6,314,20120726/019235~A
13-14,311,20120726/019235~A
9-10,299,20120726/019235~A
9-10,296,20120726/019235~A
13-14,290,20120726/019235~A
9-10,281,20120726/019235~A
13-14,276,20120726/019235~A
11-12,273,20120726/019235~A
4-6,253,20120726/019235~A
13-14,247,20120726/019235~A
15-16,225,20120726/019235~A
11-12,221,20120726/019235~A
11-12,219,20120726/019235~A
9-10,200,20120726/019235~A
13-14,171,20120726/019235~A
11-12,156,20120726/019235~A
13-14,152,20120726/019235~A
9-10,101,20120726/019235~A
