dirname,metasys_id,stage,orientation
20120604/045106~A,282,15-16,unknown
20120604/045106~A,39,unknown,unknown
20120604/045106~A,428,unknown,unknown
20120604/045106~A,429,15-16,unknown
20120604/045106~A,426,15-16,unknown
20120604/045106~A,427,15-16,unknown
20120604/045106~A,424,unknown,unknown
20120604/045106~A,422,unknown,unknown
20120604/045106~A,423,unknown,unknown
20120604/045106~A,420,unknown,unknown
20120604/045106~A,421,unknown,unknown
20120604/045106~A,138,unknown,unknown
20120604/045106~A,139,unknown,unknown
20120604/045106~A,338,unknown,unknown
20120604/045106~A,339,unknown,unknown
20120604/045106~A,332,unknown,unknown
20120604/045106~A,333,unknown,unknown
20120604/045106~A,330,unknown,unknown
20120604/045106~A,331,unknown,unknown
20120604/045106~A,336,unknown,unknown
20120604/045106~A,337,15-16,unknown
20120604/045106~A,334,unknown,unknown
20120604/045106~A,335,unknown,unknown
20120604/045106~A,112,unknown,unknown
20120604/045106~A,113,unknown,unknown
20120604/045106~A,59,unknown,unknown
20120604/045106~A,58,13-14,unknown
20120604/045106~A,116,unknown,unknown
20120604/045106~A,117,unknown,unknown
20120604/045106~A,114,11-12,unknown
20120604/045106~A,115,11-12,unknown
20120604/045106~A,53,unknown,unknown
20120604/045106~A,52,unknown,unknown
20120604/045106~A,51,unknown,unknown
20120604/045106~A,119,unknown,unknown
20120604/045106~A,57,13-14,unknown
20120604/045106~A,56,unknown,unknown
20120604/045106~A,55,15-16,unknown
20120604/045106~A,54,unknown,unknown
20120604/045106~A,109,unknown,unknown
20120604/045106~A,108,unknown,unknown
20120604/045106~A,206,13-14,unknown
20120604/045106~A,207,13-14,unknown
20120604/045106~A,205,unknown,unknown
20120604/045106~A,200,unknown,unknown
20120604/045106~A,208,13-14,unknown
20120604/045106~A,209,unknown,unknown
20120604/045106~A,259,unknown,unknown
20120604/045106~A,151,unknown,unknown
20120604/045106~A,378,unknown,unknown
20120604/045106~A,379,unknown,unknown
20120604/045106~A,376,unknown,unknown
20120604/045106~A,377,unknown,unknown
20120604/045106~A,375,unknown,unknown
20120604/045106~A,372,unknown,unknown
20120604/045106~A,371,unknown,unknown
20120604/045106~A,394,unknown,unknown
20120604/045106~A,395,13-14,unknown
20120604/045106~A,396,unknown,unknown
20120604/045106~A,390,unknown,unknown
20120604/045106~A,258,unknown,unknown
20120604/045106~A,393,unknown,unknown
20120604/045106~A,255,unknown,unknown
20120604/045106~A,254,11-12,unknown
20120604/045106~A,257,unknown,unknown
20120604/045106~A,256,unknown,unknown
20120604/045106~A,398,unknown,unknown
20120604/045106~A,399,unknown,unknown
20120604/045106~A,253,unknown,unknown
20120604/045106~A,213,unknown,unknown
20120604/045106~A,212,unknown,unknown
20120604/045106~A,22,unknown,unknown
20120604/045106~A,23,unknown,unknown
20120604/045106~A,20,unknown,unknown
20120604/045106~A,21,unknown,unknown
20120604/045106~A,26,unknown,unknown
20120604/045106~A,27,unknown,unknown
20120604/045106~A,24,11-12,unknown
20120604/045106~A,25,unknown,unknown
20120604/045106~A,28,unknown,unknown
20120604/045106~A,29,unknown,unknown
20120604/045106~A,219,unknown,unknown
20120604/045106~A,150,unknown,unknown
20120604/045106~A,218,unknown,unknown
20120604/045106~A,156,unknown,unknown
20120604/045106~A,157,unknown,unknown
20120604/045106~A,154,unknown,unknown
20120604/045106~A,155,unknown,unknown
20120604/045106~A,152,unknown,unknown
20120604/045106~A,153,unknown,unknown
20120604/045106~A,99,unknown,unknown
20120604/045106~A,98,unknown,unknown
20120604/045106~A,97,unknown,unknown
20120604/045106~A,96,unknown,unknown
20120604/045106~A,95,unknown,unknown
20120604/045106~A,94,unknown,unknown
20120604/045106~A,93,unknown,unknown
20120604/045106~A,92,unknown,unknown
20120604/045106~A,91,unknown,unknown
20120604/045106~A,438,unknown,unknown
20120604/045106~A,431,unknown,unknown
20120604/045106~A,430,unknown,unknown
20120604/045106~A,433,unknown,unknown
20120604/045106~A,432,unknown,unknown
20120604/045106~A,435,unknown,unknown
20120604/045106~A,434,unknown,unknown
20120604/045106~A,437,unknown,unknown
20120604/045106~A,436,unknown,unknown
20120604/045106~A,325,unknown,unknown
20120604/045106~A,324,15-16,unknown
20120604/045106~A,327,unknown,unknown
20120604/045106~A,326,unknown,unknown
20120604/045106~A,321,unknown,unknown
20120604/045106~A,320,unknown,unknown
20120604/045106~A,288,unknown,unknown
20120604/045106~A,322,15-16,unknown
20120604/045106~A,286,13-14,unknown
20120604/045106~A,287,13-14,unknown
20120604/045106~A,285,unknown,unknown
20120604/045106~A,329,unknown,unknown
20120604/045106~A,328,unknown,unknown
20120604/045106~A,280,unknown,unknown
20120604/045106~A,281,unknown,unknown
20120604/045106~A,448,unknown,unknown
20120604/045106~A,449,unknown,unknown
20120604/045106~A,444,unknown,unknown
20120604/045106~A,445,unknown,unknown
20120604/045106~A,446,13-14,unknown
20120604/045106~A,447,unknown,unknown
20120604/045106~A,441,unknown,unknown
20120604/045106~A,442,unknown,unknown
20120604/045106~A,443,unknown,unknown
20120604/045106~A,264,unknown,unknown
20120604/045106~A,265,unknown,unknown
20120604/045106~A,266,unknown,unknown
20120604/045106~A,267,13-14,unknown
20120604/045106~A,260,15-16,unknown
20120604/045106~A,261,unknown,unknown
20120604/045106~A,262,unknown,unknown
20120604/045106~A,263,unknown,unknown
20120604/045106~A,107,unknown,unknown
20120604/045106~A,101,unknown,unknown
20120604/045106~A,100,unknown,unknown
20120604/045106~A,102,unknown,unknown
20120604/045106~A,211,unknown,unknown
20120604/045106~A,210,unknown,unknown
20120604/045106~A,198,unknown,unknown
20120604/045106~A,199,13-14,unknown
20120604/045106~A,215,unknown,unknown
20120604/045106~A,214,unknown,unknown
20120604/045106~A,217,unknown,unknown
20120604/045106~A,216,13-14,unknown
20120604/045106~A,192,unknown,unknown
20120604/045106~A,193,unknown,unknown
20120604/045106~A,190,unknown,unknown
20120604/045106~A,191,unknown,unknown
20120604/045106~A,196,unknown,unknown
