dirname,metasys_id,stage,orientation
20130301-rescan2/048029~B,1141,13-14,unknown
20130301-rescan2/048029~B,3711,13-14,unknown
20130301-rescan2/048029~B,131,15-16,unknown
20130301-rescan2/048029~B,2651,9-10,unknown
20130301-rescan2/048029~B,31,15-16,unknown
20130301-rescan2/048029~B,3491,15-16,unknown
20130301-rescan2/048029~B,3411,9-10,unknown
20130301-rescan2/048029~B,3041,15-16,unknown
20130301-rescan2/048029~B,2961,13-14,unknown
20130301-rescan2/048029~B,1611,unknown,unknown
20130301-rescan2/048029~B,2381,15-16,unknown
20130301-rescan2/048029~B,541,11-12,unknown
20130301-rescan2/048029~B,2611,unknown,unknown
20130301-rescan2/048029~B,3551,15-16,unknown
20130301-rescan2/048029~B,1941,7-8,unknown
20130301-rescan2/048029~B,421,15-16,unknown
20130301-rescan2/048029~B,3751,unknown,unknown
20130301-rescan2/048029~B,2151,unknown,unknown
20130301-rescan2/048029~B,3971,unknown,unknown
20130301-rescan2/048029~B,3851,13-14,unknown
20130301-rescan2/048029~B,2241,13-14,unknown
20130301-rescan2/048029~B,3991,unknown,unknown
20130301-rescan2/048029~B,2911,13-14,unknown
20130301-rescan2/048029~B,121,13-14,unknown
20130301-rescan2/048029~B,2851,15-16,unknown
20130301-rescan2/048029~B,201,13-14,unknown
20130301-rescan2/048029~B,2701,11-12,unknown
20130301-rescan2/048029~B,3401,11-12,unknown
20130301-rescan2/048029~B,841,15-16,unknown
20130301-rescan2/048029~B,3331,11-12,unknown
20130301-rescan2/048029~B,721,unknown,unknown
20130301-rescan2/048029~B,2551,unknown,unknown
20130301-rescan2/048029~B,3561,11-12,unknown
20130301-rescan2/048029~B,431,unknown,unknown
20130301-rescan2/048029~B,2991,11-12,unknown
20130301-rescan2/048029~B,681,unknown,unknown
20130301-rescan2/048029~B,921,11-12,unknown
20130301-rescan2/048029~B,2311,unknown,unknown
20130301-rescan2/048029~B,601,11-12,unknown
20130301-rescan2/048029~B,561,11-12,unknown
20130301-rescan2/048029~B,2391,unknown,unknown
20130301-rescan2/048029~B,1411,unknown,unknown
20130301-rescan2/048029~B,331,13-14,unknown
20130301-rescan2/048029~B,3771,11-12,unknown
20130301-rescan2/048029~B,111,unknown,unknown
20130301-rescan2/048029~B,2771,unknown,unknown
20130301-rescan2/048029~B,51,unknown,unknown
20130301-rescan2/048029~B,3141,unknown,unknown
20130301-rescan2/048029~B,3721,unknown,unknown
20130301-rescan2/048029~B,3671,unknown,unknown
20130301-rescan2/048029~B,2821,unknown,unknown
20130301-rescan2/048029~B,3301,unknown,unknown
20130301-rescan2/048029~B,2541,11-12,unknown
20130301-rescan2/048029~B,2781,unknown,unknown
20130301-rescan2/048029~B,3381,unknown,unknown
20130301-rescan2/048029~B,2301,unknown,unknown
20130301-rescan2/048029~B,1851,11-12,unknown
20130301-rescan2/048029~B,3571,11-12,unknown
20130301-rescan2/048029~B,281,unknown,unknown
20130301-rescan2/048029~B,2711,11-12,unknown
20130301-rescan2/048029~B,991,unknown,unknown
20130301-rescan2/048029~B,751,unknown,unknown
20130301-rescan2/048029~B,1011,unknown,unknown
20130301-rescan2/048029~B,1391,unknown,unknown
20130301-rescan2/048029~B,881,11-12,unknown
20130301-rescan2/048029~B,2051,11-12,unknown
20130301-rescan2/048029~B,2441,unknown,unknown
20130301-rescan2/048029~B,3661,unknown,unknown
20130301-rescan2/048029~B,261,unknown,unknown
20130301-rescan2/048029~B,2281,11-12,unknown
20130301-rescan2/048029~B,3961,11-12,unknown
20130301-rescan2/048029~B,101,unknown,unknown
20130301-rescan2/048029~B,3741,unknown,unknown
20130301-rescan2/048029~B,3261,unknown,unknown
20130301-rescan2/048029~B,1261,unknown,unknown
20130301-rescan2/048029~B,3451,unknown,unknown
20130301-rescan2/048029~B,3311,unknown,unknown
20130301-rescan2/048029~B,2831,unknown,unknown
20130301-rescan2/048029~B,861,unknown,unknown
20130301-rescan2/048029~B,351,unknown,unknown
20130301-rescan2/048029~B,3461,11-12,unknown
20130301-rescan2/048029~B,291,15-16,unknown
20130301-rescan2/048029~B,3501,unknown,unknown
20130301-rescan2/048029~B,731,11-12,unknown
20130301-rescan2/048029~B,3151,15-16,unknown
20130301-rescan2/048029~B,221,unknown,unknown
20130301-rescan2/048029~B,591,unknown,unknown
20130301-rescan2/048029~B,2161,15-16,unknown
20130301-rescan2/048029~B,2371,11-12,unknown
20130301-rescan2/048029~B,1001,11-12,unknown
20130301-rescan2/048029~B,3611,unknown,unknown
20130301-rescan2/048029~B,2591,13-14,unknown
20130301-rescan2/048029~B,2921,13-14,unknown
20130301-rescan2/048029~B,2291,unknown,unknown
20130301-rescan2/048029~B,2451,13-14,unknown
20130301-rescan2/048029~B,2901,unknown,unknown
20130301-rescan2/048029~B,491,unknown,unknown
20130301-rescan2/048029~B,3361,13-14,unknown
20130301-rescan2/048029~B,971,4-6,unknown
20130301-rescan2/048029~B,1321,unknown,unknown
20130301-rescan2/048029~B,3001,13-14,unknown
20130301-rescan2/048029~B,2481,unknown,unknown
20130301-rescan2/048029~B,3291,13-14,unknown
20130301-rescan2/048029~B,391,unknown,unknown
20130301-rescan2/048029~B,1421,11-12,unknown
20130301-rescan2/048029~B,1631,11-12,unknown
20130301-rescan2/048029~B,341,unknown,unknown
20130301-rescan2/048029~B,181,13-14,unknown
20130301-rescan2/048029~B,1981,unknown,unknown
20130301-rescan2/048029~B,3691,11-12,unknown
20130301-rescan2/048029~B,3511,unknown,unknown
20130301-rescan2/048029~B,1581,11-12,unknown
20130301-rescan2/048029~B,1251,13-14,unknown
20130301-rescan2/048029~B,581,15-16,unknown
20130301-rescan2/048029~B,61,13-14,unknown
20130301-rescan2/048029~B,2111,unknown,unknown
20130301-rescan2/048029~B,671,unknown,unknown
20130301-rescan2/048029~B,2681,unknown,unknown
20130301-rescan2/048029~B,3601,11-12,unknown
20130301-rescan2/048029~B,2621,11-12,unknown
20130301-rescan2/048029~B,2811,unknown,unknown
20130301-rescan2/048029~B,481,unknown,unknown
20130301-rescan2/048029~B,2401,unknown,unknown
20130301-rescan2/048029~B,1041,15-16,unknown
20130301-rescan2/048029~B,1861,15-16,unknown
20130301-rescan2/048029~B,961,unknown,unknown
20130301-rescan2/048029~B,3521,unknown,unknown
20130301-rescan2/048029~B,3171,unknown,unknown
20130301-rescan2/048029~B,2211,13-14,unknown
20130301-rescan2/048029~B,3201,unknown,unknown
20130301-rescan2/048029~B,3441,unknown,unknown
20130301-rescan2/048029~B,3371,unknown,unknown
20130301-rescan2/048029~B,371,13-14,unknown
20130301-rescan2/048029~B,301,15-16,unknown
20130301-rescan2/048029~B,2601,15-16,unknown
20130301-rescan2/048029~B,1101,unknown,unknown
20130301-rescan2/048029~B,1551,unknown,unknown
20130301-rescan2/048029~B,2101,unknown,unknown
20130301-rescan2/048029~B,2351,unknown,unknown
20130301-rescan2/048029~B,761,unknown,unknown
20130301-rescan2/048029~B,2511,unknown,unknown
20130301-rescan2/048029~B,2691,11-12,unknown
20130301-rescan2/048029~B,3011,unknown,unknown
20130301-rescan2/048029~B,3761,unknown,unknown
20130301-rescan2/048029~B,3631,unknown,unknown
20130301-rescan2/048029~B,3531,13-14,unknown
20130301-rescan2/048029~B,791,13-14,unknown
20130301-rescan2/048029~B,3111,unknown,unknown
20130301-rescan2/048029~B,231,13-14,unknown
20130301-rescan2/048029~B,1891,unknown,unknown
20130301-rescan2/048029~B,1091,11-12,unknown
20130301-rescan2/048029~B,3231,unknown,unknown
20130301-rescan2/048029~B,1811,unknown,unknown
20130301-rescan2/048029~B,2131,13-14,unknown
20130301-rescan2/048029~B,1191,unknown,unknown
20130301-rescan2/048029~B,571,unknown,unknown
20130301-rescan2/048029~B,3101,unknown,unknown
20130301-rescan2/048029~B,1721,unknown,unknown
20130301-rescan2/048029~B,3481,unknown,unknown
20130301-rescan2/048029~B,3701,11-12,unknown
20130301-rescan2/048029~B,2421,unknown,unknown
20130301-rescan2/048029~B,1561,unknown,unknown
20130301-rescan2/048029~B,251,unknown,unknown
20130301-rescan2/048029~B,1291,unknown,unknown
20130301-rescan2/048029~B,81,unknown,unknown
20130301-rescan2/048029~B,2501,unknown,unknown
20130301-rescan2/048029~B,2531,11-12,unknown
20130301-rescan2/048029~B,1111,unknown,unknown
20130301-rescan2/048029~B,21,unknown,unknown
20130301-rescan2/048029~B,2721,unknown,unknown
20130301-rescan2/048029~B,3621,11-12,unknown
20130301-rescan2/048029~B,2641,11-12,unknown
20130301-rescan2/048029~B,521,unknown,unknown
20130301-rescan2/048029~B,2461,11-12,unknown
20130301-rescan2/048029~B,781,unknown,unknown
20130301-rescan2/048029~B,3351,unknown,unknown
20130301-rescan2/048029~B,1441,unknown,unknown
20130301-rescan2/048029~B,2971,11-12,unknown
20130301-rescan2/048029~B,1671,unknown,unknown
20130301-rescan2/048029~B,1881,unknown,unknown
20130301-rescan2/048029~B,2331,unknown,unknown
20130301-rescan2/048029~B,271,unknown,unknown
20130301-rescan2/048029~B,551,unknown,unknown
20130301-rescan2/048029~B,1281,unknown,unknown
20130301-rescan2/048029~B,1491,unknown,unknown
20130301-rescan2/048029~B,3421,unknown,unknown
20130301-rescan2/048029~B,2181,unknown,unknown
20130301-rescan2/048029~B,1971,unknown,unknown
20130301-rescan2/048029~B,311,unknown,unknown
20130301-rescan2/048029~B,1911,unknown,unknown
20130301-rescan2/048029~B,1471,unknown,unknown
20130301-rescan2/048029~B,3191,unknown,unknown
20130301-rescan2/048029~B,1361,unknown,unknown
20130301-rescan2/048029~B,3911,11-12,unknown
