dirname,metasys_id,stage,orientation
20130301-rescan/011974~B,3921,13-14,unknown
20130301-rescan/011974~B,831,unknown,unknown
20130301-rescan/011974~B,4021,unknown,unknown
20130301-rescan/011974~B,541,unknown,unknown
20130301-rescan/011974~B,3251,11-12,unknown
20130301-rescan/011974~B,4141,unknown,unknown
20130301-rescan/011974~B,421,unknown,unknown
20130301-rescan/011974~B,2911,unknown,unknown
20130301-rescan/011974~B,1491,unknown,unknown
20130301-rescan/011974~B,3331,13-14,unknown
20130301-rescan/011974~B,721,unknown,unknown
20130301-rescan/011974~B,681,unknown,unknown
20130301-rescan/011974~B,331,unknown,unknown
20130301-rescan/011974~B,3771,unknown,unknown
20130301-rescan/011974~B,1121,unknown,unknown
20130301-rescan/011974~B,2541,unknown,unknown
20130301-rescan/011974~B,2981,unknown,unknown
20130301-rescan/011974~B,3021,13-14,unknown
20130301-rescan/011974~B,751,unknown,unknown
20130301-rescan/011974~B,201,unknown,unknown
20130301-rescan/011974~B,1401,unknown,unknown
20130301-rescan/011974~B,611,unknown,unknown
20130301-rescan/011974~B,1011,unknown,unknown
20130301-rescan/011974~B,3581,unknown,unknown
20130301-rescan/011974~B,2441,unknown,unknown
20130301-rescan/011974~B,2761,11-12,unknown
20130301-rescan/011974~B,1331,unknown,unknown
20130301-rescan/011974~B,2041,11-12,unknown
20130301-rescan/011974~B,1841,11-12,unknown
20130301-rescan/011974~B,4421,unknown,unknown
20130301-rescan/011974~B,1241,unknown,unknown
20130301-rescan/011974~B,3091,unknown,unknown
20130301-rescan/011974~B,971,11-12,unknown
20130301-rescan/011974~B,3291,unknown,unknown
20130301-rescan/011974~B,1991,unknown,unknown
20130301-rescan/011974~B,471,unknown,unknown
20130301-rescan/011974~B,4171,11-12,unknown
20130301-rescan/011974~B,3201,unknown,unknown
20130301-rescan/011974~B,4071,11-12,unknown
20130301-rescan/011974~B,801,unknown,unknown
20130301-rescan/011974~B,371,unknown,unknown
20130301-rescan/011974~B,3961,11-12,unknown
20130301-rescan/011974~B,571,unknown,unknown
20130301-rescan/011974~B,391,11-12,unknown
20130301-rescan/011974~B,251,unknown,unknown
20130301-rescan/011974~B,2941,15-16,unknown
20130301-rescan/011974~B,651,11-12,unknown
20130301-rescan/011974~B,1191,unknown,unknown
20130301-rescan/011974~B,711,15-16,unknown
20130301-rescan/011974~B,4311,unknown,unknown
20130301-rescan/011974~B,21,11-12,unknown
20130301-rescan/011974~B,1171,15-16,unknown
20130301-rescan/011974~B,4251,unknown,unknown
20130301-rescan/011974~B,1271,unknown,unknown
20130301-rescan/011974~B,3701,13-14,unknown
20130301-rescan/011974~B,1881,unknown,unknown
20130301-rescan/011974~B,2121,unknown,unknown
20130301-rescan/011974~B,2081,unknown,unknown
20130301-rescan/011974~B,3111,unknown,unknown
20130301-rescan/011974~B,1471,unknown,unknown
20130301-rescan/011974~B,151,unknown,unknown
20130301-rescan/011974~B,1571,unknown,unknown
20130301-rescan/011974~B,2531,unknown,unknown
20130301-rescan/011974~B,2711,9-10,unknown
20130301-rescan/011974~B,3411,unknown,unknown
20130301-rescan/011974~B,1831,9-10,unknown
20130301-rescan/011974~B,4381,unknown,unknown
20130301-rescan/011974~B,3791,unknown,unknown
20130301-rescan/011974~B,1371,unknown,unknown
20130301-rescan/011974~B,2401,unknown,unknown
20130301-rescan/011974~B,2011,9-10,unknown
20130301-rescan/011974~B,3931,9-10,unknown
20130301-rescan/011974~B,4031,unknown,unknown
20130301-rescan/011974~B,841,unknown,unknown
20130301-rescan/011974~B,1951,11-12,unknown
20130301-rescan/011974~B,3561,unknown,unknown
20130301-rescan/011974~B,921,unknown,unknown
