dirname,metasys_id,stage,orientation
20130301-rescan/014087~A,3251,unknown,unknown
20130301-rescan/014087~A,4141,15-16,unknown
20130301-rescan/014087~A,1701,unknown,unknown
20130301-rescan/014087~A,681,13-14,unknown
20130301-rescan/014087~A,2311,unknown,unknown
20130301-rescan/014087~A,3771,unknown,unknown
20130301-rescan/014087~A,1081,unknown,unknown
20130301-rescan/014087~A,1121,unknown,unknown
20130301-rescan/014087~A,4651,unknown,unknown
20130301-rescan/014087~A,2821,unknown,unknown
20130301-rescan/014087~A,4551,unknown,unknown
20130301-rescan/014087~A,2981,unknown,unknown
20130301-rescan/014087~A,3021,unknown,unknown
20130301-rescan/014087~A,2381,unknown,unknown
20130301-rescan/014087~A,201,unknown,unknown
20130301-rescan/014087~A,1401,unknown,unknown
20130301-rescan/014087~A,2441,unknown,unknown
20130301-rescan/014087~A,4211,unknown,unknown
20130301-rescan/014087~A,1231,unknown,unknown
20130301-rescan/014087~A,2761,unknown,unknown
20130301-rescan/014087~A,1331,unknown,unknown
20130301-rescan/014087~A,4191,unknown,unknown
20130301-rescan/014087~A,4951,unknown,unknown
20130301-rescan/014087~A,4101,unknown,unknown
20130301-rescan/014087~A,871,unknown,unknown
20130301-rescan/014087~A,1901,unknown,unknown
20130301-rescan/014087~A,501,unknown,unknown
20130301-rescan/014087~A,4771,unknown,unknown
20130301-rescan/014087~A,471,unknown,unknown
20130301-rescan/014087~A,4171,unknown,unknown
20130301-rescan/014087~A,3201,unknown,unknown
20130301-rescan/014087~A,5221,unknown,unknown
20130301-rescan/014087~A,4071,unknown,unknown
20130301-rescan/014087~A,801,unknown,unknown
20130301-rescan/014087~A,3961,unknown,unknown
20130301-rescan/014087~A,2861,unknown,unknown
20130301-rescan/014087~A,4611,unknown,unknown
20130301-rescan/014087~A,651,unknown,unknown
20130301-rescan/014087~A,5351,unknown,unknown
20130301-rescan/014087~A,5451,unknown,unknown
20130301-rescan/014087~A,891,unknown,unknown
20130301-rescan/014087~A,711,unknown,unknown
20130301-rescan/014087~A,4311,unknown,unknown
20130301-rescan/014087~A,4251,unknown,unknown
20130301-rescan/014087~A,1271,unknown,unknown
20130301-rescan/014087~A,4461,unknown,unknown
20130301-rescan/014087~A,2081,unknown,unknown
20130301-rescan/014087~A,4661,unknown,unknown
