dirname,metasys_id,stage,orientation
20130301/8218,3921,unknown,unknown
20130301/8218,831,unknown,unknown
20130301/8218,4781,unknown,unknown
20130301/8218,5821,unknown,unknown
20130301/8218,3551,unknown,unknown
20130301/8218,3251,unknown,unknown
20130301/8218,1941,unknown,unknown
20130301/8218,4141,unknown,unknown
20130301/8218,3991,unknown,unknown
20130301/8218,2911,unknown,unknown
20130301/8218,2851,13-14,unknown
20130301/8218,1791,unknown,unknown
20130301/8218,5461,unknown,unknown
20130301/8218,721,unknown,unknown
20130301/8218,5261,13-14,unknown
20130301/8218,681,11-12,unknown
20130301/8218,2311,unknown,unknown
20130301/8218,1391,unknown,unknown
20130301/8218,1661,unknown,unknown
20130301/8218,111,unknown,unknown
20130301/8218,1081,unknown,unknown
20130301/8218,3671,unknown,unknown
20130301/8218,5411,unknown,unknown
20130301/8218,3381,unknown,unknown
20130301/8218,2981,unknown,unknown
20130301/8218,2381,unknown,unknown
20130301/8218,201,unknown,unknown
20130301/8218,1011,unknown,unknown
20130301/8218,3581,unknown,unknown
20130301/8218,5001,unknown,unknown
20130301/8218,2441,unknown,unknown
20130301/8218,1231,unknown,unknown
20130301/8218,1331,unknown,unknown
20130301/8218,4191,unknown,unknown
20130301/8218,5671,unknown,unknown
20130301/8218,4351,unknown,unknown
20130301/8218,4811,unknown,unknown
20130301/8218,4421,unknown,unknown
20130301/8218,5571,unknown,unknown
20130301/8218,1241,unknown,unknown
20130301/8218,4951,unknown,unknown
20130301/8218,2161,unknown,unknown
20130301/8218,2611,unknown,unknown
20130301/8218,3801,unknown,unknown
20130301/8218,4101,unknown,unknown
20130301/8218,871,unknown,unknown
20130301/8218,3291,unknown,unknown
20130301/8218,5131,unknown,unknown
20130301/8218,1901,unknown,unknown
20130301/8218,3451,unknown,unknown
20130301/8218,501,unknown,unknown
20130301/8218,2681,unknown,unknown
20130301/8218,4771,unknown,unknown
20130301/8218,1991,unknown,unknown
20130301/8218,471,unknown,unknown
20130301/8218,5221,unknown,unknown
20130301/8218,4071,unknown,unknown
20130301/8218,371,unknown,unknown
20130301/8218,5791,unknown,unknown
20130301/8218,5811,unknown,unknown
20130301/8218,571,unknown,unknown
20130301/8218,391,unknown,unknown
20130301/8218,3631,unknown,unknown
20130301/8218,3061,unknown,unknown
20130301/8218,2941,unknown,unknown
20130301/8218,1051,unknown,unknown
20130301/8218,2221,unknown,unknown
20130301/8218,891,unknown,unknown
20130301/8218,711,unknown,unknown
20130301/8218,4311,unknown,unknown
20130301/8218,21,unknown,unknown
20130301/8218,4251,unknown,unknown
20130301/8218,5531,unknown,unknown
20130301/8218,4501,unknown,unknown
20130301/8218,4461,unknown,unknown
20130301/8218,1281,unknown,unknown
20130301/8218,2081,unknown,unknown
20130301/8218,4661,unknown,unknown
20130301/8218,1471,unknown,unknown
20130301/8218,151,unknown,unknown
20130301/8218,2531,unknown,unknown
20130301/8218,91,unknown,unknown
20130301/8218,5171,unknown,unknown
20130301/8218,1301,unknown,unknown
20130301/8218,2651,unknown,unknown
20130301/8218,3411,unknown,unknown
20130301/8218,4221,unknown,unknown
20130301/8218,1831,unknown,unknown
20130301/8218,3791,unknown,unknown
20130301/8218,1371,unknown,unknown
20130301/8218,2151,unknown,unknown
20130301/8218,2401,unknown,unknown
20130301/8218,4861,unknown,unknown
20130301/8218,2011,unknown,unknown
20130301/8218,5381,unknown,unknown
20130301/8218,3931,unknown,unknown
20130301/8218,3561,unknown,unknown
20130301/8218,3241,unknown,unknown
20130301/8218,3841,unknown,unknown
20130301/8218,5691,unknown,unknown
20130301/8218,2901,unknown,unknown
20130301/8218,1481,unknown,unknown
20130301/8218,691,unknown,unknown
20130301/8218,5491,unknown,unknown
20130301/8218,4041,unknown,unknown
20130301/8218,2301,unknown,unknown
20130301/8218,281,unknown,unknown
20130301/8218,991,unknown,unknown
20130301/8218,5841,unknown,unknown
20130301/8218,441,unknown,unknown
20130301/8218,3661,unknown,unknown
20130301/8218,261,unknown,unknown
20130301/8218,2281,unknown,unknown
20130301/8218,101,unknown,unknown
20130301/8218,3741,unknown,unknown
20130301/8218,4621,unknown,unknown
20130301/8218,4541,unknown,unknown
20130301/8218,2271,unknown,unknown
20130301/8218,5401,unknown,unknown
20130301/8218,1431,unknown,unknown
20130301/8218,3011,unknown,unknown
20130301/8218,2571,unknown,unknown
20130301/8218,211,unknown,unknown
20130301/8218,741,unknown,unknown
20130301/8218,661,unknown,unknown
20130301/8218,191,unknown,unknown
20130301/8218,1341,unknown,unknown
20130301/8218,5031,unknown,unknown
20130301/8218,4431,unknown,unknown
20130301/8218,4341,unknown,unknown
20130301/8218,2051,unknown,unknown
20130301/8218,2881,unknown,unknown
20130301/8218,4941,unknown,unknown
20130301/8218,4531,unknown,unknown
20130301/8218,4821,unknown,unknown
20130301/8218,61,unknown,unknown
20130301/8218,2111,unknown,unknown
20130301/8218,2621,unknown,unknown
20130301/8218,3871,unknown,unknown
20130301/8218,3521,unknown,unknown
20130301/8218,1911,unknown,unknown
20130301/8218,5101,unknown,unknown
20130301/8218,3281,unknown,unknown
20130301/8218,3881,unknown,unknown
20130301/8218,3441,unknown,unknown
20130301/8218,2021,unknown,unknown
20130301/8218,2751,unknown,unknown
20130301/8218,2691,unknown,unknown
20130301/8218,4761,unknown,unknown
20130301/8218,791,unknown,unknown
20130301/8218,5211,unknown,unknown
20130301/8218,401,unknown,unknown
20130301/8218,361,unknown,unknown
20130301/8218,4001,unknown,unknown
20130301/8218,5191,unknown,unknown
20130301/8218,811,unknown,unknown
20130301/8218,5801,unknown,unknown
20130301/8218,2871,unknown,unknown
20130301/8218,221,unknown,unknown
20130301/8218,2971,unknown,unknown
20130301/8218,3051,unknown,unknown
20130301/8218,2231,unknown,unknown
20130301/8218,5441,unknown,unknown
20130301/8218,1681,unknown,unknown
20130301/8218,701,unknown,unknown
20130301/8218,1761,unknown,unknown
20130301/8218,3711,unknown,unknown
20130301/8218,1261,unknown,unknown
20130301/8218,3491,unknown,unknown
20130301/8218,4571,unknown,unknown
20130301/8218,4471,unknown,unknown
20130301/8218,3651,unknown,unknown
20130301/8218,5501,unknown,unknown
20130301/8218,2521,unknown,unknown
20130301/8218,4901,unknown,unknown
20130301/8218,2241,unknown,unknown
20130301/8218,5061,unknown,unknown
