dirname,metasys_id,stage,orientation
SpecificStages/20130307/666001~A,11,unknown,unknown
SpecificStages/20130307/666001~A,21,unknown,unknown
SpecificStages/20130307/666001~A,31,unknown,unknown
SpecificStages/20130307/666001~A,41,unknown,unknown
SpecificStages/20130307/666001~A,51,unknown,unknown
SpecificStages/20130307/666001~A,71,unknown,unknown
SpecificStages/20130307/666001~A,81,unknown,unknown
SpecificStages/20130307/666001~A,91,unknown,unknown
SpecificStages/20130307/666001~A,101,unknown,unknown
SpecificStages/20130307/666001~A,121,unknown,unknown
SpecificStages/20130307/666001~A,131,unknown,unknown
SpecificStages/20130307/666001~A,141,unknown,unknown
SpecificStages/20130307/666001~A,151,unknown,unknown
SpecificStages/20130307/666001~A,161,unknown,unknown
SpecificStages/20130307/666001~A,171,unknown,unknown
SpecificStages/20130307/666001~A,181,unknown,unknown
SpecificStages/20130307/666001~A,191,unknown,unknown
SpecificStages/20130307/666001~A,201,unknown,unknown
SpecificStages/20130307/666001~A,211,unknown,unknown
SpecificStages/20130307/666001~A,231,unknown,unknown
SpecificStages/20130307/666001~A,241,unknown,unknown
SpecificStages/20130307/666001~A,251,unknown,unknown
SpecificStages/20130307/666001~A,261,unknown,unknown
SpecificStages/20130307/666001~A,281,unknown,unknown
SpecificStages/20130307/666001~A,301,unknown,unknown
SpecificStages/20130307/666001~A,311,unknown,unknown
SpecificStages/20130307/666001~A,321,unknown,unknown
SpecificStages/20130307/666001~A,341,unknown,unknown
SpecificStages/20130307/666001~A,351,unknown,unknown
SpecificStages/20130307/666001~A,381,unknown,unknown
SpecificStages/20130307/666001~A,391,unknown,unknown
SpecificStages/20130307/666001~A,401,unknown,unknown
SpecificStages/20130307/666001~A,421,unknown,unknown
SpecificStages/20130307/666001~A,431,unknown,unknown
SpecificStages/20130307/666001~A,441,unknown,unknown
SpecificStages/20130307/666001~A,451,unknown,unknown
SpecificStages/20130307/666001~A,461,unknown,unknown
SpecificStages/20130307/666001~A,471,unknown,unknown
SpecificStages/20130307/666001~A,481,unknown,unknown
SpecificStages/20130307/666001~A,501,unknown,unknown
SpecificStages/20130307/666001~A,511,unknown,unknown
SpecificStages/20130307/666001~A,521,unknown,unknown
SpecificStages/20130307/666001~A,541,unknown,unknown
SpecificStages/20130307/666001~A,542,unknown,unknown
SpecificStages/20130307/666001~A,561,unknown,unknown
SpecificStages/20130307/666001~A,571,unknown,unknown
SpecificStages/20130307/666001~A,581,unknown,unknown
SpecificStages/20130307/666001~A,591,unknown,unknown
SpecificStages/20130307/666001~A,601,unknown,unknown
SpecificStages/20130307/666001~A,611,unknown,unknown
SpecificStages/20130307/666001~A,621,unknown,unknown
SpecificStages/20130307/666001~A,641,unknown,unknown
SpecificStages/20130307/666001~A,651,unknown,unknown
SpecificStages/20130307/666001~A,671,unknown,unknown
SpecificStages/20130307/666001~A,681,unknown,unknown
SpecificStages/20130307/666001~A,691,unknown,unknown
SpecificStages/20130307/666001~A,711,unknown,unknown
SpecificStages/20130307/666001~A,721,unknown,unknown
SpecificStages/20130307/666001~A,731,unknown,unknown
SpecificStages/20130307/666001~A,741,unknown,unknown
SpecificStages/20130307/666001~A,761,unknown,unknown
SpecificStages/20130307/666001~A,771,unknown,unknown
SpecificStages/20130307/666001~A,781,unknown,unknown
SpecificStages/20130307/666001~A,791,unknown,unknown
SpecificStages/20130307/666001~A,801,unknown,unknown
SpecificStages/20130307/666001~A,811,unknown,unknown
SpecificStages/20130307/666001~A,821,unknown,unknown
SpecificStages/20130307/666001~A,831,unknown,unknown
SpecificStages/20130307/666001~A,841,unknown,unknown
SpecificStages/20130307/666001~A,851,unknown,unknown
SpecificStages/20130307/666001~A,852,unknown,unknown
SpecificStages/20130307/666001~A,861,unknown,unknown
SpecificStages/20130307/666001~A,871,unknown,unknown
SpecificStages/20130307/666001~A,881,unknown,unknown
SpecificStages/20130307/666001~A,891,unknown,unknown
SpecificStages/20130307/666001~A,901,unknown,unknown
SpecificStages/20130307/666001~A,911,unknown,unknown
SpecificStages/20130307/666001~A,921,unknown,unknown
SpecificStages/20130307/666001~A,931,unknown,unknown
SpecificStages/20130307/666001~A,941,unknown,unknown
SpecificStages/20130307/666001~A,951,unknown,unknown
SpecificStages/20130307/666001~A,971,unknown,unknown
SpecificStages/20130307/666001~A,981,unknown,unknown
SpecificStages/20130307/666001~A,1001,unknown,unknown
SpecificStages/20130307/666001~A,1011,unknown,unknown
SpecificStages/20130307/666001~A,1012,unknown,unknown
SpecificStages/20130307/666001~A,1031,unknown,unknown
SpecificStages/20130307/666001~A,1041,unknown,unknown
SpecificStages/20130307/666001~A,1042,unknown,unknown
SpecificStages/20130307/666001~A,1051,unknown,unknown
SpecificStages/20130307/666001~A,1061,unknown,unknown
SpecificStages/20130307/666001~A,1081,unknown,unknown
SpecificStages/20130307/666001~A,1091,unknown,unknown
SpecificStages/20130307/666001~A,1101,unknown,unknown
SpecificStages/20130307/666001~A,1111,unknown,unknown
SpecificStages/20130307/666001~A,1121,unknown,unknown
SpecificStages/20130307/666001~A,1131,unknown,unknown
SpecificStages/20130307/666001~A,1141,unknown,unknown
SpecificStages/20130307/666001~A,1151,unknown,unknown
SpecificStages/20130307/666001~A,1171,unknown,unknown
SpecificStages/20130307/666001~A,1181,unknown,unknown
SpecificStages/20130307/666001~A,1191,unknown,unknown
SpecificStages/20130307/666001~A,1201,unknown,unknown
SpecificStages/20130307/666001~A,1202,unknown,unknown
SpecificStages/20130307/666001~A,1211,unknown,unknown
SpecificStages/20130307/666001~A,1221,unknown,unknown
SpecificStages/20130307/666001~A,1231,unknown,unknown
SpecificStages/20130307/666001~A,1241,unknown,unknown
SpecificStages/20130307/666001~A,1251,unknown,unknown
SpecificStages/20130307/666001~A,1261,unknown,unknown
SpecificStages/20130307/666001~A,1271,unknown,unknown
SpecificStages/20130307/666001~A,1281,unknown,unknown
SpecificStages/20130307/666001~A,1291,unknown,unknown
SpecificStages/20130307/666001~A,1301,unknown,unknown
SpecificStages/20130307/666001~A,1311,unknown,unknown
SpecificStages/20130307/666001~A,1331,unknown,unknown
SpecificStages/20130307/666001~A,1341,unknown,unknown
SpecificStages/20130307/666001~A,1351,unknown,unknown
SpecificStages/20130307/666001~A,1361,unknown,unknown
SpecificStages/20130307/666001~A,1371,4-6,unknown
SpecificStages/20130307/666001~A,1381,unknown,unknown
SpecificStages/20130307/666001~A,1401,unknown,unknown
SpecificStages/20130307/666001~A,1411,unknown,unknown
SpecificStages/20130307/666001~A,1421,unknown,unknown
SpecificStages/20130307/666001~A,1431,unknown,unknown
SpecificStages/20130307/666001~A,1441,unknown,unknown
SpecificStages/20130307/666001~A,1451,unknown,unknown
SpecificStages/20130307/666001~A,1461,unknown,unknown
SpecificStages/20130307/666001~A,1471,unknown,unknown
SpecificStages/20130307/666001~A,1491,unknown,unknown
SpecificStages/20130307/666001~A,1501,unknown,unknown
SpecificStages/20130307/666001~A,1511,unknown,unknown
SpecificStages/20130307/666001~A,1521,unknown,unknown
SpecificStages/20130307/666001~A,1561,unknown,unknown
