dirname,metasys_id,stage,orientation
SpecificStages/20130307/666004,0011,unknown,unknown
SpecificStages/20130307/666004,0021,unknown,unknown
SpecificStages/20130307/666004,0031,unknown,unknown
SpecificStages/20130307/666004,0041,unknown,unknown
SpecificStages/20130307/666004,0051,unknown,unknown
SpecificStages/20130307/666004,0061,unknown,unknown
SpecificStages/20130307/666004,0071,unknown,unknown
SpecificStages/20130307/666004,0081,unknown,unknown
SpecificStages/20130307/666004,0091,unknown,unknown
SpecificStages/20130307/666004,0101,unknown,unknown
SpecificStages/20130307/666004,0111,unknown,unknown
SpecificStages/20130307/666004,0121,unknown,unknown
SpecificStages/20130307/666004,0131,unknown,unknown
SpecificStages/20130307/666004,0141,unknown,unknown
SpecificStages/20130307/666004,0151,unknown,unknown
SpecificStages/20130307/666004,0161,unknown,unknown
SpecificStages/20130307/666004,0171,unknown,unknown
SpecificStages/20130307/666004,0181,unknown,unknown
SpecificStages/20130307/666004,0191,unknown,unknown
SpecificStages/20130307/666004,0201,unknown,unknown
SpecificStages/20130307/666004,0211,unknown,unknown
SpecificStages/20130307/666004,0221,unknown,unknown
SpecificStages/20130307/666004,0231,unknown,unknown
SpecificStages/20130307/666004,0241,unknown,unknown
SpecificStages/20130307/666004,0251,unknown,unknown
SpecificStages/20130307/666004,0261,unknown,unknown
SpecificStages/20130307/666004,0271,unknown,unknown
SpecificStages/20130307/666004,0281,unknown,unknown
SpecificStages/20130307/666004,0291,unknown,unknown
SpecificStages/20130307/666004,0301,unknown,unknown
SpecificStages/20130307/666004,0311,unknown,unknown
SpecificStages/20130307/666004,0321,unknown,unknown
SpecificStages/20130307/666004,0331,unknown,unknown
SpecificStages/20130307/666004,0341,unknown,unknown
SpecificStages/20130307/666004,0351,unknown,unknown
SpecificStages/20130307/666004,0361,unknown,unknown
SpecificStages/20130307/666004,0371,unknown,unknown
SpecificStages/20130307/666004,0381,unknown,unknown
SpecificStages/20130307/666004,0391,unknown,unknown
SpecificStages/20130307/666004,0401,unknown,unknown
SpecificStages/20130307/666004,0411,unknown,unknown
SpecificStages/20130307/666004,0421,unknown,unknown
SpecificStages/20130307/666004,0431,unknown,unknown
SpecificStages/20130307/666004,0441,unknown,unknown
SpecificStages/20130307/666004,0451,unknown,unknown
SpecificStages/20130307/666004,0461,unknown,unknown
SpecificStages/20130307/666004,0471,unknown,unknown
SpecificStages/20130307/666004,0491,unknown,unknown
SpecificStages/20130307/666004,0501,unknown,unknown
SpecificStages/20130307/666004,0511,unknown,unknown
SpecificStages/20130307/666004,0521,unknown,unknown
SpecificStages/20130307/666004,0531,unknown,unknown
SpecificStages/20130307/666004,0551,unknown,unknown
SpecificStages/20130307/666004,0561,unknown,unknown
SpecificStages/20130307/666004,0571,unknown,unknown
SpecificStages/20130307/666004,0581,unknown,unknown
SpecificStages/20130307/666004,0591,unknown,unknown
SpecificStages/20130307/666004,0601,unknown,unknown
SpecificStages/20130307/666004,0611,unknown,unknown
SpecificStages/20130307/666004,0621,unknown,unknown
SpecificStages/20130307/666004,0631,unknown,unknown
SpecificStages/20130307/666004,0641,unknown,unknown
SpecificStages/20130307/666004,0651,unknown,unknown
SpecificStages/20130307/666004,0661,unknown,unknown
SpecificStages/20130307/666004,0671,unknown,unknown
SpecificStages/20130307/666004,0681,unknown,unknown
SpecificStages/20130307/666004,0691,unknown,unknown
SpecificStages/20130307/666004,0701,unknown,unknown
SpecificStages/20130307/666004,0721,unknown,unknown
SpecificStages/20130307/666004,0731,unknown,unknown
SpecificStages/20130307/666004,0751,unknown,unknown
SpecificStages/20130307/666004,0761,unknown,unknown
SpecificStages/20130307/666004,0771,unknown,unknown
SpecificStages/20130307/666004,0781,unknown,unknown
SpecificStages/20130307/666004,0791,unknown,unknown
SpecificStages/20130307/666004,0801,unknown,unknown
SpecificStages/20130307/666004,0811,unknown,unknown
SpecificStages/20130307/666004,0821,unknown,unknown
SpecificStages/20130307/666004,0831,unknown,unknown
SpecificStages/20130307/666004,0841,unknown,unknown
SpecificStages/20130307/666004,0851,unknown,unknown
SpecificStages/20130307/666004,0861,unknown,unknown
SpecificStages/20130307/666004,0871,unknown,unknown
SpecificStages/20130307/666004,0881,unknown,unknown
SpecificStages/20130307/666004,0891,unknown,unknown
SpecificStages/20130307/666004,0901,unknown,unknown
SpecificStages/20130307/666004,0911,unknown,unknown
SpecificStages/20130307/666004,0921,unknown,unknown
SpecificStages/20130307/666004,0931,unknown,unknown
SpecificStages/20130307/666004,0941,unknown,unknown
SpecificStages/20130307/666004,0951,unknown,unknown
SpecificStages/20130307/666004,0971,unknown,unknown
SpecificStages/20130307/666004,0981,unknown,unknown
SpecificStages/20130307/666004,0991,unknown,unknown
SpecificStages/20130307/666004,1001,unknown,unknown
SpecificStages/20130307/666004,1021,unknown,unknown
SpecificStages/20130307/666004,1031,unknown,unknown
SpecificStages/20130307/666004,1041,unknown,unknown
SpecificStages/20130307/666004,1061,unknown,unknown
SpecificStages/20130307/666004,1071,unknown,unknown
SpecificStages/20130307/666004,1081,unknown,unknown
SpecificStages/20130307/666004,1091,unknown,unknown
SpecificStages/20130307/666004,1101,unknown,unknown
SpecificStages/20130307/666004,1111,unknown,unknown
SpecificStages/20130307/666004,1121,unknown,unknown
SpecificStages/20130307/666004,1131,unknown,unknown
SpecificStages/20130307/666004,1141,unknown,unknown
SpecificStages/20130307/666004,1151,unknown,unknown
SpecificStages/20130307/666004,1161,unknown,unknown
SpecificStages/20130307/666004,1171,unknown,unknown
SpecificStages/20130307/666004,1181,unknown,unknown
SpecificStages/20130307/666004,1191,unknown,unknown
SpecificStages/20130307/666004,1201,unknown,unknown
SpecificStages/20130307/666004,1211,unknown,unknown
SpecificStages/20130307/666004,1221,unknown,unknown
SpecificStages/20130307/666004,1231,unknown,unknown
