dirname,metasys_id,stage,orientation
SpecificStages/20130321-rescan/666001~L,11,unknown,unknown
SpecificStages/20130321-rescan/666001~L,21,unknown,unknown
SpecificStages/20130321-rescan/666001~L,31,unknown,unknown
SpecificStages/20130321-rescan/666001~L,41,7-8,unknown
SpecificStages/20130321-rescan/666001~L,51,9-10,unknown
SpecificStages/20130321-rescan/666001~L,61,9-10,unknown
SpecificStages/20130321-rescan/666001~L,71,9-10,unknown
SpecificStages/20130321-rescan/666001~L,81,9-10,unknown
SpecificStages/20130321-rescan/666001~L,91,7-8,unknown
SpecificStages/20130321-rescan/666001~L,101,7-8,unknown
SpecificStages/20130321-rescan/666001~L,111,9-10,unknown
SpecificStages/20130321-rescan/666001~L,121,9-10,unknown
SpecificStages/20130321-rescan/666001~L,131,9-10,unknown
SpecificStages/20130321-rescan/666001~L,141,9-10,unknown
SpecificStages/20130321-rescan/666001~L,161,7-8,unknown
SpecificStages/20130321-rescan/666001~L,171,unknown,unknown
SpecificStages/20130321-rescan/666001~L,181,unknown,unknown
SpecificStages/20130321-rescan/666001~L,191,unknown,unknown
SpecificStages/20130321-rescan/666001~L,201,9-10,unknown
SpecificStages/20130321-rescan/666001~L,211,9-10,unknown
SpecificStages/20130321-rescan/666001~L,221,9-10,unknown
SpecificStages/20130321-rescan/666001~L,231,unknown,unknown
SpecificStages/20130321-rescan/666001~L,241,unknown,unknown
SpecificStages/20130321-rescan/666001~L,251,9-10,unknown
SpecificStages/20130321-rescan/666001~L,271,unknown,unknown
SpecificStages/20130321-rescan/666001~L,281,7-8,unknown
SpecificStages/20130321-rescan/666001~L,291,unknown,unknown
SpecificStages/20130321-rescan/666001~L,301,7-8,unknown
SpecificStages/20130321-rescan/666001~L,311,unknown,unknown
SpecificStages/20130321-rescan/666001~L,321,7-8,unknown
SpecificStages/20130321-rescan/666001~L,341,unknown,unknown
SpecificStages/20130321-rescan/666001~L,351,9-10,unknown
SpecificStages/20130321-rescan/666001~L,361,7-8,unknown
SpecificStages/20130321-rescan/666001~L,371,unknown,unknown
SpecificStages/20130321-rescan/666001~L,381,9-10,unknown
SpecificStages/20130321-rescan/666001~L,391,9-10,unknown
SpecificStages/20130321-rescan/666001~L,401,unknown,unknown
SpecificStages/20130321-rescan/666001~L,411,9-10,unknown
SpecificStages/20130321-rescan/666001~L,421,9-10,unknown
SpecificStages/20130321-rescan/666001~L,441,9-10,unknown
SpecificStages/20130321-rescan/666001~L,451,7-8,unknown
SpecificStages/20130321-rescan/666001~L,461,unknown,unknown
SpecificStages/20130321-rescan/666001~L,471,unknown,unknown
SpecificStages/20130321-rescan/666001~L,481,9-10,unknown
SpecificStages/20130321-rescan/666001~L,491,9-10,unknown
SpecificStages/20130321-rescan/666001~L,501,9-10,unknown
SpecificStages/20130321-rescan/666001~L,521,7-8,unknown
SpecificStages/20130321-rescan/666001~L,531,9-10,unknown
SpecificStages/20130321-rescan/666001~L,541,9-10,unknown
SpecificStages/20130321-rescan/666001~L,551,9-10,unknown
SpecificStages/20130321-rescan/666001~L,561,9-10,unknown
SpecificStages/20130321-rescan/666001~L,581,7-8,unknown
SpecificStages/20130321-rescan/666001~L,591,unknown,unknown
SpecificStages/20130321-rescan/666001~L,601,9-10,unknown
SpecificStages/20130321-rescan/666001~L,611,9-10,unknown
SpecificStages/20130321-rescan/666001~L,621,9-10,unknown
SpecificStages/20130321-rescan/666001~L,651,11-12,unknown
SpecificStages/20130321-rescan/666001~L,661,unknown,unknown
SpecificStages/20130321-rescan/666001~L,681,unknown,unknown
SpecificStages/20130321-rescan/666001~L,711,7-8,unknown
SpecificStages/20130321-rescan/666001~L,721,9-10,unknown
SpecificStages/20130321-rescan/666001~L,741,unknown,unknown
SpecificStages/20130321-rescan/666001~L,751,unknown,unknown
SpecificStages/20130321-rescan/666001~L,761,9-10,unknown
SpecificStages/20130321-rescan/666001~L,771,unknown,unknown
SpecificStages/20130321-rescan/666001~L,781,unknown,unknown
SpecificStages/20130321-rescan/666001~L,791,7-8,unknown
