dirname,metasys_id,stage,orientation
SpecificStages/20130321-rescan/666004~P,0011,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0021,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0041,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0051,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0061,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0071,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0081,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0091,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0101,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0121,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0131,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0141,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0151,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0161,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0171,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0181,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0191,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0201,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0211,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0221,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0231,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0241,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0251,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0261,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0271,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0281,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0291,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0301,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0311,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0321,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0322,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0331,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0341,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0351,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0361,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0371,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0381,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0391,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0401,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0411,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0421,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0431,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0441,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0451,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0461,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0471,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0481,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0491,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0501,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0511,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0521,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0531,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0541,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0551,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0561,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0571,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0581,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0591,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0611,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0621,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0631,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0641,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0651,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0661,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0671,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0681,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0691,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0701,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0711,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0721,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0731,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0741,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0751,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0761,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0771,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0781,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0791,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0801,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0811,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0821,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0831,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0861,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0871,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0881,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0891,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0901,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0911,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0921,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0941,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0951,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0961,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0971,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0981,unknown,unknown
SpecificStages/20130321-rescan/666004~P,0991,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1021,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1041,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1051,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1061,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1071,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1081,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1091,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1111,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1121,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1131,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1141,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1151,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1161,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1171,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1181,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1191,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1192,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1201,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1211,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1221,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1231,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1241,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1242,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1251,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1261,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1271,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1281,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1291,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1301,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1311,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1331,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1341,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1351,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1361,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1371,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1381,unknown,unknown
SpecificStages/20130321-rescan/666004~P,1401,unknown,unknown
