dirname,metasys_id,stage,orientation
SpecificStages/20130321-rescan/666005~J,0021,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0031,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0041,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0051,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0061,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0071,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0081,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0091,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0101,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0111,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0121,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0131,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0141,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0151,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0152,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0171,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0181,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0191,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0201,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0221,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0231,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0241,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0251,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0271,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0281,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0291,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0301,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0311,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0321,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0331,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0341,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0351,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0361,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0371,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0381,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0391,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0401,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0411,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0441,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0451,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0461,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0471,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0481,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0491,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0501,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0511,unknown,unknown
SpecificStages/20130321-rescan/666005~J,0521,unknown,unknown
