dirname,metasys_id,stage,orientation
SpecificStages/20130321-rescan/666006~N,0011,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0021,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0031,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0041,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0051,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0061,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0081,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0091,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0101,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0111,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0121,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0131,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0141,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0151,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0161,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0171,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0181,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0191,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0201,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0211,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0221,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0231,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0241,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0251,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0261,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0271,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0281,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0291,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0301,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0311,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0312,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0313,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0331,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0351,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0361,unknown,unknown
SpecificStages/20130321-rescan/666006~N,0371,unknown,unknown
