dirname,metasys_id,stage,orientation
SpecificStages/20130321/666000~B,41,unknown,unknown
SpecificStages/20130321/666000~B,61,unknown,unknown
SpecificStages/20130321/666000~B,71,unknown,unknown
SpecificStages/20130321/666000~B,81,unknown,unknown
SpecificStages/20130321/666000~B,91,unknown,unknown
SpecificStages/20130321/666000~B,101,unknown,unknown
SpecificStages/20130321/666000~B,111,unknown,unknown
SpecificStages/20130321/666000~B,121,unknown,unknown
SpecificStages/20130321/666000~B,141,unknown,unknown
SpecificStages/20130321/666000~B,171,unknown,unknown
SpecificStages/20130321/666000~B,191,unknown,unknown
SpecificStages/20130321/666000~B,192,unknown,unknown
SpecificStages/20130321/666000~B,211,unknown,unknown
SpecificStages/20130321/666000~B,231,unknown,unknown
SpecificStages/20130321/666000~B,241,unknown,unknown
SpecificStages/20130321/666000~B,242,unknown,unknown
SpecificStages/20130321/666000~B,251,unknown,unknown
SpecificStages/20130321/666000~B,271,unknown,unknown
SpecificStages/20130321/666000~B,301,unknown,unknown
SpecificStages/20130321/666000~B,311,unknown,unknown
SpecificStages/20130321/666000~B,321,unknown,unknown
SpecificStages/20130321/666000~B,322,4-6,unknown
SpecificStages/20130321/666000~B,331,unknown,unknown
SpecificStages/20130321/666000~B,332,unknown,unknown
SpecificStages/20130321/666000~B,341,unknown,unknown
SpecificStages/20130321/666000~B,351,unknown,unknown
SpecificStages/20130321/666000~B,361,unknown,unknown
SpecificStages/20130321/666000~B,371,unknown,unknown
SpecificStages/20130321/666000~B,381,unknown,unknown
SpecificStages/20130321/666000~B,391,unknown,unknown
SpecificStages/20130321/666000~B,401,unknown,unknown
SpecificStages/20130321/666000~B,411,unknown,unknown
SpecificStages/20130321/666000~B,421,4-6,unknown
SpecificStages/20130321/666000~B,431,unknown,unknown
SpecificStages/20130321/666000~B,441,unknown,unknown
SpecificStages/20130321/666000~B,451,unknown,unknown
SpecificStages/20130321/666000~B,461,unknown,unknown
SpecificStages/20130321/666000~B,462,unknown,unknown
SpecificStages/20130321/666000~B,471,unknown,unknown
SpecificStages/20130321/666000~B,481,unknown,unknown
SpecificStages/20130321/666000~B,491,unknown,unknown
SpecificStages/20130321/666000~B,501,unknown,unknown
SpecificStages/20130321/666000~B,511,unknown,unknown
SpecificStages/20130321/666000~B,521,unknown,unknown
SpecificStages/20130321/666000~B,531,unknown,unknown
SpecificStages/20130321/666000~B,541,unknown,unknown
SpecificStages/20130321/666000~B,551,unknown,unknown
SpecificStages/20130321/666000~B,561,unknown,unknown
SpecificStages/20130321/666000~B,571,unknown,unknown
SpecificStages/20130321/666000~B,581,unknown,unknown
SpecificStages/20130321/666000~B,591,unknown,unknown
SpecificStages/20130321/666000~B,601,unknown,unknown
SpecificStages/20130321/666000~B,611,unknown,unknown
SpecificStages/20130321/666000~B,621,unknown,unknown
SpecificStages/20130321/666000~B,631,unknown,unknown
SpecificStages/20130321/666000~B,661,unknown,unknown
SpecificStages/20130321/666000~B,671,unknown,unknown
SpecificStages/20130321/666000~B,691,unknown,unknown
SpecificStages/20130321/666000~B,701,unknown,unknown
SpecificStages/20130321/666000~B,711,unknown,unknown
SpecificStages/20130321/666000~B,721,unknown,unknown
SpecificStages/20130321/666000~B,731,unknown,unknown
SpecificStages/20130321/666000~B,741,unknown,unknown
SpecificStages/20130321/666000~B,751,unknown,unknown
SpecificStages/20130321/666000~B,761,unknown,unknown
SpecificStages/20130321/666000~B,771,unknown,unknown
SpecificStages/20130321/666000~B,791,unknown,unknown
SpecificStages/20130321/666000~B,792,unknown,unknown
SpecificStages/20130321/666000~B,811,unknown,unknown
SpecificStages/20130321/666000~B,821,unknown,unknown
SpecificStages/20130321/666000~B,841,unknown,unknown
SpecificStages/20130321/666000~B,851,unknown,unknown
SpecificStages/20130321/666000~B,861,unknown,unknown
SpecificStages/20130321/666000~B,871,unknown,unknown
SpecificStages/20130321/666000~B,881,4-6,unknown
SpecificStages/20130321/666000~B,891,unknown,unknown
SpecificStages/20130321/666000~B,901,unknown,unknown
SpecificStages/20130321/666000~B,911,unknown,unknown
SpecificStages/20130321/666000~B,921,unknown,unknown
SpecificStages/20130321/666000~B,931,unknown,unknown
SpecificStages/20130321/666000~B,941,4-6,unknown
SpecificStages/20130321/666000~B,951,unknown,unknown
SpecificStages/20130321/666000~B,961,unknown,unknown
SpecificStages/20130321/666000~B,962,4-6,unknown
SpecificStages/20130321/666000~B,971,unknown,unknown
SpecificStages/20130321/666000~B,981,unknown,unknown
SpecificStages/20130321/666000~B,991,unknown,unknown
SpecificStages/20130321/666000~B,1001,unknown,unknown
SpecificStages/20130321/666000~B,1011,unknown,unknown
SpecificStages/20130321/666000~B,1021,unknown,unknown
SpecificStages/20130321/666000~B,1031,4-6,unknown
SpecificStages/20130321/666000~B,1051,unknown,unknown
SpecificStages/20130321/666000~B,1061,unknown,unknown
SpecificStages/20130321/666000~B,1071,unknown,unknown
SpecificStages/20130321/666000~B,1081,unknown,unknown
SpecificStages/20130321/666000~B,1091,unknown,unknown
SpecificStages/20130321/666000~B,1101,unknown,unknown
SpecificStages/20130321/666000~B,1121,unknown,unknown
SpecificStages/20130321/666000~B,1131,unknown,unknown
