dirname,metasys_id,stage,orientation
SpecificStages/20130321/666001~D,61,unknown,unknown
SpecificStages/20130321/666001~D,71,unknown,unknown
SpecificStages/20130321/666001~D,81,unknown,unknown
SpecificStages/20130321/666001~D,91,7-8,unknown
SpecificStages/20130321/666001~D,101,4-6,unknown
SpecificStages/20130321/666001~D,111,4-6,unknown
SpecificStages/20130321/666001~D,121,unknown,unknown
SpecificStages/20130321/666001~D,151,7-8,unknown
SpecificStages/20130321/666001~D,181,4-6,unknown
SpecificStages/20130321/666001~D,191,unknown,unknown
SpecificStages/20130321/666001~D,201,unknown,unknown
SpecificStages/20130321/666001~D,202,unknown,unknown
SpecificStages/20130321/666001~D,211,unknown,unknown
SpecificStages/20130321/666001~D,221,7-8,unknown
SpecificStages/20130321/666001~D,241,unknown,unknown
SpecificStages/20130321/666001~D,251,4-6,unknown
SpecificStages/20130321/666001~D,261,unknown,unknown
SpecificStages/20130321/666001~D,271,4-6,unknown
SpecificStages/20130321/666001~D,281,4-6,unknown
SpecificStages/20130321/666001~D,291,unknown,unknown
SpecificStages/20130321/666001~D,301,unknown,unknown
SpecificStages/20130321/666001~D,311,4-6,unknown
SpecificStages/20130321/666001~D,321,4-6,unknown
SpecificStages/20130321/666001~D,331,4-6,unknown
SpecificStages/20130321/666001~D,351,unknown,unknown
SpecificStages/20130321/666001~D,361,unknown,unknown
SpecificStages/20130321/666001~D,371,4-6,unknown
SpecificStages/20130321/666001~D,381,unknown,unknown
SpecificStages/20130321/666001~D,391,unknown,unknown
SpecificStages/20130321/666001~D,401,unknown,unknown
SpecificStages/20130321/666001~D,411,4-6,unknown
SpecificStages/20130321/666001~D,421,4-6,unknown
SpecificStages/20130321/666001~D,431,4-6,unknown
SpecificStages/20130321/666001~D,441,4-6,unknown
SpecificStages/20130321/666001~D,451,4-6,unknown
SpecificStages/20130321/666001~D,461,4-6,unknown
SpecificStages/20130321/666001~D,471,4-6,unknown
SpecificStages/20130321/666001~D,481,4-6,unknown
SpecificStages/20130321/666001~D,491,4-6,unknown
SpecificStages/20130321/666001~D,501,4-6,unknown
SpecificStages/20130321/666001~D,511,4-6,unknown
SpecificStages/20130321/666001~D,531,4-6,unknown
SpecificStages/20130321/666001~D,551,unknown,unknown
SpecificStages/20130321/666001~D,561,4-6,unknown
SpecificStages/20130321/666001~D,571,4-6,unknown
SpecificStages/20130321/666001~D,581,4-6,unknown
SpecificStages/20130321/666001~D,591,unknown,unknown
SpecificStages/20130321/666001~D,601,4-6,unknown
SpecificStages/20130321/666001~D,611,4-6,unknown
SpecificStages/20130321/666001~D,631,4-6,unknown
SpecificStages/20130321/666001~D,641,4-6,unknown
SpecificStages/20130321/666001~D,651,4-6,unknown
SpecificStages/20130321/666001~D,661,unknown,unknown
SpecificStages/20130321/666001~D,662,unknown,unknown
SpecificStages/20130321/666001~D,671,4-6,unknown
SpecificStages/20130321/666001~D,681,unknown,unknown
SpecificStages/20130321/666001~D,691,unknown,unknown
SpecificStages/20130321/666001~D,711,4-6,unknown
SpecificStages/20130321/666001~D,721,unknown,unknown
SpecificStages/20130321/666001~D,731,4-6,unknown
SpecificStages/20130321/666001~D,741,4-6,unknown
SpecificStages/20130321/666001~D,751,4-6,unknown
SpecificStages/20130321/666001~D,761,unknown,unknown
SpecificStages/20130321/666001~D,771,4-6,unknown
SpecificStages/20130321/666001~D,781,4-6,unknown
SpecificStages/20130321/666001~D,791,4-6,unknown
SpecificStages/20130321/666001~D,801,4-6,unknown
SpecificStages/20130321/666001~D,802,unknown,unknown
SpecificStages/20130321/666001~D,811,unknown,unknown
SpecificStages/20130321/666001~D,821,4-6,unknown
SpecificStages/20130321/666001~D,831,4-6,unknown
SpecificStages/20130321/666001~D,841,unknown,unknown
SpecificStages/20130321/666001~D,851,4-6,unknown
SpecificStages/20130321/666001~D,861,unknown,unknown
SpecificStages/20130321/666001~D,871,4-6,unknown
SpecificStages/20130321/666001~D,881,unknown,unknown
SpecificStages/20130321/666001~D,891,4-6,unknown
SpecificStages/20130321/666001~D,901,4-6,unknown
SpecificStages/20130321/666001~D,911,unknown,unknown
SpecificStages/20130321/666001~D,921,4-6,unknown
SpecificStages/20130321/666001~D,941,4-6,unknown
SpecificStages/20130321/666001~D,951,4-6,unknown
SpecificStages/20130321/666001~D,971,4-6,unknown
SpecificStages/20130321/666001~D,981,4-6,unknown
SpecificStages/20130321/666001~D,991,4-6,unknown
SpecificStages/20130321/666001~D,1001,unknown,unknown
SpecificStages/20130321/666001~D,1011,7-8,unknown
SpecificStages/20130321/666001~D,1021,4-6,unknown
SpecificStages/20130321/666001~D,1031,unknown,unknown
SpecificStages/20130321/666001~D,1041,unknown,unknown
SpecificStages/20130321/666001~D,1071,4-6,unknown
SpecificStages/20130321/666001~D,1081,4-6,unknown
SpecificStages/20130321/666001~D,1091,unknown,unknown
SpecificStages/20130321/666001~D,1092,unknown,unknown
SpecificStages/20130321/666001~D,1101,4-6,unknown
SpecificStages/20130321/666001~D,1111,4-6,unknown
SpecificStages/20130321/666001~D,1121,4-6,unknown
SpecificStages/20130321/666001~D,1141,4-6,unknown
SpecificStages/20130321/666001~D,1151,7-8,unknown
SpecificStages/20130321/666001~D,1161,unknown,unknown
SpecificStages/20130321/666001~D,1171,unknown,unknown
SpecificStages/20130321/666001~D,1181,4-6,unknown
