dirname,metasys_id,stage,orientation
SpecificStages/20130321/666001~H,31,unknown,unknown
SpecificStages/20130321/666001~H,41,unknown,unknown
SpecificStages/20130321/666001~H,51,11-12,unknown
SpecificStages/20130321/666001~H,61,unknown,unknown
SpecificStages/20130321/666001~H,62,unknown,unknown
SpecificStages/20130321/666001~H,71,9-10,unknown
SpecificStages/20130321/666001~H,81,unknown,unknown
SpecificStages/20130321/666001~H,91,9-10,unknown
SpecificStages/20130321/666001~H,101,9-10,unknown
SpecificStages/20130321/666001~H,111,9-10,unknown
SpecificStages/20130321/666001~H,131,9-10,unknown
SpecificStages/20130321/666001~H,141,unknown,unknown
SpecificStages/20130321/666001~H,142,unknown,unknown
SpecificStages/20130321/666001~H,151,9-10,unknown
SpecificStages/20130321/666001~H,161,9-10,unknown
SpecificStages/20130321/666001~H,171,9-10,unknown
SpecificStages/20130321/666001~H,181,unknown,unknown
SpecificStages/20130321/666001~H,191,9-10,unknown
SpecificStages/20130321/666001~H,211,9-10,unknown
SpecificStages/20130321/666001~H,221,7-8,unknown
SpecificStages/20130321/666001~H,231,7-8,unknown
SpecificStages/20130321/666001~H,241,9-10,unknown
SpecificStages/20130321/666001~H,251,9-10,unknown
SpecificStages/20130321/666001~H,261,unknown,unknown
SpecificStages/20130321/666001~H,262,unknown,unknown
SpecificStages/20130321/666001~H,271,9-10,unknown
SpecificStages/20130321/666001~H,281,9-10,unknown
SpecificStages/20130321/666001~H,291,unknown,unknown
SpecificStages/20130321/666001~H,301,11-12,unknown
SpecificStages/20130321/666001~H,311,unknown,unknown
SpecificStages/20130321/666001~H,321,9-10,unknown
SpecificStages/20130321/666001~H,331,13-14,unknown
SpecificStages/20130321/666001~H,341,unknown,unknown
SpecificStages/20130321/666001~H,351,7-8,unknown
SpecificStages/20130321/666001~H,361,unknown,unknown
SpecificStages/20130321/666001~H,371,9-10,unknown
SpecificStages/20130321/666001~H,381,9-10,unknown
SpecificStages/20130321/666001~H,391,7-8,unknown
SpecificStages/20130321/666001~H,411,unknown,unknown
SpecificStages/20130321/666001~H,421,9-10,unknown
SpecificStages/20130321/666001~H,431,9-10,unknown
SpecificStages/20130321/666001~H,441,9-10,unknown
SpecificStages/20130321/666001~H,451,unknown,unknown
SpecificStages/20130321/666001~H,461,unknown,unknown
SpecificStages/20130321/666001~H,471,9-10,unknown
SpecificStages/20130321/666001~H,481,unknown,unknown
SpecificStages/20130321/666001~H,491,9-10,unknown
SpecificStages/20130321/666001~H,501,7-8,unknown
SpecificStages/20130321/666001~H,511,unknown,unknown
SpecificStages/20130321/666001~H,531,9-10,unknown
SpecificStages/20130321/666001~H,541,9-10,unknown
SpecificStages/20130321/666001~H,551,9-10,unknown
SpecificStages/20130321/666001~H,561,7-8,unknown
SpecificStages/20130321/666001~H,571,unknown,unknown
SpecificStages/20130321/666001~H,581,unknown,unknown
SpecificStages/20130321/666001~H,591,7-8,unknown
SpecificStages/20130321/666001~H,601,9-10,unknown
SpecificStages/20130321/666001~H,611,unknown,unknown
SpecificStages/20130321/666001~H,621,unknown,unknown
SpecificStages/20130321/666001~H,631,9-10,unknown
SpecificStages/20130321/666001~H,641,9-10,unknown
SpecificStages/20130321/666001~H,651,unknown,unknown
SpecificStages/20130321/666001~H,671,unknown,unknown
SpecificStages/20130321/666001~H,681,unknown,unknown
SpecificStages/20130321/666001~H,691,unknown,unknown
SpecificStages/20130321/666001~H,701,unknown,unknown
SpecificStages/20130321/666001~H,711,unknown,unknown
SpecificStages/20130321/666001~H,721,9-10,unknown
SpecificStages/20130321/666001~H,731,9-10,unknown
SpecificStages/20130321/666001~H,741,unknown,unknown
SpecificStages/20130321/666001~H,751,unknown,unknown
SpecificStages/20130321/666001~H,761,9-10,unknown
SpecificStages/20130321/666001~H,771,9-10,unknown
SpecificStages/20130321/666001~H,781,unknown,unknown
SpecificStages/20130321/666001~H,791,unknown,unknown
SpecificStages/20130321/666001~H,801,unknown,unknown
SpecificStages/20130321/666001~H,811,unknown,unknown
SpecificStages/20130321/666001~H,821,unknown,unknown
SpecificStages/20130321/666001~H,822,unknown,unknown
SpecificStages/20130321/666001~H,831,unknown,unknown
SpecificStages/20130321/666001~H,841,unknown,unknown
SpecificStages/20130321/666001~H,851,unknown,unknown
SpecificStages/20130321/666001~H,861,unknown,unknown
SpecificStages/20130321/666001~H,871,unknown,unknown
SpecificStages/20130321/666001~H,881,7-8,unknown
SpecificStages/20130321/666001~H,891,unknown,unknown
SpecificStages/20130321/666001~H,901,9-10,unknown
SpecificStages/20130321/666001~H,911,unknown,unknown
SpecificStages/20130321/666001~H,931,unknown,unknown
SpecificStages/20130321/666001~H,941,unknown,unknown
SpecificStages/20130321/666001~H,951,unknown,unknown
SpecificStages/20130321/666001~H,952,unknown,unknown
SpecificStages/20130321/666001~H,961,unknown,unknown
SpecificStages/20130321/666001~H,971,unknown,unknown
SpecificStages/20130321/666001~H,981,unknown,unknown
SpecificStages/20130321/666001~H,991,unknown,unknown
SpecificStages/20130321/666001~H,1001,unknown,unknown
SpecificStages/20130321/666001~H,1011,unknown,unknown
SpecificStages/20130321/666001~H,1021,unknown,unknown
SpecificStages/20130321/666001~H,1031,unknown,unknown
SpecificStages/20130321/666001~H,1041,unknown,unknown
SpecificStages/20130321/666001~H,1042,unknown,unknown
SpecificStages/20130321/666001~H,1051,9-10,unknown
SpecificStages/20130321/666001~H,1061,unknown,unknown
SpecificStages/20130321/666001~H,1071,9-10,unknown
SpecificStages/20130321/666001~H,1081,9-10,unknown
SpecificStages/20130321/666001~H,1091,7-8,unknown
SpecificStages/20130321/666001~H,1101,unknown,unknown
SpecificStages/20130321/666001~H,1111,unknown,unknown
SpecificStages/20130321/666001~H,1121,unknown,unknown
SpecificStages/20130321/666001~H,1131,unknown,unknown
SpecificStages/20130321/666001~H,1141,7-8,unknown
SpecificStages/20130321/666001~H,1151,9-10,unknown
SpecificStages/20130321/666001~H,1161,unknown,unknown
SpecificStages/20130321/666001~H,1181,unknown,unknown
SpecificStages/20130321/666001~H,1191,unknown,unknown
SpecificStages/20130321/666001~H,1201,unknown,unknown
SpecificStages/20130321/666001~H,1211,9-10,unknown
SpecificStages/20130321/666001~H,1221,9-10,unknown
SpecificStages/20130321/666001~H,1231,9-10,unknown
SpecificStages/20130321/666001~H,1241,unknown,unknown
SpecificStages/20130321/666001~H,1251,unknown,unknown
SpecificStages/20130321/666001~H,1261,unknown,unknown
SpecificStages/20130321/666001~H,1271,11-12,unknown
SpecificStages/20130321/666001~H,1281,unknown,unknown
SpecificStages/20130321/666001~H,1291,9-10,unknown
SpecificStages/20130321/666001~H,1301,9-10,unknown
SpecificStages/20130321/666001~H,1311,unknown,unknown
SpecificStages/20130321/666001~H,1321,unknown,unknown
SpecificStages/20130321/666001~H,1322,unknown,unknown
SpecificStages/20130321/666001~H,1331,unknown,unknown
SpecificStages/20130321/666001~H,1341,9-10,unknown
SpecificStages/20130321/666001~H,1351,9-10,unknown
SpecificStages/20130321/666001~H,1361,unknown,unknown
SpecificStages/20130321/666001~H,1371,unknown,unknown
SpecificStages/20130321/666001~H,1381,unknown,unknown
SpecificStages/20130321/666001~H,1391,unknown,unknown
SpecificStages/20130321/666001~H,1392,unknown,unknown
SpecificStages/20130321/666001~H,1401,7-8,unknown
SpecificStages/20130321/666001~H,1411,unknown,unknown
SpecificStages/20130321/666001~H,1421,unknown,unknown
SpecificStages/20130321/666001~H,1431,unknown,unknown
SpecificStages/20130321/666001~H,1441,unknown,unknown
SpecificStages/20130321/666001~H,1451,unknown,unknown
SpecificStages/20130321/666001~H,1461,9-10,unknown
SpecificStages/20130321/666001~H,1471,11-12,unknown
SpecificStages/20130321/666001~H,1481,9-10,unknown
SpecificStages/20130321/666001~H,1491,9-10,unknown
SpecificStages/20130321/666001~H,1501,9-10,unknown
SpecificStages/20130321/666001~H,1511,9-10,unknown
SpecificStages/20130321/666001~H,1521,unknown,unknown
SpecificStages/20130321/666001~H,1531,unknown,unknown
SpecificStages/20130321/666001~H,1541,unknown,unknown
SpecificStages/20130321/666001~H,1551,unknown,unknown
SpecificStages/20130321/666001~H,1561,7-8,unknown
SpecificStages/20130321/666001~H,1571,unknown,unknown
SpecificStages/20130321/666001~H,1581,7-8,unknown
SpecificStages/20130321/666001~H,1591,9-10,unknown
SpecificStages/20130321/666001~H,1611,9-10,unknown
SpecificStages/20130321/666001~H,1621,unknown,unknown
SpecificStages/20130321/666001~H,1631,9-10,unknown
SpecificStages/20130321/666001~H,1651,9-10,unknown
SpecificStages/20130321/666001~H,1661,7-8,unknown
SpecificStages/20130321/666001~H,1671,unknown,unknown
SpecificStages/20130321/666001~H,1681,unknown,unknown
SpecificStages/20130321/666001~H,1691,unknown,unknown
SpecificStages/20130321/666001~H,1701,unknown,unknown
SpecificStages/20130321/666001~H,1711,unknown,unknown
SpecificStages/20130321/666001~H,1721,9-10,unknown
SpecificStages/20130321/666001~H,1731,unknown,unknown
SpecificStages/20130321/666001~H,1741,unknown,unknown
SpecificStages/20130321/666001~H,1751,9-10,unknown
SpecificStages/20130321/666001~H,1761,unknown,unknown
SpecificStages/20130321/666001~H,1781,unknown,unknown
SpecificStages/20130321/666001~H,1791,unknown,unknown
SpecificStages/20130321/666001~H,1801,7-8,unknown
SpecificStages/20130321/666001~H,1811,unknown,unknown
SpecificStages/20130321/666001~H,1821,unknown,unknown
SpecificStages/20130321/666001~H,1831,unknown,unknown
SpecificStages/20130321/666001~H,1841,7-8,unknown
SpecificStages/20130321/666001~H,1851,unknown,unknown
SpecificStages/20130321/666001~H,1861,7-8,unknown
SpecificStages/20130321/666001~H,1871,unknown,unknown
SpecificStages/20130321/666001~H,1881,unknown,unknown
SpecificStages/20130321/666001~H,1891,unknown,unknown
SpecificStages/20130321/666001~H,1901,7-8,unknown
SpecificStages/20130321/666001~H,1911,unknown,unknown
SpecificStages/20130321/666001~H,1921,9-10,unknown
SpecificStages/20130321/666001~H,1931,9-10,unknown
SpecificStages/20130321/666001~H,1941,11-12,unknown
SpecificStages/20130321/666001~H,1951,7-8,unknown
SpecificStages/20130321/666001~H,1961,11-12,unknown
SpecificStages/20130321/666001~H,1971,unknown,unknown
SpecificStages/20130321/666001~H,1981,7-8,unknown
SpecificStages/20130321/666001~H,1991,9-10,unknown
SpecificStages/20130321/666001~H,2001,unknown,unknown
SpecificStages/20130321/666001~H,2011,unknown,unknown
SpecificStages/20130321/666001~H,2021,9-10,unknown
SpecificStages/20130321/666001~H,2031,9-10,unknown
SpecificStages/20130321/666001~H,2041,9-10,unknown
SpecificStages/20130321/666001~H,2051,unknown,unknown
SpecificStages/20130321/666001~H,2061,9-10,unknown
SpecificStages/20130321/666001~H,2071,9-10,unknown
SpecificStages/20130321/666001~H,2081,9-10,unknown
SpecificStages/20130321/666001~H,2091,unknown,unknown
SpecificStages/20130321/666001~H,2092,unknown,unknown
SpecificStages/20130321/666001~H,2101,9-10,unknown
SpecificStages/20130321/666001~H,2111,unknown,unknown
SpecificStages/20130321/666001~H,2121,9-10,unknown
