dirname,metasys_id,stage,orientation
SpecificStages/20130321/666002~F,0011,unknown,unknown
SpecificStages/20130321/666002~F,0021,unknown,unknown
SpecificStages/20130321/666002~F,0031,unknown,unknown
SpecificStages/20130321/666002~F,0041,unknown,unknown
SpecificStages/20130321/666002~F,0051,unknown,unknown
SpecificStages/20130321/666002~F,0061,unknown,unknown
SpecificStages/20130321/666002~F,0071,unknown,unknown
SpecificStages/20130321/666002~F,0081,unknown,unknown
SpecificStages/20130321/666002~F,0101,unknown,unknown
SpecificStages/20130321/666002~F,0131,unknown,unknown
SpecificStages/20130321/666002~F,0141,unknown,unknown
SpecificStages/20130321/666002~F,0151,unknown,unknown
SpecificStages/20130321/666002~F,0161,unknown,unknown
SpecificStages/20130321/666002~F,0171,unknown,unknown
SpecificStages/20130321/666002~F,0181,unknown,unknown
SpecificStages/20130321/666002~F,0201,unknown,unknown
SpecificStages/20130321/666002~F,0211,unknown,unknown
SpecificStages/20130321/666002~F,0231,unknown,unknown
SpecificStages/20130321/666002~F,0241,unknown,unknown
SpecificStages/20130321/666002~F,0242,unknown,unknown
SpecificStages/20130321/666002~F,0251,unknown,unknown
SpecificStages/20130321/666002~F,0271,unknown,unknown
SpecificStages/20130321/666002~F,0281,unknown,unknown
SpecificStages/20130321/666002~F,0291,unknown,unknown
SpecificStages/20130321/666002~F,0301,unknown,unknown
SpecificStages/20130321/666002~F,0311,unknown,unknown
SpecificStages/20130321/666002~F,0321,unknown,unknown
SpecificStages/20130321/666002~F,0341,unknown,unknown
SpecificStages/20130321/666002~F,0351,unknown,unknown
SpecificStages/20130321/666002~F,0361,unknown,unknown
SpecificStages/20130321/666002~F,0371,unknown,unknown
SpecificStages/20130321/666002~F,0381,unknown,unknown
SpecificStages/20130321/666002~F,0391,unknown,unknown
SpecificStages/20130321/666002~F,0401,unknown,unknown
SpecificStages/20130321/666002~F,0411,unknown,unknown
SpecificStages/20130321/666002~F,0421,unknown,unknown
SpecificStages/20130321/666002~F,0431,unknown,unknown
SpecificStages/20130321/666002~F,0441,unknown,unknown
SpecificStages/20130321/666002~F,0451,unknown,unknown
SpecificStages/20130321/666002~F,0471,unknown,unknown
SpecificStages/20130321/666002~F,0481,unknown,unknown
SpecificStages/20130321/666002~F,0491,unknown,unknown
SpecificStages/20130321/666002~F,0501,unknown,unknown
SpecificStages/20130321/666002~F,0511,unknown,unknown
SpecificStages/20130321/666002~F,0521,unknown,unknown
SpecificStages/20130321/666002~F,0531,unknown,unknown
SpecificStages/20130321/666002~F,0541,unknown,unknown
SpecificStages/20130321/666002~F,0551,unknown,unknown
SpecificStages/20130321/666002~F,0561,unknown,unknown
SpecificStages/20130321/666002~F,0571,unknown,unknown
SpecificStages/20130321/666002~F,0581,unknown,unknown
SpecificStages/20130321/666002~F,0591,unknown,unknown
SpecificStages/20130321/666002~F,0601,unknown,unknown
SpecificStages/20130321/666002~F,0631,unknown,unknown
SpecificStages/20130321/666002~F,0641,unknown,unknown
SpecificStages/20130321/666002~F,0661,unknown,unknown
SpecificStages/20130321/666002~F,0671,unknown,unknown
SpecificStages/20130321/666002~F,0681,unknown,unknown
SpecificStages/20130321/666002~F,0691,unknown,unknown
SpecificStages/20130321/666002~F,0701,unknown,unknown
SpecificStages/20130321/666002~F,0741,unknown,unknown
SpecificStages/20130321/666002~F,0751,unknown,unknown
SpecificStages/20130321/666002~F,0761,unknown,unknown
SpecificStages/20130321/666002~F,0771,unknown,unknown
SpecificStages/20130321/666002~F,0781,unknown,unknown
SpecificStages/20130321/666002~F,0791,unknown,unknown
SpecificStages/20130321/666002~F,0801,unknown,unknown
SpecificStages/20130321/666002~F,0811,unknown,unknown
SpecificStages/20130321/666002~F,0821,unknown,unknown
SpecificStages/20130321/666002~F,0831,unknown,unknown
SpecificStages/20130321/666002~F,0841,unknown,unknown
SpecificStages/20130321/666002~F,0851,unknown,unknown
SpecificStages/20130321/666002~F,0871,unknown,unknown
SpecificStages/20130321/666002~F,0881,unknown,unknown
SpecificStages/20130321/666002~F,0882,unknown,unknown
SpecificStages/20130321/666002~F,0891,unknown,unknown
SpecificStages/20130321/666002~F,0901,unknown,unknown
SpecificStages/20130321/666002~F,0911,unknown,unknown
SpecificStages/20130321/666002~F,0921,unknown,unknown
SpecificStages/20130321/666002~F,0931,unknown,unknown
SpecificStages/20130321/666002~F,0941,unknown,unknown
SpecificStages/20130321/666002~F,0961,unknown,unknown
SpecificStages/20130321/666002~F,0971,unknown,unknown
SpecificStages/20130321/666002~F,0981,unknown,unknown
SpecificStages/20130321/666002~F,0991,unknown,unknown
SpecificStages/20130321/666002~F,1001,unknown,unknown
SpecificStages/20130321/666002~F,1011,unknown,unknown
SpecificStages/20130321/666002~F,1021,unknown,unknown
SpecificStages/20130321/666002~F,1031,unknown,unknown
SpecificStages/20130321/666002~F,1041,unknown,unknown
SpecificStages/20130321/666002~F,1061,unknown,unknown
SpecificStages/20130321/666002~F,1071,unknown,unknown
SpecificStages/20130321/666002~F,1081,unknown,unknown
SpecificStages/20130321/666002~F,1091,unknown,unknown
SpecificStages/20130321/666002~F,1111,unknown,unknown
SpecificStages/20130321/666002~F,1121,unknown,unknown
SpecificStages/20130321/666002~F,1131,unknown,unknown
SpecificStages/20130321/666002~F,1141,unknown,unknown
SpecificStages/20130321/666002~F,1151,unknown,unknown
SpecificStages/20130321/666002~F,1161,unknown,unknown
SpecificStages/20130321/666002~F,1171,unknown,unknown
SpecificStages/20130321/666002~F,1181,unknown,unknown
SpecificStages/20130321/666002~F,1191,unknown,unknown
SpecificStages/20130321/666002~F,1211,unknown,unknown
SpecificStages/20130321/666002~F,1221,unknown,unknown
SpecificStages/20130321/666002~F,1241,unknown,unknown
SpecificStages/20130321/666002~F,1261,unknown,unknown
SpecificStages/20130321/666002~F,1281,unknown,unknown
SpecificStages/20130321/666002~F,1301,unknown,unknown
SpecificStages/20130321/666002~F,1311,unknown,unknown
SpecificStages/20130321/666002~F,1321,unknown,unknown
SpecificStages/20130321/666002~F,1331,unknown,unknown
SpecificStages/20130321/666002~F,1351,unknown,unknown
SpecificStages/20130321/666002~F,1361,unknown,unknown
SpecificStages/20130321/666002~F,1371,unknown,unknown
SpecificStages/20130321/666002~F,1381,unknown,unknown
SpecificStages/20130321/666002~F,1401,unknown,unknown
SpecificStages/20130321/666002~F,1411,unknown,unknown
SpecificStages/20130321/666002~F,1421,unknown,unknown
SpecificStages/20130321/666002~F,1451,unknown,unknown
SpecificStages/20130321/666002~F,1461,unknown,unknown
SpecificStages/20130321/666002~F,1471,unknown,unknown
SpecificStages/20130321/666002~F,1481,unknown,unknown
SpecificStages/20130321/666002~F,1501,unknown,unknown
SpecificStages/20130321/666002~F,1511,unknown,unknown
SpecificStages/20130321/666002~F,1521,unknown,unknown
SpecificStages/20130321/666002~F,1531,unknown,unknown
SpecificStages/20130321/666002~F,1532,unknown,unknown
SpecificStages/20130321/666002~F,1541,unknown,unknown
SpecificStages/20130321/666002~F,1561,unknown,unknown
SpecificStages/20130321/666002~F,1571,unknown,unknown
SpecificStages/20130321/666002~F,1591,unknown,unknown
SpecificStages/20130321/666002~F,1601,unknown,unknown
SpecificStages/20130321/666002~F,1611,unknown,unknown
SpecificStages/20130321/666002~F,1621,unknown,unknown
SpecificStages/20130321/666002~F,1631,unknown,unknown
SpecificStages/20130321/666002~F,1641,unknown,unknown
SpecificStages/20130321/666002~F,1651,unknown,unknown
SpecificStages/20130321/666002~F,1661,unknown,unknown
SpecificStages/20130321/666002~F,1671,unknown,unknown
SpecificStages/20130321/666002~F,1672,unknown,unknown
SpecificStages/20130321/666002~F,1681,unknown,unknown
SpecificStages/20130321/666002~F,1721,unknown,unknown
SpecificStages/20130321/666002~F,1731,unknown,unknown
SpecificStages/20130321/666002~F,1741,unknown,unknown
SpecificStages/20130321/666002~F,1761,unknown,unknown
SpecificStages/20130321/666002~F,1771,unknown,unknown
SpecificStages/20130321/666002~F,1781,unknown,unknown
SpecificStages/20130321/666002~F,1791,unknown,unknown
SpecificStages/20130321/666002~F,1792,unknown,unknown
SpecificStages/20130321/666002~F,1801,unknown,unknown
SpecificStages/20130321/666002~F,1811,unknown,unknown
SpecificStages/20130321/666002~F,1821,unknown,unknown
SpecificStages/20130321/666002~F,1851,unknown,unknown
SpecificStages/20130321/666002~F,1861,unknown,unknown
SpecificStages/20130321/666002~F,1862,unknown,unknown
SpecificStages/20130321/666002~F,1871,unknown,unknown
