dirname,metasys_id,stage,orientation
SpecificStages/20130321/666002~M,0011,unknown,unknown
SpecificStages/20130321/666002~M,0012,unknown,unknown
SpecificStages/20130321/666002~M,0021,unknown,unknown
SpecificStages/20130321/666002~M,0031,unknown,unknown
SpecificStages/20130321/666002~M,0041,unknown,unknown
SpecificStages/20130321/666002~M,0051,unknown,unknown
SpecificStages/20130321/666002~M,0061,unknown,unknown
SpecificStages/20130321/666002~M,0062,unknown,unknown
SpecificStages/20130321/666002~M,0071,unknown,unknown
SpecificStages/20130321/666002~M,0081,unknown,unknown
SpecificStages/20130321/666002~M,0091,unknown,unknown
SpecificStages/20130321/666002~M,0101,unknown,unknown
SpecificStages/20130321/666002~M,0111,unknown,unknown
SpecificStages/20130321/666002~M,0121,unknown,unknown
SpecificStages/20130321/666002~M,0131,unknown,unknown
SpecificStages/20130321/666002~M,0141,unknown,unknown
SpecificStages/20130321/666002~M,0151,unknown,unknown
SpecificStages/20130321/666002~M,0161,unknown,unknown
SpecificStages/20130321/666002~M,0171,unknown,unknown
SpecificStages/20130321/666002~M,0181,unknown,unknown
SpecificStages/20130321/666002~M,0182,unknown,unknown
SpecificStages/20130321/666002~M,0191,unknown,unknown
SpecificStages/20130321/666002~M,0201,unknown,unknown
SpecificStages/20130321/666002~M,0211,unknown,unknown
SpecificStages/20130321/666002~M,0221,unknown,unknown
SpecificStages/20130321/666002~M,0222,unknown,unknown
SpecificStages/20130321/666002~M,0231,unknown,unknown
SpecificStages/20130321/666002~M,0241,unknown,unknown
SpecificStages/20130321/666002~M,0251,unknown,unknown
SpecificStages/20130321/666002~M,0271,unknown,unknown
SpecificStages/20130321/666002~M,0281,unknown,unknown
SpecificStages/20130321/666002~M,0291,unknown,unknown
SpecificStages/20130321/666002~M,0301,unknown,unknown
SpecificStages/20130321/666002~M,0311,unknown,unknown
SpecificStages/20130321/666002~M,0321,unknown,unknown
SpecificStages/20130321/666002~M,0331,unknown,unknown
SpecificStages/20130321/666002~M,0341,unknown,unknown
SpecificStages/20130321/666002~M,0361,unknown,unknown
SpecificStages/20130321/666002~M,0371,unknown,unknown
SpecificStages/20130321/666002~M,0381,unknown,unknown
SpecificStages/20130321/666002~M,0391,unknown,unknown
SpecificStages/20130321/666002~M,0401,unknown,unknown
SpecificStages/20130321/666002~M,0411,unknown,unknown
SpecificStages/20130321/666002~M,0421,unknown,unknown
SpecificStages/20130321/666002~M,0431,unknown,unknown
SpecificStages/20130321/666002~M,0441,unknown,unknown
SpecificStages/20130321/666002~M,0451,unknown,unknown
SpecificStages/20130321/666002~M,0461,unknown,unknown
SpecificStages/20130321/666002~M,0471,unknown,unknown
SpecificStages/20130321/666002~M,0481,unknown,unknown
SpecificStages/20130321/666002~M,0511,unknown,unknown
SpecificStages/20130321/666002~M,0521,unknown,unknown
SpecificStages/20130321/666002~M,0531,unknown,unknown
SpecificStages/20130321/666002~M,0541,unknown,unknown
SpecificStages/20130321/666002~M,0551,unknown,unknown
SpecificStages/20130321/666002~M,0571,unknown,unknown
SpecificStages/20130321/666002~M,0591,unknown,unknown
SpecificStages/20130321/666002~M,0611,unknown,unknown
SpecificStages/20130321/666002~M,0621,unknown,unknown
SpecificStages/20130321/666002~M,0631,unknown,unknown
SpecificStages/20130321/666002~M,0641,unknown,unknown
SpecificStages/20130321/666002~M,0661,unknown,unknown
SpecificStages/20130321/666002~M,0671,unknown,unknown
SpecificStages/20130321/666002~M,0681,unknown,unknown
SpecificStages/20130321/666002~M,0691,unknown,unknown
SpecificStages/20130321/666002~M,0701,unknown,unknown
SpecificStages/20130321/666002~M,0711,unknown,unknown
SpecificStages/20130321/666002~M,0721,unknown,unknown
SpecificStages/20130321/666002~M,0731,unknown,unknown
SpecificStages/20130321/666002~M,0741,unknown,unknown
SpecificStages/20130321/666002~M,0751,unknown,unknown
SpecificStages/20130321/666002~M,0761,unknown,unknown
SpecificStages/20130321/666002~M,0771,unknown,unknown
SpecificStages/20130321/666002~M,0781,unknown,unknown
SpecificStages/20130321/666002~M,0791,unknown,unknown
SpecificStages/20130321/666002~M,0801,unknown,unknown
SpecificStages/20130321/666002~M,0821,unknown,unknown
SpecificStages/20130321/666002~M,0831,unknown,unknown
SpecificStages/20130321/666002~M,0841,unknown,unknown
SpecificStages/20130321/666002~M,0851,unknown,unknown
SpecificStages/20130321/666002~M,0861,unknown,unknown
SpecificStages/20130321/666002~M,0871,unknown,unknown
SpecificStages/20130321/666002~M,0881,unknown,unknown
SpecificStages/20130321/666002~M,0891,unknown,unknown
SpecificStages/20130321/666002~M,0901,unknown,unknown
SpecificStages/20130321/666002~M,0911,unknown,unknown
SpecificStages/20130321/666002~M,0931,unknown,unknown
SpecificStages/20130321/666002~M,0941,unknown,unknown
SpecificStages/20130321/666002~M,0951,unknown,unknown
SpecificStages/20130321/666002~M,0961,unknown,unknown
SpecificStages/20130321/666002~M,0971,unknown,unknown
SpecificStages/20130321/666002~M,0981,unknown,unknown
SpecificStages/20130321/666002~M,0991,unknown,unknown
SpecificStages/20130321/666002~M,1001,unknown,unknown
SpecificStages/20130321/666002~M,1011,unknown,unknown
SpecificStages/20130321/666002~M,1021,unknown,unknown
SpecificStages/20130321/666002~M,1031,unknown,unknown
SpecificStages/20130321/666002~M,1041,unknown,unknown
SpecificStages/20130321/666002~M,1051,unknown,unknown
SpecificStages/20130321/666002~M,1071,unknown,unknown
SpecificStages/20130321/666002~M,1081,unknown,unknown
SpecificStages/20130321/666002~M,1091,unknown,unknown
SpecificStages/20130321/666002~M,1101,unknown,unknown
SpecificStages/20130321/666002~M,1111,unknown,unknown
SpecificStages/20130321/666002~M,1121,unknown,unknown
SpecificStages/20130321/666002~M,1131,unknown,unknown
SpecificStages/20130321/666002~M,1141,unknown,unknown
SpecificStages/20130321/666002~M,1151,unknown,unknown
SpecificStages/20130321/666002~M,1161,unknown,unknown
SpecificStages/20130321/666002~M,1181,unknown,unknown
SpecificStages/20130321/666002~M,1191,unknown,unknown
SpecificStages/20130321/666002~M,1201,unknown,unknown
SpecificStages/20130321/666002~M,1211,unknown,unknown
SpecificStages/20130321/666002~M,1221,unknown,unknown
SpecificStages/20130321/666002~M,1241,unknown,unknown
SpecificStages/20130321/666002~M,1242,unknown,unknown
SpecificStages/20130321/666002~M,1251,unknown,unknown
SpecificStages/20130321/666002~M,1261,unknown,unknown
SpecificStages/20130321/666002~M,1271,unknown,unknown
SpecificStages/20130321/666002~M,1281,unknown,unknown
SpecificStages/20130321/666002~M,1291,unknown,unknown
SpecificStages/20130321/666002~M,1301,unknown,unknown
SpecificStages/20130321/666002~M,1311,unknown,unknown
SpecificStages/20130321/666002~M,1321,unknown,unknown
SpecificStages/20130321/666002~M,1331,unknown,unknown
SpecificStages/20130321/666002~M,1341,unknown,unknown
SpecificStages/20130321/666002~M,1351,unknown,unknown
SpecificStages/20130321/666002~M,1361,unknown,unknown
SpecificStages/20130321/666002~M,1371,unknown,unknown
SpecificStages/20130321/666002~M,1381,unknown,unknown
SpecificStages/20130321/666002~M,1391,unknown,unknown
SpecificStages/20130321/666002~M,1401,unknown,unknown
SpecificStages/20130321/666002~M,1431,unknown,unknown
SpecificStages/20130321/666002~M,1441,unknown,unknown
SpecificStages/20130321/666002~M,1451,unknown,unknown
SpecificStages/20130321/666002~M,1461,unknown,unknown
SpecificStages/20130321/666002~M,1471,unknown,unknown
SpecificStages/20130321/666002~M,1481,unknown,unknown
SpecificStages/20130321/666002~M,1491,unknown,unknown
SpecificStages/20130321/666002~M,1501,unknown,unknown
SpecificStages/20130321/666002~M,1511,unknown,unknown
SpecificStages/20130321/666002~M,1521,unknown,unknown
SpecificStages/20130321/666002~M,1531,unknown,unknown
SpecificStages/20130321/666002~M,1541,unknown,unknown
SpecificStages/20130321/666002~M,1551,unknown,unknown
SpecificStages/20130321/666002~M,1561,unknown,unknown
SpecificStages/20130321/666002~M,1571,unknown,unknown
SpecificStages/20130321/666002~M,1581,unknown,unknown
SpecificStages/20130321/666002~M,1591,unknown,unknown
SpecificStages/20130321/666002~M,1601,unknown,unknown
SpecificStages/20130321/666002~M,1611,unknown,unknown
SpecificStages/20130321/666002~M,1621,unknown,unknown
SpecificStages/20130321/666002~M,1631,unknown,unknown
SpecificStages/20130321/666002~M,1651,unknown,unknown
SpecificStages/20130321/666002~M,1671,unknown,unknown
SpecificStages/20130321/666002~M,1672,unknown,unknown
