dirname,metasys_id,stage,orientation
SpecificStages/20130321/666002~N,0021,unknown,unknown
SpecificStages/20130321/666002~N,0031,unknown,unknown
SpecificStages/20130321/666002~N,0041,unknown,unknown
SpecificStages/20130321/666002~N,0051,unknown,unknown
SpecificStages/20130321/666002~N,0061,unknown,unknown
SpecificStages/20130321/666002~N,0071,unknown,unknown
SpecificStages/20130321/666002~N,0081,unknown,unknown
SpecificStages/20130321/666002~N,0091,unknown,unknown
SpecificStages/20130321/666002~N,0111,unknown,unknown
SpecificStages/20130321/666002~N,0121,unknown,unknown
SpecificStages/20130321/666002~N,0122,unknown,unknown
SpecificStages/20130321/666002~N,0131,unknown,unknown
SpecificStages/20130321/666002~N,0141,unknown,unknown
SpecificStages/20130321/666002~N,0151,unknown,unknown
SpecificStages/20130321/666002~N,0161,unknown,unknown
SpecificStages/20130321/666002~N,0171,unknown,unknown
SpecificStages/20130321/666002~N,0181,unknown,unknown
SpecificStages/20130321/666002~N,0191,unknown,unknown
SpecificStages/20130321/666002~N,0201,unknown,unknown
SpecificStages/20130321/666002~N,0211,unknown,unknown
SpecificStages/20130321/666002~N,0221,unknown,unknown
SpecificStages/20130321/666002~N,0231,unknown,unknown
SpecificStages/20130321/666002~N,0241,unknown,unknown
SpecificStages/20130321/666002~N,0251,unknown,unknown
SpecificStages/20130321/666002~N,0261,unknown,unknown
SpecificStages/20130321/666002~N,0271,unknown,unknown
SpecificStages/20130321/666002~N,0281,unknown,unknown
SpecificStages/20130321/666002~N,0291,unknown,unknown
SpecificStages/20130321/666002~N,0301,unknown,unknown
SpecificStages/20130321/666002~N,0311,unknown,unknown
SpecificStages/20130321/666002~N,0331,unknown,unknown
SpecificStages/20130321/666002~N,0341,unknown,unknown
SpecificStages/20130321/666002~N,0351,unknown,unknown
SpecificStages/20130321/666002~N,0361,unknown,unknown
SpecificStages/20130321/666002~N,0371,unknown,unknown
SpecificStages/20130321/666002~N,0381,unknown,unknown
SpecificStages/20130321/666002~N,0391,unknown,unknown
SpecificStages/20130321/666002~N,0401,unknown,unknown
SpecificStages/20130321/666002~N,0411,unknown,unknown
SpecificStages/20130321/666002~N,0412,unknown,unknown
SpecificStages/20130321/666002~N,0421,unknown,unknown
SpecificStages/20130321/666002~N,0431,unknown,unknown
SpecificStages/20130321/666002~N,0441,unknown,unknown
SpecificStages/20130321/666002~N,0461,unknown,unknown
SpecificStages/20130321/666002~N,0471,unknown,unknown
SpecificStages/20130321/666002~N,0481,unknown,unknown
