dirname,metasys_id,stage,orientation
SpecificStages/20130321/666004~E,21,13-14,unknown
SpecificStages/20130321/666004~E,31,unknown,unknown
SpecificStages/20130321/666004~E,41,13-14,unknown
SpecificStages/20130321/666004~E,51,11-12,unknown
SpecificStages/20130321/666004~E,61,11-12,unknown
SpecificStages/20130321/666004~E,71,unknown,unknown
SpecificStages/20130321/666004~E,72,11-12,unknown
SpecificStages/20130321/666004~E,81,13-14,unknown
SpecificStages/20130321/666004~E,91,unknown,unknown
SpecificStages/20130321/666004~E,121,11-12,unknown
SpecificStages/20130321/666004~E,131,unknown,unknown
SpecificStages/20130321/666004~E,141,unknown,unknown
SpecificStages/20130321/666004~E,142,unknown,unknown
SpecificStages/20130321/666004~E,151,11-12,unknown
SpecificStages/20130321/666004~E,161,11-12,unknown
SpecificStages/20130321/666004~E,171,13-14,unknown
SpecificStages/20130321/666004~E,181,9-10,unknown
SpecificStages/20130321/666004~E,191,13-14,unknown
SpecificStages/20130321/666004~E,201,unknown,unknown
SpecificStages/20130321/666004~E,211,11-12,unknown
SpecificStages/20130321/666004~E,221,13-14,unknown
SpecificStages/20130321/666004~E,231,11-12,unknown
SpecificStages/20130321/666004~E,241,13-14,unknown
SpecificStages/20130321/666004~E,251,11-12,unknown
SpecificStages/20130321/666004~E,261,11-12,unknown
SpecificStages/20130321/666004~E,271,11-12,unknown
SpecificStages/20130321/666004~E,281,11-12,unknown
SpecificStages/20130321/666004~E,291,13-14,unknown
SpecificStages/20130321/666004~E,301,9-10,unknown
SpecificStages/20130321/666004~E,311,11-12,unknown
SpecificStages/20130321/666004~E,321,unknown,unknown
SpecificStages/20130321/666004~E,331,unknown,unknown
SpecificStages/20130321/666004~E,341,11-12,unknown
SpecificStages/20130321/666004~E,351,unknown,unknown
SpecificStages/20130321/666004~E,361,unknown,unknown
SpecificStages/20130321/666004~E,371,11-12,unknown
SpecificStages/20130321/666004~E,381,11-12,unknown
SpecificStages/20130321/666004~E,391,11-12,unknown
SpecificStages/20130321/666004~E,401,13-14,unknown
SpecificStages/20130321/666004~E,411,13-14,unknown
SpecificStages/20130321/666004~E,421,unknown,unknown
SpecificStages/20130321/666004~E,431,11-12,unknown
SpecificStages/20130321/666004~E,441,11-12,unknown
SpecificStages/20130321/666004~E,461,13-14,unknown
SpecificStages/20130321/666004~E,471,unknown,unknown
SpecificStages/20130321/666004~E,501,11-12,unknown
SpecificStages/20130321/666004~E,511,11-12,unknown
SpecificStages/20130321/666004~E,512,13-14,unknown
SpecificStages/20130321/666004~E,521,11-12,unknown
SpecificStages/20130321/666004~E,541,11-12,unknown
SpecificStages/20130321/666004~E,551,unknown,unknown
SpecificStages/20130321/666004~E,561,11-12,unknown
SpecificStages/20130321/666004~E,571,13-14,unknown
SpecificStages/20130321/666004~E,581,11-12,unknown
SpecificStages/20130321/666004~E,591,unknown,unknown
SpecificStages/20130321/666004~E,601,unknown,unknown
SpecificStages/20130321/666004~E,611,unknown,unknown
SpecificStages/20130321/666004~E,621,unknown,unknown
SpecificStages/20130321/666004~E,622,unknown,unknown
SpecificStages/20130321/666004~E,631,11-12,unknown
SpecificStages/20130321/666004~E,641,unknown,unknown
SpecificStages/20130321/666004~E,651,11-12,unknown
SpecificStages/20130321/666004~E,661,11-12,unknown
SpecificStages/20130321/666004~E,671,11-12,unknown
SpecificStages/20130321/666004~E,681,13-14,unknown
SpecificStages/20130321/666004~E,691,11-12,unknown
SpecificStages/20130321/666004~E,701,13-14,unknown
SpecificStages/20130321/666004~E,711,11-12,unknown
SpecificStages/20130321/666004~E,721,11-12,unknown
SpecificStages/20130321/666004~E,731,11-12,unknown
SpecificStages/20130321/666004~E,751,11-12,unknown
SpecificStages/20130321/666004~E,761,unknown,unknown
SpecificStages/20130321/666004~E,771,unknown,unknown
SpecificStages/20130321/666004~E,791,13-14,unknown
SpecificStages/20130321/666004~E,801,11-12,unknown
SpecificStages/20130321/666004~E,821,11-12,unknown
SpecificStages/20130321/666004~E,831,11-12,unknown
SpecificStages/20130321/666004~E,841,unknown,unknown
SpecificStages/20130321/666004~E,851,11-12,unknown
SpecificStages/20130321/666004~E,861,11-12,unknown
