dirname,metasys_id,stage,orientation
SpecificStages/20130321/666004~J,0011,unknown,unknown
SpecificStages/20130321/666004~J,0021,unknown,unknown
SpecificStages/20130321/666004~J,0041,unknown,unknown
SpecificStages/20130321/666004~J,0051,unknown,unknown
SpecificStages/20130321/666004~J,0061,unknown,unknown
SpecificStages/20130321/666004~J,0071,unknown,unknown
SpecificStages/20130321/666004~J,0081,unknown,unknown
SpecificStages/20130321/666004~J,0101,unknown,unknown
SpecificStages/20130321/666004~J,0111,unknown,unknown
SpecificStages/20130321/666004~J,0121,unknown,unknown
SpecificStages/20130321/666004~J,0131,unknown,unknown
SpecificStages/20130321/666004~J,0141,unknown,unknown
SpecificStages/20130321/666004~J,0161,unknown,unknown
SpecificStages/20130321/666004~J,0171,unknown,unknown
SpecificStages/20130321/666004~J,0181,unknown,unknown
SpecificStages/20130321/666004~J,0191,unknown,unknown
SpecificStages/20130321/666004~J,0211,unknown,unknown
SpecificStages/20130321/666004~J,0221,unknown,unknown
SpecificStages/20130321/666004~J,0231,unknown,unknown
SpecificStages/20130321/666004~J,0241,unknown,unknown
SpecificStages/20130321/666004~J,0251,unknown,unknown
SpecificStages/20130321/666004~J,0252,unknown,unknown
SpecificStages/20130321/666004~J,0253,unknown,unknown
SpecificStages/20130321/666004~J,0261,unknown,unknown
SpecificStages/20130321/666004~J,0271,unknown,unknown
SpecificStages/20130321/666004~J,0291,unknown,unknown
SpecificStages/20130321/666004~J,0311,unknown,unknown
SpecificStages/20130321/666004~J,0321,unknown,unknown
SpecificStages/20130321/666004~J,0331,unknown,unknown
SpecificStages/20130321/666004~J,0341,unknown,unknown
SpecificStages/20130321/666004~J,0351,unknown,unknown
SpecificStages/20130321/666004~J,0361,unknown,unknown
SpecificStages/20130321/666004~J,0371,unknown,unknown
SpecificStages/20130321/666004~J,0381,unknown,unknown
SpecificStages/20130321/666004~J,0391,unknown,unknown
SpecificStages/20130321/666004~J,0401,unknown,unknown
SpecificStages/20130321/666004~J,0411,unknown,unknown
SpecificStages/20130321/666004~J,0421,unknown,unknown
SpecificStages/20130321/666004~J,0431,unknown,unknown
SpecificStages/20130321/666004~J,0441,unknown,unknown
SpecificStages/20130321/666004~J,0451,unknown,unknown
SpecificStages/20130321/666004~J,0461,unknown,unknown
SpecificStages/20130321/666004~J,0471,unknown,unknown
SpecificStages/20130321/666004~J,0481,unknown,unknown
SpecificStages/20130321/666004~J,0491,unknown,unknown
SpecificStages/20130321/666004~J,0501,unknown,unknown
SpecificStages/20130321/666004~J,0511,unknown,unknown
SpecificStages/20130321/666004~J,0521,unknown,unknown
SpecificStages/20130321/666004~J,0531,unknown,unknown
SpecificStages/20130321/666004~J,0541,unknown,unknown
SpecificStages/20130321/666004~J,0551,unknown,unknown
SpecificStages/20130321/666004~J,0561,unknown,unknown
SpecificStages/20130321/666004~J,0562,unknown,unknown
SpecificStages/20130321/666004~J,0571,unknown,unknown
SpecificStages/20130321/666004~J,0581,unknown,unknown
SpecificStages/20130321/666004~J,0591,unknown,unknown
SpecificStages/20130321/666004~J,0601,unknown,unknown
SpecificStages/20130321/666004~J,0611,unknown,unknown
SpecificStages/20130321/666004~J,0621,unknown,unknown
SpecificStages/20130321/666004~J,0631,unknown,unknown
SpecificStages/20130321/666004~J,0641,unknown,unknown
SpecificStages/20130321/666004~J,0651,unknown,unknown
SpecificStages/20130321/666004~J,0661,unknown,unknown
SpecificStages/20130321/666004~J,0662,unknown,unknown
SpecificStages/20130321/666004~J,0671,unknown,unknown
SpecificStages/20130321/666004~J,0681,unknown,unknown
SpecificStages/20130321/666004~J,0691,unknown,unknown
SpecificStages/20130321/666004~J,0701,unknown,unknown
SpecificStages/20130321/666004~J,0711,unknown,unknown
SpecificStages/20130321/666004~J,0721,unknown,unknown
SpecificStages/20130321/666004~J,0731,unknown,unknown
SpecificStages/20130321/666004~J,0741,unknown,unknown
SpecificStages/20130321/666004~J,0751,unknown,unknown
SpecificStages/20130321/666004~J,0761,unknown,unknown
SpecificStages/20130321/666004~J,0771,unknown,unknown
SpecificStages/20130321/666004~J,0781,unknown,unknown
SpecificStages/20130321/666004~J,0791,unknown,unknown
SpecificStages/20130321/666004~J,0801,unknown,unknown
