dirname,metasys_id,stage,orientation
SpecificStages/20130321/666004~K,0021,unknown,unknown
SpecificStages/20130321/666004~K,0031,unknown,unknown
SpecificStages/20130321/666004~K,0051,unknown,unknown
SpecificStages/20130321/666004~K,0061,unknown,unknown
SpecificStages/20130321/666004~K,0071,unknown,unknown
SpecificStages/20130321/666004~K,0081,unknown,unknown
SpecificStages/20130321/666004~K,0101,unknown,unknown
SpecificStages/20130321/666004~K,0111,unknown,unknown
SpecificStages/20130321/666004~K,0151,unknown,unknown
SpecificStages/20130321/666004~K,0161,unknown,unknown
SpecificStages/20130321/666004~K,0171,unknown,unknown
SpecificStages/20130321/666004~K,0191,unknown,unknown
SpecificStages/20130321/666004~K,0211,unknown,unknown
SpecificStages/20130321/666004~K,0221,unknown,unknown
SpecificStages/20130321/666004~K,0231,unknown,unknown
SpecificStages/20130321/666004~K,0232,unknown,unknown
SpecificStages/20130321/666004~K,0241,unknown,unknown
SpecificStages/20130321/666004~K,0271,unknown,unknown
SpecificStages/20130321/666004~K,0281,unknown,unknown
SpecificStages/20130321/666004~K,0291,unknown,unknown
SpecificStages/20130321/666004~K,0301,unknown,unknown
SpecificStages/20130321/666004~K,0311,unknown,unknown
SpecificStages/20130321/666004~K,0321,unknown,unknown
SpecificStages/20130321/666004~K,0331,unknown,unknown
SpecificStages/20130321/666004~K,0351,unknown,unknown
SpecificStages/20130321/666004~K,0361,unknown,unknown
SpecificStages/20130321/666004~K,0371,unknown,unknown
SpecificStages/20130321/666004~K,0381,unknown,unknown
SpecificStages/20130321/666004~K,0391,unknown,unknown
SpecificStages/20130321/666004~K,0392,unknown,unknown
SpecificStages/20130321/666004~K,0401,unknown,unknown
SpecificStages/20130321/666004~K,0411,unknown,unknown
SpecificStages/20130321/666004~K,0421,unknown,unknown
SpecificStages/20130321/666004~K,0431,unknown,unknown
SpecificStages/20130321/666004~K,0441,unknown,unknown
SpecificStages/20130321/666004~K,0451,unknown,unknown
SpecificStages/20130321/666004~K,0461,unknown,unknown
SpecificStages/20130321/666004~K,0471,unknown,unknown
SpecificStages/20130321/666004~K,0481,unknown,unknown
SpecificStages/20130321/666004~K,0482,unknown,unknown
SpecificStages/20130321/666004~K,0491,unknown,unknown
SpecificStages/20130321/666004~K,0501,unknown,unknown
SpecificStages/20130321/666004~K,0511,unknown,unknown
SpecificStages/20130321/666004~K,0521,unknown,unknown
SpecificStages/20130321/666004~K,0531,unknown,unknown
SpecificStages/20130321/666004~K,0541,unknown,unknown
SpecificStages/20130321/666004~K,0551,unknown,unknown
SpecificStages/20130321/666004~K,0571,unknown,unknown
SpecificStages/20130321/666004~K,0581,unknown,unknown
SpecificStages/20130321/666004~K,0591,unknown,unknown
SpecificStages/20130321/666004~K,0601,unknown,unknown
SpecificStages/20130321/666004~K,0611,unknown,unknown
SpecificStages/20130321/666004~K,0621,unknown,unknown
SpecificStages/20130321/666004~K,0631,unknown,unknown
SpecificStages/20130321/666004~K,0641,unknown,unknown
SpecificStages/20130321/666004~K,0651,unknown,unknown
SpecificStages/20130321/666004~K,0661,unknown,unknown
SpecificStages/20130321/666004~K,0671,unknown,unknown
SpecificStages/20130321/666004~K,0681,unknown,unknown
SpecificStages/20130321/666004~K,0691,unknown,unknown
SpecificStages/20130321/666004~K,0701,unknown,unknown
SpecificStages/20130321/666004~K,0711,unknown,unknown
SpecificStages/20130321/666004~K,0721,unknown,unknown
SpecificStages/20130321/666004~K,0731,unknown,unknown
SpecificStages/20130321/666004~K,0741,unknown,unknown
SpecificStages/20130321/666004~K,0751,unknown,unknown
SpecificStages/20130321/666004~K,0761,unknown,unknown
SpecificStages/20130321/666004~K,0771,unknown,unknown
SpecificStages/20130321/666004~K,0781,unknown,unknown
SpecificStages/20130321/666004~K,0801,unknown,unknown
SpecificStages/20130321/666004~K,0811,unknown,unknown
SpecificStages/20130321/666004~K,0821,unknown,unknown
SpecificStages/20130321/666004~K,0841,unknown,unknown
SpecificStages/20130321/666004~K,0851,unknown,unknown
SpecificStages/20130321/666004~K,0861,unknown,unknown
SpecificStages/20130321/666004~K,0871,unknown,unknown
SpecificStages/20130321/666004~K,0881,unknown,unknown
SpecificStages/20130321/666004~K,0891,unknown,unknown
SpecificStages/20130321/666004~K,0901,unknown,unknown
