dirname,metasys_id,stage,orientation
SpecificStages/20130321/666005~G,0011,unknown,unknown
SpecificStages/20130321/666005~G,0021,unknown,unknown
SpecificStages/20130321/666005~G,0031,unknown,unknown
SpecificStages/20130321/666005~G,0051,unknown,unknown
SpecificStages/20130321/666005~G,0061,unknown,unknown
SpecificStages/20130321/666005~G,0071,unknown,unknown
SpecificStages/20130321/666005~G,0081,unknown,unknown
SpecificStages/20130321/666005~G,0091,unknown,unknown
SpecificStages/20130321/666005~G,0101,unknown,unknown
SpecificStages/20130321/666005~G,0111,unknown,unknown
SpecificStages/20130321/666005~G,0121,unknown,unknown
SpecificStages/20130321/666005~G,0131,unknown,unknown
SpecificStages/20130321/666005~G,0141,unknown,unknown
SpecificStages/20130321/666005~G,0151,unknown,unknown
SpecificStages/20130321/666005~G,0161,unknown,unknown
SpecificStages/20130321/666005~G,0171,unknown,unknown
SpecificStages/20130321/666005~G,0181,unknown,unknown
SpecificStages/20130321/666005~G,0191,unknown,unknown
SpecificStages/20130321/666005~G,0201,unknown,unknown
SpecificStages/20130321/666005~G,0211,unknown,unknown
SpecificStages/20130321/666005~G,0221,unknown,unknown
SpecificStages/20130321/666005~G,0231,unknown,unknown
SpecificStages/20130321/666005~G,0241,unknown,unknown
SpecificStages/20130321/666005~G,0251,unknown,unknown
SpecificStages/20130321/666005~G,0261,unknown,unknown
SpecificStages/20130321/666005~G,0271,unknown,unknown
SpecificStages/20130321/666005~G,0281,unknown,unknown
SpecificStages/20130321/666005~G,0291,unknown,unknown
SpecificStages/20130321/666005~G,0311,unknown,unknown
SpecificStages/20130321/666005~G,0321,unknown,unknown
SpecificStages/20130321/666005~G,0331,unknown,unknown
SpecificStages/20130321/666005~G,0341,unknown,unknown
SpecificStages/20130321/666005~G,0351,unknown,unknown
SpecificStages/20130321/666005~G,0361,unknown,unknown
SpecificStages/20130321/666005~G,0381,unknown,unknown
SpecificStages/20130321/666005~G,0391,unknown,unknown
SpecificStages/20130321/666005~G,0401,unknown,unknown
SpecificStages/20130321/666005~G,0411,unknown,unknown
SpecificStages/20130321/666005~G,0421,unknown,unknown
SpecificStages/20130321/666005~G,0431,unknown,unknown
SpecificStages/20130321/666005~G,0441,unknown,unknown
SpecificStages/20130321/666005~G,0451,unknown,unknown
SpecificStages/20130321/666005~G,0461,unknown,unknown
SpecificStages/20130321/666005~G,0481,unknown,unknown
SpecificStages/20130321/666005~G,0501,unknown,unknown
SpecificStages/20130321/666005~G,0511,unknown,unknown
SpecificStages/20130321/666005~G,0521,unknown,unknown
SpecificStages/20130321/666005~G,0531,unknown,unknown
SpecificStages/20130321/666005~G,0541,unknown,unknown
