dirname,metasys_id,stage,orientation
SpecificStages/20130321/666005~I,0021,unknown,unknown
SpecificStages/20130321/666005~I,0031,unknown,unknown
SpecificStages/20130321/666005~I,0041,unknown,unknown
SpecificStages/20130321/666005~I,0051,unknown,unknown
SpecificStages/20130321/666005~I,0061,unknown,unknown
SpecificStages/20130321/666005~I,0071,unknown,unknown
SpecificStages/20130321/666005~I,0081,unknown,unknown
SpecificStages/20130321/666005~I,0091,unknown,unknown
SpecificStages/20130321/666005~I,0101,unknown,unknown
SpecificStages/20130321/666005~I,0111,unknown,unknown
SpecificStages/20130321/666005~I,0121,unknown,unknown
SpecificStages/20130321/666005~I,0131,unknown,unknown
SpecificStages/20130321/666005~I,0141,unknown,unknown
SpecificStages/20130321/666005~I,0171,unknown,unknown
SpecificStages/20130321/666005~I,0181,unknown,unknown
SpecificStages/20130321/666005~I,0191,unknown,unknown
SpecificStages/20130321/666005~I,0201,unknown,unknown
SpecificStages/20130321/666005~I,0211,unknown,unknown
SpecificStages/20130321/666005~I,0221,unknown,unknown
SpecificStages/20130321/666005~I,0231,unknown,unknown
SpecificStages/20130321/666005~I,0241,unknown,unknown
SpecificStages/20130321/666005~I,0251,unknown,unknown
SpecificStages/20130321/666005~I,0261,unknown,unknown
SpecificStages/20130321/666005~I,0271,unknown,unknown
SpecificStages/20130321/666005~I,0291,unknown,unknown
SpecificStages/20130321/666005~I,0301,unknown,unknown
SpecificStages/20130321/666005~I,0331,unknown,unknown
SpecificStages/20130321/666005~I,0341,unknown,unknown
SpecificStages/20130321/666005~I,0351,unknown,unknown
SpecificStages/20130321/666005~I,0361,unknown,unknown
SpecificStages/20130321/666005~I,0371,unknown,unknown
SpecificStages/20130321/666005~I,0381,unknown,unknown
SpecificStages/20130321/666005~I,0391,unknown,unknown
SpecificStages/20130321/666005~I,0401,unknown,unknown
SpecificStages/20130321/666005~I,0421,unknown,unknown
SpecificStages/20130321/666005~I,0431,unknown,unknown
SpecificStages/20130321/666005~I,0451,unknown,unknown
SpecificStages/20130321/666005~I,0461,unknown,unknown
SpecificStages/20130321/666005~I,0481,unknown,unknown
SpecificStages/20130321/666005~I,0491,unknown,unknown
SpecificStages/20130321/666005~I,0501,unknown,unknown
SpecificStages/20130321/666005~I,0511,unknown,unknown
SpecificStages/20130321/666005~I,0521,unknown,unknown
SpecificStages/20130321/666005~I,0531,unknown,unknown
SpecificStages/20130321/666005~I,0541,unknown,unknown
SpecificStages/20130321/666005~I,0571,unknown,unknown
SpecificStages/20130321/666005~I,0581,unknown,unknown
SpecificStages/20130321/666005~I,0591,unknown,unknown
SpecificStages/20130321/666005~I,0601,unknown,unknown
SpecificStages/20130321/666005~I,0611,unknown,unknown
SpecificStages/20130321/666005~I,0621,unknown,unknown
SpecificStages/20130321/666005~I,0631,unknown,unknown
SpecificStages/20130321/666005~I,0641,unknown,unknown
SpecificStages/20130321/666005~I,0661,unknown,unknown
SpecificStages/20130321/666005~I,0691,unknown,unknown
SpecificStages/20130321/666005~I,0701,unknown,unknown
SpecificStages/20130321/666005~I,0711,unknown,unknown
SpecificStages/20130321/666005~I,0731,unknown,unknown
SpecificStages/20130321/666005~I,0741,unknown,unknown
SpecificStages/20130321/666005~I,0751,unknown,unknown
SpecificStages/20130321/666005~I,0761,unknown,unknown
SpecificStages/20130321/666005~I,0771,unknown,unknown
SpecificStages/20130321/666005~I,0791,unknown,unknown
SpecificStages/20130321/666005~I,0811,unknown,unknown
SpecificStages/20130321/666005~I,0831,unknown,unknown
SpecificStages/20130321/666005~I,0841,unknown,unknown
SpecificStages/20130321/666005~I,0851,unknown,unknown
SpecificStages/20130321/666005~I,0861,unknown,unknown
SpecificStages/20130321/666005~I,0871,unknown,unknown
SpecificStages/20130321/666005~I,0881,unknown,unknown
SpecificStages/20130321/666005~I,0891,unknown,unknown
SpecificStages/20130321/666005~I,0901,unknown,unknown
SpecificStages/20130321/666005~I,0911,unknown,unknown
SpecificStages/20130321/666005~I,0921,unknown,unknown
SpecificStages/20130321/666005~I,0931,unknown,unknown
SpecificStages/20130321/666005~I,0941,unknown,unknown
SpecificStages/20130321/666005~I,0961,unknown,unknown
SpecificStages/20130321/666005~I,0971,unknown,unknown
SpecificStages/20130321/666005~I,0981,unknown,unknown
SpecificStages/20130321/666005~I,1001,unknown,unknown
SpecificStages/20130321/666005~I,1011,unknown,unknown
SpecificStages/20130321/666005~I,1031,unknown,unknown
SpecificStages/20130321/666005~I,1041,unknown,unknown
SpecificStages/20130321/666005~I,1051,unknown,unknown
SpecificStages/20130321/666005~I,1061,unknown,unknown
SpecificStages/20130321/666005~I,1071,unknown,unknown
SpecificStages/20130321/666005~I,1091,unknown,unknown
SpecificStages/20130321/666005~I,1101,unknown,unknown
SpecificStages/20130321/666005~I,1111,unknown,unknown
SpecificStages/20130321/666005~I,1121,unknown,unknown
SpecificStages/20130321/666005~I,1131,unknown,unknown
SpecificStages/20130321/666005~I,1161,unknown,unknown
SpecificStages/20130321/666005~I,1171,unknown,unknown
SpecificStages/20130321/666005~I,1181,unknown,unknown
SpecificStages/20130321/666005~I,1191,unknown,unknown
SpecificStages/20130321/666005~I,1231,unknown,unknown
SpecificStages/20130321/666005~I,1241,unknown,unknown
SpecificStages/20130321/666005~I,1261,unknown,unknown
SpecificStages/20130321/666005~I,1271,unknown,unknown
