dirname,metasys_id,stage,orientation
SpecificStages/20130321/666006~C,21,unknown,unknown
SpecificStages/20130321/666006~C,31,15-16,unknown
SpecificStages/20130321/666006~C,51,unknown,unknown
SpecificStages/20130321/666006~C,61,15-16,unknown
SpecificStages/20130321/666006~C,71,unknown,unknown
SpecificStages/20130321/666006~C,81,15-16,unknown
SpecificStages/20130321/666006~C,91,15-16,unknown
SpecificStages/20130321/666006~C,101,15-16,unknown
SpecificStages/20130321/666006~C,111,unknown,unknown
SpecificStages/20130321/666006~C,121,15-16,unknown
SpecificStages/20130321/666006~C,131,15-16,unknown
SpecificStages/20130321/666006~C,141,unknown,unknown
SpecificStages/20130321/666006~C,151,unknown,unknown
SpecificStages/20130321/666006~C,161,15-16,unknown
SpecificStages/20130321/666006~C,171,unknown,unknown
SpecificStages/20130321/666006~C,181,unknown,unknown
SpecificStages/20130321/666006~C,191,unknown,unknown
SpecificStages/20130321/666006~C,201,15-16,unknown
SpecificStages/20130321/666006~C,211,unknown,unknown
SpecificStages/20130321/666006~C,221,unknown,unknown
SpecificStages/20130321/666006~C,231,unknown,unknown
SpecificStages/20130321/666006~C,241,15-16,unknown
SpecificStages/20130321/666006~C,251,15-16,unknown
SpecificStages/20130321/666006~C,261,15-16,unknown
SpecificStages/20130321/666006~C,271,15-16,unknown
SpecificStages/20130321/666006~C,281,15-16,unknown
SpecificStages/20130321/666006~C,291,15-16,unknown
SpecificStages/20130321/666006~C,301,15-16,unknown
SpecificStages/20130321/666006~C,311,15-16,unknown
SpecificStages/20130321/666006~C,321,15-16,unknown
SpecificStages/20130321/666006~C,322,15-16,unknown
SpecificStages/20130321/666006~C,331,15-16,unknown
SpecificStages/20130321/666006~C,332,unknown,unknown
SpecificStages/20130321/666006~C,341,15-16,unknown
SpecificStages/20130321/666006~C,351,unknown,unknown
SpecificStages/20130321/666006~C,361,15-16,unknown
SpecificStages/20130321/666006~C,371,unknown,unknown
SpecificStages/20130321/666006~C,381,15-16,unknown
SpecificStages/20130321/666006~C,391,unknown,unknown
SpecificStages/20130321/666006~C,401,unknown,unknown
SpecificStages/20130321/666006~C,411,unknown,unknown
SpecificStages/20130321/666006~C,421,unknown,unknown
SpecificStages/20130321/666006~C,431,unknown,unknown
SpecificStages/20130321/666006~C,441,15-16,unknown
SpecificStages/20130321/666006~C,451,unknown,unknown
SpecificStages/20130321/666006~C,461,15-16,unknown
SpecificStages/20130321/666006~C,471,unknown,unknown
SpecificStages/20130321/666006~C,481,unknown,unknown
SpecificStages/20130321/666006~C,491,15-16,unknown
SpecificStages/20130321/666006~C,501,unknown,unknown
SpecificStages/20130321/666006~C,511,unknown,unknown
SpecificStages/20130321/666006~C,521,unknown,unknown
SpecificStages/20130321/666006~C,531,unknown,unknown
SpecificStages/20130321/666006~C,541,15-16,unknown
SpecificStages/20130321/666006~C,551,unknown,unknown
SpecificStages/20130321/666006~C,561,unknown,unknown
SpecificStages/20130321/666006~C,571,unknown,unknown
SpecificStages/20130321/666006~C,581,15-16,unknown
SpecificStages/20130321/666006~C,591,unknown,unknown
SpecificStages/20130321/666006~C,601,15-16,unknown
SpecificStages/20130321/666006~C,611,unknown,unknown
SpecificStages/20130321/666006~C,621,15-16,unknown
SpecificStages/20130321/666006~C,631,unknown,unknown
SpecificStages/20130321/666006~C,641,15-16,unknown
SpecificStages/20130321/666006~C,651,15-16,unknown
SpecificStages/20130321/666006~C,661,15-16,unknown
SpecificStages/20130321/666006~C,671,15-16,unknown
SpecificStages/20130321/666006~C,681,15-16,unknown
SpecificStages/20130321/666006~C,691,15-16,unknown
SpecificStages/20130321/666006~C,701,15-16,unknown
SpecificStages/20130321/666006~C,711,unknown,unknown
SpecificStages/20130321/666006~C,721,unknown,unknown
SpecificStages/20130321/666006~C,731,15-16,unknown
SpecificStages/20130321/666006~C,741,15-16,unknown
SpecificStages/20130321/666006~C,751,15-16,unknown
SpecificStages/20130321/666006~C,771,unknown,unknown
SpecificStages/20130321/666006~C,781,unknown,unknown
SpecificStages/20130321/666006~C,782,unknown,unknown
SpecificStages/20130321/666006~C,791,15-16,unknown
SpecificStages/20130321/666006~C,801,15-16,unknown
SpecificStages/20130321/666006~C,811,15-16,unknown
SpecificStages/20130321/666006~C,821,unknown,unknown
SpecificStages/20130321/666006~C,831,15-16,unknown
SpecificStages/20130321/666006~C,841,15-16,unknown
SpecificStages/20130321/666006~C,851,15-16,unknown
SpecificStages/20130321/666006~C,861,unknown,unknown
SpecificStages/20130321/666006~C,871,15-16,unknown
SpecificStages/20130321/666006~C,881,15-16,unknown
SpecificStages/20130321/666006~C,891,15-16,unknown
SpecificStages/20130321/666006~C,901,unknown,unknown
SpecificStages/20130321/666006~C,911,unknown,unknown
